"date","waterYear","pdsi"
2003-09-01,2003,-3.0496
2003-09-10,2003,-2.5326
2003-09-20,2003,-2.1421
2003-10-01,2004,-1.8318
2003-10-10,2004,-1.9081
2003-10-20,2004,-1.8953
2003-11-01,2004,-1.9158
2003-11-10,2004,-2.0654
2003-11-20,2004,-1.986
2003-12-01,2004,-1.8199
2003-12-10,2004,-1.7104
2003-12-20,2004,-1.8601
2004-01-01,2004,-1.964
2004-01-10,2004,-2.003
2004-01-20,2004,-2.0244
2004-02-01,2004,-2.0457
2004-02-10,2004,-2.0849
2004-02-20,2004,-2.1342
2004-03-01,2004,-2.0279
2004-03-10,2004,-1.9835
2004-03-20,2004,-1.968
2004-04-01,2004,-2.1575
2004-04-10,2004,-1.9224
2004-04-20,2004,-1.6385
2004-05-01,2004,-1.2625
2004-05-10,2004,-1.3168
2004-05-20,2004,-1.4164
2004-06-01,2004,-1.6009
2004-06-10,2004,-1.7516
2004-06-20,2004,-1.841
2004-07-01,2004,-1.8579
2004-07-10,2004,-1.917
2004-07-20,2004,-2.0415
2004-08-01,2004,-2.151
2004-08-10,2004,-2.2669
2004-08-20,2004,-2.3787
2004-09-01,2004,-2.6388
2004-09-10,2004,-2.7184
2004-09-20,2004,-2.6312
2004-10-01,2005,-2.1194
2004-10-10,2005,-1.7292
2004-10-20,2005,-1.4956
2004-11-01,2005,-1.5492
2004-11-10,2005,-1.521
2004-11-20,2005,-1.4196
2004-12-01,2005,-1.2215
2004-12-10,2005,-1.0533
2004-12-20,2005,-0.9698
2005-01-01,2005,-0.801
2005-01-10,2005,1.3093
2005-01-20,2005,1.6535
2005-02-01,2005,1.9072
2005-02-10,2005,2.0742
2005-02-20,2005,2.6914
2005-03-01,2005,3.1354
2005-03-10,2005,3.358
2005-03-20,2005,3.4136
2005-04-01,2005,3.2
2005-04-10,2005,2.9498
2005-04-20,2005,2.6783
2005-05-01,2005,2.6788
2005-05-10,2005,2.8491
2005-05-20,2005,3.0065
2005-06-01,2005,2.8482
2005-06-10,2005,2.602
2005-06-20,2005,2.4466
2005-07-01,2005,2.3381
2005-07-10,2005,2.1216
2005-07-20,2005,1.8155
2005-08-01,2005,1.5495
2005-08-10,2005,1.5147
2005-08-20,2005,1.6194
2005-09-01,2005,1.6047
2005-09-10,2005,1.4121
2005-09-20,2005,1.0528
2005-10-01,2006,0.9424
2005-10-10,2006,0.9884
2005-10-20,2006,1.2094
2005-11-01,2006,1.2782
2005-11-10,2006,1.1221
2005-11-20,2006,0.879
2005-12-01,2006,0.5959
2005-12-10,2006,-1.1224
2005-12-20,2006,-1.3286
2006-01-01,2006,-1.562
2006-01-10,2006,-1.8513
2006-01-20,2006,-2.1676
2006-02-01,2006,-2.3344
2006-02-10,2006,-2.4897
2006-02-20,2006,-2.6265
2006-03-01,2006,-2.8042
2006-03-10,2006,-2.8296
