"date","waterYear","pdsi"
2003-09-01,2003,-2.9913
2003-09-10,2003,-2.7531
2003-09-20,2003,-2.6444
2003-10-01,2004,-2.6105
2003-10-10,2004,-2.6699
2003-10-20,2004,-2.6714
2003-11-01,2004,-2.7054
2003-11-10,2004,-2.7776
2003-11-20,2004,-2.6986
2003-12-01,2004,-2.545
2003-12-10,2004,-2.3958
2003-12-20,2004,-2.4849
2004-01-01,2004,-2.5559
2004-01-10,2004,-2.6852
2004-01-20,2004,-2.7403
2004-02-01,2004,-2.7426
2004-02-10,2004,-2.7147
2004-02-20,2004,-2.7173
2004-03-01,2004,-2.5444
2004-03-10,2004,-2.4305
2004-03-20,2004,-2.3392
2004-04-01,2004,-2.5224
2004-04-10,2004,-2.3101
2004-04-20,2004,-2.0888
2004-05-01,2004,-1.8344
2004-05-10,2004,-1.9277
2004-05-20,2004,-1.996
2004-06-01,2004,-2.0524
2004-06-10,2004,-2.0968
2004-06-20,2004,-2.1083
2004-07-01,2004,-1.9785
2004-07-10,2004,-1.9527
2004-07-20,2004,-1.9316
2004-08-01,2004,-1.9902
2004-08-10,2004,-2.0255
2004-08-20,2004,-1.9719
2004-09-01,2004,-1.9911
2004-09-10,2004,-1.9696
2004-09-20,2004,-1.7557
2004-10-01,2005,-1.3688
2004-10-10,2005,-1.0814
2004-10-20,2005,-1.1063
2004-11-01,2005,-0.9224
2004-11-10,2005,1.0924
2004-11-20,2005,1.5138
2004-12-01,2005,1.9154
2004-12-10,2005,2.0737
2004-12-20,2005,2.0721
2005-01-01,2005,2.1151
2005-01-10,2005,2.4248
2005-01-20,2005,2.8855
2005-02-01,2005,3.1008
2005-02-10,2005,3.2434
2005-02-20,2005,3.7632
2005-03-01,2005,4.1299
2005-03-10,2005,4.4929
2005-03-20,2005,4.697
2005-04-01,2005,4.5203
2005-04-10,2005,4.2973
2005-04-20,2005,4.0109
2005-05-01,2005,4.0349
2005-05-10,2005,4.091
2005-05-20,2005,4.2287
2005-06-01,2005,3.9749
2005-06-10,2005,3.7363
2005-06-20,2005,3.547
2005-07-01,2005,3.4366
2005-07-10,2005,3.2303
2005-07-20,2005,2.9272
2005-08-01,2005,2.677
2005-08-10,2005,2.7335
2005-08-20,2005,2.898
2005-09-01,2005,3.0347
2005-09-10,2005,2.9799
2005-09-20,2005,2.7484
2005-10-01,2006,2.4582
2005-10-10,2006,2.0862
2005-10-20,2006,2.0066
2005-11-01,2006,1.926
2005-11-10,2006,1.8345
2005-11-20,2006,1.5307
2005-12-01,2006,1.2189
2005-12-10,2006,0.9133
2005-12-20,2006,0.5899
2006-01-01,2006,-1.7965
2006-01-10,2006,-2.0936
2006-01-20,2006,-2.3905
2006-02-01,2006,-2.481
2006-02-10,2006,-2.593
2006-02-20,2006,-2.7005
2006-03-01,2006,-2.9109
2006-03-10,2006,-3.0398
2006-03-20,2006,-2.9343
2006-04-01,2006,-2.6494
2006-04-10,2006,-2.3096
2006-04-20,2006,-2.198
2006-05-01,2006,-2.2937
2006-05-10,2006,-2.4029
2006-05-20,2006,-2.4759
2006-06-01,2006,-2.5002
2006-06-10,2006,-2.5142
2006-06-20,2006,-2.5108
2006-07-01,2006,-2.4813
2006-07-10,2006,-2.0579
2006-07-20,2006,-1.7733
2006-08-01,2006,-1.4473
2006-08-10,2006,-1.4227
2006-08-20,2006,-1.3343
2006-09-01,2006,-1.3595
2006-09-10,2006,-1.2128
2006-09-20,2006,-1.1195
2006-10-01,2007,-1.0519
2006-10-10,2007,-0.7285
2006-10-20,2007,1.4465
2006-11-01,2007,1.9266
2006-11-10,2007,1.9058
2006-11-20,2007,1.6839
2006-12-01,2007,1.4228
2006-12-10,2007,1.1459
2006-12-20,2007,0.9899
2007-01-01,2007,0.8261
2007-01-10,2007,0.695
2007-01-20,2007,-0.1787
2007-02-01,2007,-1.1085
2007-02-10,2007,-1.2618
2007-02-20,2007,-1.2925
2007-03-01,2007,-1.325
2007-03-10,2007,-1.3526
2007-03-20,2007,-1.5547
2007-04-01,2007,-1.5509
2007-04-10,2007,-1.5514
2007-04-20,2007,-1.46
2007-05-01,2007,-1.4457
2007-05-10,2007,-1.3143
2007-05-20,2007,-1.1673
2007-06-01,2007,-0.9938
2007-06-10,2007,-0.8489
2007-06-20,2007,-0.6738
2007-07-01,2007,-0.6746
2007-07-10,2007,-0.7599
2007-07-20,2007,-0.865
2007-08-01,2007,-0.6111
2007-08-10,2007,0.4615
2007-08-20,2007,1.2388
2007-09-01,2007,1.1983
2007-09-10,2007,0.8936
2007-09-20,2007,0.5668
2007-10-01,2008,-0.1017
2007-10-10,2008,-0.7079
2007-10-20,2008,-0.7501
2007-11-01,2008,-1.0161
2007-11-10,2008,-1.231
2007-11-20,2008,-1.3909
2007-12-01,2008,-1.5209
2007-12-10,2008,-1.1376
2007-12-20,2008,-0.6153
2008-01-01,2008,1.1691
2008-01-10,2008,1.1994
2008-01-20,2008,1.1876
2008-02-01,2008,1.5353
2008-02-10,2008,1.6014
2008-02-20,2008,1.6636
2008-03-01,2008,1.7563
2008-03-10,2008,1.6381
2008-03-20,2008,1.5277
2008-04-01,2008,1.2288
2008-04-10,2008,0.966
2008-04-20,2008,0.6768
2008-05-01,2008,-0.229
2008-05-10,2008,-1.1341
2008-05-20,2008,-1.1936
2008-06-01,2008,-0.9444
2008-06-10,2008,-0.6858
2008-06-20,2008,0.2306
2008-07-01,2008,-0.0503
2008-07-10,2008,-0.1144
2008-07-20,2008,0.5782
2008-08-01,2008,0.6098
2008-08-10,2008,0.7021
2008-08-20,2008,-0.1848
2008-09-01,2008,-0.1421
2008-09-10,2008,-0.5291
2008-09-20,2008,-0.7434
2008-10-01,2009,-0.9808
2008-10-10,2009,-1.1984
2008-10-20,2009,-1.3737
2008-11-01,2009,-1.5656
2008-11-10,2009,-1.7251
2008-11-20,2009,-1.8976
2008-12-01,2009,-1.797
2008-12-10,2009,-1.7229
2008-12-20,2009,-1.2258
2009-01-01,2009,-0.9192
2009-01-10,2009,-0.5946
2009-01-20,2009,-0.5899
2009-02-01,2009,-0.6163
2009-02-10,2009,0.0995
2009-02-20,2009,-0.0832
2009-03-01,2009,-0.1447
2009-03-10,2009,-0.2599
2009-03-20,2009,-0.7248
2009-04-01,2009,-0.8974
2009-04-10,2009,-1.0199
2009-04-20,2009,-1.0999
2009-05-01,2009,-1.218
2009-05-10,2009,-1.3263
2009-05-20,2009,-1.4465
2009-06-01,2009,-1.2199
2009-06-10,2009,-0.9764
2009-06-20,2009,-0.6699
2009-07-01,2009,-0.6561
2009-07-10,2009,-0.6915
2009-07-20,2009,-0.8284
2009-08-01,2009,-1.0378
2009-08-10,2009,-1.32
2009-08-20,2009,-1.57
2009-09-01,2009,-1.9014
2009-09-10,2009,-2.1832
2009-09-20,2009,-2.4188
2009-10-01,2010,-2.6202
2009-10-10,2010,-2.833
2009-10-20,2010,-3.0362
2009-11-01,2010,-3.2154
2009-11-10,2010,-3.3212
2009-11-20,2010,-3.3317
2009-12-01,2010,-3.3455
2009-12-10,2010,-3.1132
2009-12-20,2010,-2.9045
2010-01-01,2010,-2.5451
2010-01-10,2010,-2.4048
2010-01-20,2010,-2.2264
2010-02-01,2010,-1.8346
2010-02-10,2010,-1.4347
2010-02-20,2010,-1.1515
2010-03-01,2010,-0.9725
2010-03-10,2010,-0.8771
2010-03-20,2010,-0.7825
2010-04-01,2010,-0.8573
2010-04-10,2010,-1.0804
2010-04-20,2010,-1.3157
2010-05-01,2010,-1.5015
2010-05-10,2010,-1.6199
2010-05-20,2010,-1.7033
2010-06-01,2010,-1.7577
2010-06-10,2010,-1.805
2010-06-20,2010,-1.7974
2010-07-01,2010,-1.7536
2010-07-10,2010,-1.7899
2010-07-20,2010,-1.9423
2010-08-01,2010,-2.0577
2010-08-10,2010,-1.9111
2010-08-20,2010,-1.7283
2010-09-01,2010,-1.6595
2010-09-10,2010,-1.923
2010-09-20,2010,-2.2481
2010-10-01,2011,-2.5218
2010-10-10,2011,-2.3348
2010-10-20,2011,-2.0033
2010-11-01,2011,-1.622
2010-11-10,2011,-1.6659
2010-11-20,2011,-1.7721
2010-12-01,2011,-1.9167
2010-12-10,2011,-2.0791
2010-12-20,2011,-2.1787
2011-01-01,2011,-2.1015
2011-01-10,2011,-1.9755
2011-01-20,2011,-1.8618
2011-02-01,2011,-1.9814
2011-02-10,2011,-2.1344
2011-02-20,2011,-2.0683
2011-03-01,2011,-1.9445
2011-03-10,2011,-1.7823
2011-03-20,2011,-1.8823
2011-04-01,2011,-2.0042
2011-04-10,2011,-2.1303
2011-04-20,2011,-2.2361
2011-05-01,2011,-2.168
2011-05-10,2011,-2.0474
2011-05-20,2011,-1.8249
2011-06-01,2011,-1.7801
2011-06-10,2011,-1.7801
2011-06-20,2011,-1.8024
2011-07-01,2011,-1.8016
2011-07-10,2011,-1.577
2011-07-20,2011,-1.3103
2011-08-01,2011,-1.1526
2011-08-10,2011,-1.281
2011-08-20,2011,-1.4818
2011-09-01,2011,-1.5989
2011-09-10,2011,-1.631
2011-09-20,2011,-1.3203
2011-10-01,2012,-1.1139
2011-10-10,2012,-0.8452
2011-10-20,2012,-0.9443
2011-11-01,2012,-0.9238
2011-11-10,2012,-0.7062
2011-11-20,2012,0.1708
2011-12-01,2012,0.8008
2011-12-10,2012,0.7813
2011-12-20,2012,0.8544
2012-01-01,2012,0.8725
2012-01-10,2012,0.6554
