"DateTime","(mm) Snow Depth (SNODAS) at Black Mesa, 2011-11-02 to 2014-11-01"
"2011-11-02",0
"2011-11-03",0
"2011-11-04",0
"2011-11-05",0
"2011-11-06",5.2531
"2011-11-07",2.7636
"2011-11-08",14.6964
"2011-11-09",12.1521
"2011-11-10",5.1835
"2011-11-11",1.1557
"2011-11-12",0.3566
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0
"2011-11-17",0
"2011-11-18",0
"2011-11-19",0
"2011-11-20",0
"2011-11-21",0
"2011-11-22",0
"2011-11-23",0
"2011-11-24",0
"2011-11-25",0
"2011-11-26",0
"2011-11-27",0
"2011-11-28",0
"2011-11-29",0
"2011-11-30",0
"2011-12-01",0
"2011-12-02",14.2046
"2011-12-03",24.1021
"2011-12-04",97.5993
"2011-12-05",85.9387
"2011-12-06",117.9325
"2011-12-07",106.6717
"2011-12-08",65.7402
"2011-12-09",59.3354
"2011-12-10",52.4709
"2011-12-11",48.2219
"2011-12-12",41.9776
"2011-12-13",92.03
"2011-12-14",110.3207
"2011-12-15",130.4149
"2011-12-16",105.8871
"2011-12-17",97.3464
"2011-12-18",90.5518
"2011-12-19",80.409
"2011-12-20",75.2458
"2011-12-21",51.4963
"2011-12-22",50.1588
"2011-12-23",52.0578
"2011-12-24",47.8946
"2011-12-25",43.0967
"2011-12-26",39.5729
"2011-12-27",37.5241
"2011-12-28",34.6912
"2011-12-29",32.0929
"2011-12-30",20.1844
"2011-12-31",9.3256
"2012-01-01",6.0328
"2012-01-02",3.8778
"2012-01-03",2.0482
"2012-01-04",2.6127
"2012-01-05",0.0345
"2012-01-06",0.0023
"2012-01-07",0
"2012-01-08",0
"2012-01-09",0
"2012-01-10",0
"2012-01-11",0
"2012-01-12",0
"2012-01-13",0
"2012-01-14",0
"2012-01-15",0
"2012-01-16",1.7861
"2012-01-17",44.0011
"2012-01-18",42.3429
"2012-01-19",17.8415
"2012-01-20",0.127
"2012-01-21",0
"2012-01-22",8.3576
"2012-01-23",9.7334
"2012-01-24",88.2219
"2012-01-25",81.5758
"2012-01-26",59.3137
"2012-01-27",8.7292
"2012-01-28",3.9572
"2012-01-29",2.5595
"2012-01-30",1.8237
"2012-01-31",0.6349
"2012-02-01",0.3248
"2012-02-02",0.1726
"2012-02-03",0.8097
"2012-02-04",26.5696
"2012-02-05",19.089
"2012-02-06",14.073
"2012-02-07",16.8752
"2012-02-08",11.6513
"2012-02-09",2.5241
"2012-02-10",0.029
"2012-02-11",0
"2012-02-12",0
