"date","waterYear","depth_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,0
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,0
2003-12-10,2004,0
2003-12-11,2004,0
2003-12-12,2004,0
2003-12-13,2004,0
2003-12-14,2004,0
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0
2003-12-27,2004,0
2003-12-28,2004,0
2003-12-29,2004,0
2003-12-30,2004,0
2003-12-31,2004,0
2004-01-01,2004,0
2004-01-02,2004,0
2004-01-03,2004,2.0814
2004-01-04,2004,0.0357
2004-01-05,2004,0
2004-01-06,2004,0
2004-01-07,2004,0
2004-01-08,2004,1.2023
2004-01-09,2004,0.1113
2004-01-10,2004,0.0077
2004-01-11,2004,0
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,0
2004-01-17,2004,0
2004-01-18,2004,0
2004-01-19,2004,0
2004-01-20,2004,0
2004-01-21,2004,1.1404
2004-01-22,2004,0.0093
2004-01-23,2004,0.0047
2004-01-24,2004,0
2004-01-25,2004,0
2004-01-26,2004,1.7168
2004-01-27,2004,0
2004-01-28,2004,0
2004-01-29,2004,0
2004-01-30,2004,0
2004-01-31,2004,0
2004-02-01,2004,0
2004-02-02,2004,0
2004-02-03,2004,0
2004-02-04,2004,21.4467
2004-02-05,2004,12.9507
2004-02-06,2004,3.3781
2004-02-07,2004,0.0623
2004-02-08,2004,0
2004-02-09,2004,0
2004-02-10,2004,0
2004-02-11,2004,0
2004-02-12,2004,0
2004-02-13,2004,0
2004-02-14,2004,0
2004-02-15,2004,0
2004-02-16,2004,0
2004-02-17,2004,0
2004-02-18,2004,0
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,0.618
2004-02-23,2004,0.2854
2004-02-24,2004,0.0047
2004-02-26,2004,0
2004-02-27,2004,0
2004-02-28,2004,0
2004-02-29,2004,0.807
2004-03-01,2004,0
2004-03-02,2004,0
2004-03-03,2004,0.3491
2004-03-04,2004,0.1863
2004-03-05,2004,0.0684
2004-03-06,2004,0
2004-03-07,2004,0
2004-03-08,2004,0
2004-03-09,2004,0
2004-03-10,2004,0
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,0
2004-04-05,2004,0
2004-04-06,2004,0
2004-04-07,2004,0
2004-04-08,2004,0
2004-04-09,2004,0
2004-04-10,2004,0
2004-04-11,2004,0
2004-04-12,2004,0
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0
2004-04-25,2004,0
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,0
2004-11-02,2005,0
2004-11-03,2005,0
2004-11-04,2005,0
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0
2004-11-11,2005,0
2004-11-12,2005,0
2004-11-13,2005,0
2004-11-14,2005,0.1227
2004-11-15,2005,0
2004-11-16,2005,0
2004-11-17,2005,0
2004-11-18,2005,0
2004-11-19,2005,0
2004-11-20,2005,0
2004-11-21,2005,0.0118
2004-11-22,2005,0.7831
2004-11-23,2005,0.2948
2004-11-24,2005,0
2004-11-25,2005,0
2004-11-26,2005,0
2004-11-27,2005,0
2004-11-28,2005,0
2004-11-29,2005,15.6606
2004-11-30,2005,16.5644
2004-12-01,2005,11.1517
2004-12-02,2005,6.7582
2004-12-03,2005,4.625
2004-12-04,2005,3.0708
2004-12-05,2005,10.7873
2004-12-06,2005,45.971
2004-12-07,2005,39.4533
2004-12-08,2005,35.5611
2004-12-09,2005,41.985
2004-12-10,2005,25.5489
2004-12-11,2005,20.1663
2004-12-12,2005,12.6051
2004-12-13,2005,5.8566
2004-12-14,2005,2.2526
2004-12-15,2005,2.2429
2004-12-16,2005,2.3503
2004-12-17,2005,2.5333
2004-12-18,2005,2.6223
2004-12-19,2005,2.8176
2004-12-20,2005,2.8476
2004-12-21,2005,2.2641
2004-12-22,2005,1.96
2004-12-23,2005,1.4513
2004-12-24,2005,1.1403
2004-12-25,2005,0.9819
2004-12-26,2005,0.9778
2004-12-27,2005,0.8121
2004-12-28,2005,0.6173
2004-12-29,2005,0.0384
2004-12-30,2005,0
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0
2005-01-04,2005,2.2596
2005-01-05,2005,0.8727
2005-01-06,2005,1.8138
2005-01-07,2005,1.1982
2005-01-08,2005,35.0264
2005-01-09,2005,5.5677
2005-01-10,2005,1.1794
2005-01-11,2005,0.4552
2005-01-12,2005,1.5921
2005-01-13,2005,8.4913
2005-01-14,2005,1.1773
2005-01-15,2005,0.3683
2005-01-16,2005,0.1247
2005-01-17,2005,0.0607
2005-01-18,2005,0.0259
2005-01-19,2005,0.0071
2005-01-20,2005,0
2005-01-21,2005,0
2005-01-22,2005,0
2005-01-23,2005,0
2005-01-24,2005,0
2005-01-25,2005,0
2005-01-26,2005,0
2005-01-27,2005,0
2005-01-28,2005,0
2005-01-29,2005,0
2005-01-30,2005,0
2005-01-31,2005,0.1369
2005-02-01,2005,0.0224
