"DateTime","(mm) Snow Depth (SNODAS) at Carrizo, 2011-11-02 to 2014-11-01"
"2011-11-02",0
"2011-11-03",0
"2011-11-04",0
"2011-11-05",0
"2011-11-06",9.9442
"2011-11-07",9.077
"2011-11-08",17.2077
"2011-11-09",30.1909
"2011-11-10",23.0217
"2011-11-11",14.6011
"2011-11-12",6.6628
"2011-11-13",0.0896
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0
"2011-11-17",0
"2011-11-18",0
"2011-11-19",0
"2011-11-20",0
"2011-11-21",0
"2011-11-22",0.3066
"2011-11-23",0.2359
"2011-11-24",0.0024
"2011-11-25",0
"2011-11-26",0
"2011-11-27",0
"2011-11-28",0
"2011-11-29",0
"2011-11-30",0
"2011-12-01",0
"2011-12-02",0
"2011-12-03",7.2064
"2011-12-04",43.0024
"2011-12-05",36.2273
"2011-12-06",50.5684
"2011-12-07",41.3424
"2011-12-08",1.6485
"2011-12-09",0.9267
"2011-12-10",0.5347
"2011-12-11",0.2979
"2011-12-12",0.1415
"2011-12-13",3.6743
"2011-12-14",4.4401
"2011-12-15",44.5295
"2011-12-16",36.2193
"2011-12-17",29.623
"2011-12-18",24.8065
"2011-12-19",22.436
"2011-12-20",20.3907
"2011-12-21",40.1486
"2011-12-22",35.2087
"2011-12-23",31.9505
"2011-12-24",26.5529
"2011-12-25",22.0047
"2011-12-26",18.7241
"2011-12-27",12.7715
"2011-12-28",10.8857
"2011-12-29",7.562
"2011-12-30",3.4626
"2011-12-31",0.7288
"2012-01-01",0.0212
"2012-01-02",0
"2012-01-03",0
"2012-01-04",53.6476
"2012-01-05",38.9894
"2012-01-06",30.5176
"2012-01-07",22.6806
"2012-01-08",16.3679
"2012-01-09",11.64
"2012-01-10",8.8853
"2012-01-11",5.9156
"2012-01-12",2.9342
"2012-01-13",1.3657
"2012-01-14",0.618
"2012-01-15",0.375
"2012-01-16",0.276
"2012-01-17",33.9438
"2012-01-18",29.3553
"2012-01-19",15.0149
"2012-01-20",2.1983
"2012-01-21",0.4741
"2012-01-22",4.5731
"2012-01-23",29.2474
"2012-01-24",63.2297
"2012-01-25",57.3502
"2012-01-26",24.1889
"2012-01-27",10.7883
"2012-01-28",3.9264
"2012-01-29",0.9977
"2012-01-30",0.3444
"2012-01-31",0.0684
"2012-02-01",0.0024
"2012-02-02",0
"2012-02-03",0.4602
"2012-02-04",26.3483
"2012-02-05",14.9902
"2012-02-06",8.0894
"2012-02-07",18.0401
"2012-02-08",8.3343
"2012-02-09",1.9124
"2012-02-10",0.0189
