Date,SoilMoisture
"1981-01-01:12 AM",0.2461
"1981-01-02:12 AM",0.2302
"1981-01-03:12 AM",0.2279
"1981-01-04:12 AM",0.225
"1981-01-05:12 AM",0.221
"1981-01-06:12 AM",0.2178
"1981-01-07:12 AM",0.217
"1981-01-08:12 AM",0.216
"1981-01-09:12 AM",0.2152
"1981-01-10:12 AM",0.214
"1981-01-11:12 AM",0.2123
"1981-01-12:12 AM",0.2223
"1981-01-13:12 AM",0.2335
"1981-01-14:12 AM",0.2305
"1981-01-15:12 AM",0.229
"1981-01-16:12 AM",0.2275
"1981-01-17:12 AM",0.2278
"1981-01-18:12 AM",0.223
"1981-01-19:12 AM",0.2211
"1981-01-20:12 AM",0.2186
"1981-01-21:12 AM",0.2154
"1981-01-22:12 AM",0.2134
"1981-01-23:12 AM",0.2117
"1981-01-24:12 AM",0.2086
"1981-01-25:12 AM",0.2053
"1981-01-26:12 AM",0.2043
"1981-01-27:12 AM",0.2046
"1981-01-28:12 AM",0.2102
"1981-01-29:12 AM",0.2132
"1981-01-30:12 AM",0.2069
"1981-01-31:12 AM",0.2113
"1981-02-01:12 AM",0.2087
"1981-02-02:12 AM",0.2102
"1981-02-03:12 AM",0.2136
"1981-02-04:12 AM",0.2159
"1981-02-05:12 AM",0.2153
"1981-02-06:12 AM",0.2178
"1981-02-07:12 AM",0.2061
"1981-02-08:12 AM",0.2161
"1981-02-09:12 AM",0.229
"1981-02-10:12 AM",0.2477
"1981-02-11:12 AM",0.2611
"1981-02-12:12 AM",0.2706
"1981-02-13:12 AM",0.2798
"1981-02-14:12 AM",0.2827
"1981-02-15:12 AM",0.2805
"1981-02-16:12 AM",0.2539
"1981-02-17:12 AM",0.248
"1981-02-18:12 AM",0.258
"1981-02-19:12 AM",0.2526
"1981-02-20:12 AM",0.2573
"1981-02-21:12 AM",0.2275
"1981-02-22:12 AM",0.2367
"1981-02-23:12 AM",0.2561
"1981-02-24:12 AM",0.2552
"1981-02-25:12 AM",0.243
"1981-02-26:12 AM",0.2471
"1981-02-27:12 AM",0.249
"1981-02-28:12 AM",0.2548
"1981-03-01:12 AM",0.2628
"1981-03-02:12 AM",0.2798
"1981-03-03:12 AM",0.3265
"1981-03-04:12 AM",0.3084
"1981-03-05:12 AM",0.3078
"1981-03-06:12 AM",0.2923
"1981-03-07:12 AM",0.2913
"1981-03-08:12 AM",0.3093
"1981-03-09:12 AM",0.3147
"1981-03-10:12 AM",0.3052
"1981-03-11:12 AM",0.3015
"1981-03-12:12 AM",0.2913
"1981-03-13:12 AM",0.2839
"1981-03-14:12 AM",0.3071
"1981-03-15:12 AM",0.2894
"1981-03-16:12 AM",0.2761
"1981-03-17:12 AM",0.2646
"1981-03-18:12 AM",0.2585
"1981-03-19:12 AM",0.2563
"1981-03-20:12 AM",0.2524
"1981-03-21:12 AM",0.236
"1981-03-22:12 AM",0.2405
"1981-03-23:12 AM",0.2342
"1981-03-24:12 AM",0.2311
