Date,SoilMoisture
"1981-01-01:12 AM",0.2618
"1981-01-02:12 AM",0.2481
"1981-01-03:12 AM",0.2457
"1981-01-04:12 AM",0.2432
"1981-01-05:12 AM",0.2398
"1981-01-06:12 AM",0.2366
"1981-01-07:12 AM",0.2362
"1981-01-08:12 AM",0.2356
"1981-01-09:12 AM",0.2351
"1981-01-10:12 AM",0.2342
"1981-01-11:12 AM",0.2328
"1981-01-12:12 AM",0.2318
"1981-01-13:12 AM",0.2352
"1981-01-14:12 AM",0.2347
"1981-01-15:12 AM",0.2337
"1981-01-16:12 AM",0.2331
"1981-01-17:12 AM",0.2359
"1981-01-18:12 AM",0.2302
"1981-01-19:12 AM",0.2292
"1981-01-20:12 AM",0.2274
"1981-01-21:12 AM",0.2251
"1981-01-22:12 AM",0.2238
"1981-01-23:12 AM",0.2225
"1981-01-24:12 AM",0.22
"1981-01-25:12 AM",0.2165
"1981-01-26:12 AM",0.2155
"1981-01-27:12 AM",0.2162
"1981-01-28:12 AM",0.2221
"1981-01-29:12 AM",0.2271
"1981-01-30:12 AM",0.2143
"1981-01-31:12 AM",0.2251
"1981-02-01:12 AM",0.2228
"1981-02-02:12 AM",0.226
"1981-02-03:12 AM",0.2305
"1981-02-04:12 AM",0.2356
"1981-02-05:12 AM",0.2341
"1981-02-06:12 AM",0.2393
"1981-02-07:12 AM",0.2245
"1981-02-08:12 AM",0.2402
"1981-02-09:12 AM",0.2523
"1981-02-10:12 AM",0.2545
"1981-02-11:12 AM",0.2704
"1981-02-12:12 AM",0.2896
"1981-02-13:12 AM",0.3025
"1981-02-14:12 AM",0.3115
"1981-02-15:12 AM",0.3144
"1981-02-16:12 AM",0.2812
"1981-02-17:12 AM",0.2767
"1981-02-18:12 AM",0.2858
"1981-02-19:12 AM",0.2815
"1981-02-20:12 AM",0.2921
"1981-02-21:12 AM",0.2546
"1981-02-22:12 AM",0.2702
"1981-02-23:12 AM",0.3189
"1981-02-24:12 AM",0.3202
"1981-02-25:12 AM",0.2919
"1981-02-26:12 AM",0.2987
"1981-02-27:12 AM",0.2944
"1981-02-28:12 AM",0.3004
"1981-03-01:12 AM",0.3127
"1981-03-02:12 AM",0.3076
"1981-03-03:12 AM",0.3451
"1981-03-04:12 AM",0.3406
"1981-03-05:12 AM",0.3584
"1981-03-06:12 AM",0.325
"1981-03-07:12 AM",0.3225
"1981-03-08:12 AM",0.3458
"1981-03-09:12 AM",0.3588
"1981-03-10:12 AM",0.3558
"1981-03-11:12 AM",0.3598
"1981-03-12:12 AM",0.3455
"1981-03-13:12 AM",0.3438
"1981-03-14:12 AM",0.342
"1981-03-15:12 AM",0.3458
"1981-03-16:12 AM",0.326
"1981-03-17:12 AM",0.3133
"1981-03-18:12 AM",0.313
"1981-03-19:12 AM",0.3254
"1981-03-20:12 AM",0.3188
"1981-03-21:12 AM",0.2908
"1981-03-22:12 AM",0.3083
"1981-03-23:12 AM",0.2997
"1981-03-24:12 AM",0.2948
"1981-03-25:12 AM",0.2959
"1981-03-26:12 AM",0.2507
"1981-03-27:12 AM",0.3193
"1981-03-28:12 AM",0.2704
"1981-03-29:12 AM",0.3394
"1981-03-30:12 AM",0.3239
"1981-03-31:12 AM",0.3178
"1981-04-01:12 AM",0.3021
"1981-04-02:12 AM",0.307
"1981-04-03:12 AM",0.311
"1981-04-04:12 AM",0.2713
"1981-04-05:12 AM",0.2962
"1981-04-06:12 AM",0.291
"1981-04-07:12 AM",0.2972
"1981-04-08:12 AM",0.2892
"1981-04-09:12 AM",0.2726
"1981-04-10:12 AM",0.2734
"1981-04-11:12 AM",0.2856
"1981-04-12:12 AM",0.2695
"1981-04-13:12 AM",0.2802
"1981-04-14:12 AM",0.2626
"1981-04-15:12 AM",0.2962
"1981-04-16:12 AM",0.2752
"1981-04-17:12 AM",0.2686
"1981-04-18:12 AM",0.2859
"1981-04-19:12 AM",0.2882
"1981-04-20:12 AM",0.2633
"1981-04-21:12 AM",0.2684
"1981-04-22:12 AM",0.262
"1981-04-23:12 AM",0.2564
"1981-04-24:12 AM",0.2371
"1981-04-25:12 AM",0.2122
"1981-04-26:12 AM",0.2068
"1981-04-27:12 AM",0.2347
"1981-04-28:12 AM",0.194
"1981-04-29:12 AM",0.1958
"1981-04-30:12 AM",0.1945
"1981-05-01:12 AM",0.2178
"1981-05-02:12 AM",0.2883
"1981-05-03:12 AM",0.2344
"1981-05-04:12 AM",0.19
"1981-05-05:12 AM",0.1901
"1981-05-06:12 AM",0.1836
"1981-05-07:12 AM",0.1918
"1981-05-08:12 AM",0.2007
"1981-05-09:12 AM",0.2058
"1981-05-10:12 AM",0.1797
"1981-05-11:12 AM",0.1714
"1981-05-12:12 AM",0.1642
"1981-05-13:12 AM",0.1593
"1981-05-14:12 AM",0.1574
"1981-05-15:12 AM",0.1556
"1981-05-16:12 AM",0.1779
"1981-05-17:12 AM",0.1725
"1981-05-18:12 AM",0.1658
"1981-05-19:12 AM",0.1639
"1981-05-20:12 AM",0.1607
"1981-05-21:12 AM",0.1588
"1981-05-22:12 AM",0.1568
"1981-05-23:12 AM",0.1557
"1981-05-24:12 AM",0.1546
"1981-05-25:12 AM",0.1536
"1981-05-26:12 AM",0.1527
"1981-05-27:12 AM",0.1522
"1981-05-28:12 AM",0.1581
"1981-05-29:12 AM",0.1661
"1981-05-30:12 AM",0.1688
"1981-05-31:12 AM",0.1674
"1981-06-01:12 AM",0.1707
"1981-06-02:12 AM",0.1684
"1981-06-03:12 AM",0.1844
"1981-06-04:12 AM",0.1778
"1981-06-05:12 AM",0.1698
"1981-06-06:12 AM",0.1673
"1981-06-07:12 AM",0.1646
"1981-06-08:12 AM",0.1614
"1981-06-09:12 AM",0.1587
"1981-06-10:12 AM",0.1565
"1981-06-11:12 AM",0.1544
"1981-06-12:12 AM",0.1523
"1981-06-13:12 AM",0.1504
"1981-06-14:12 AM",0.1488
"1981-06-15:12 AM",0.1475
"1981-06-16:12 AM",0.1467
"1981-06-17:12 AM",0.1459
"1981-06-18:12 AM",0.1449
"1981-06-19:12 AM",0.1441
"1981-06-20:12 AM",0.1433
"1981-06-21:12 AM",0.1424
"1981-06-22:12 AM",0.1416
"1981-06-23:12 AM",0.1409
"1981-06-24:12 AM",0.1402
"1981-06-25:12 AM",0.1397
"1981-06-26:12 AM",0.1403
"1981-06-27:12 AM",0.141
"1981-06-28:12 AM",0.1622
"1981-06-29:12 AM",0.1589
"1981-06-30:12 AM",0.1581
"1981-07-01:12 AM",0.1974
"1981-07-02:12 AM",0.2044
"1981-07-03:12 AM",0.1966
"1981-07-04:12 AM",0.1897
"1981-07-05:12 AM",0.1834
"1981-07-06:12 AM",0.1787
"1981-07-07:12 AM",0.1755
"1981-07-08:12 AM",0.171
"1981-07-09:12 AM",0.1683
"1981-07-10:12 AM",0.2192
"1981-07-11:12 AM",0.1739
"1981-07-12:12 AM",0.2131
"1981-07-13:12 AM",0.2571
"1981-07-14:12 AM",0.2633
"1981-07-15:12 AM",0.2596
"1981-07-16:12 AM",0.2594
"1981-07-17:12 AM",0.2462
"1981-07-18:12 AM",0.2441
"1981-07-19:12 AM",0.2266
"1981-07-20:12 AM",0.2144
"1981-07-21:12 AM",0.2046
"1981-07-22:12 AM",0.1966
"1981-07-23:12 AM",0.2586
"1981-07-24:12 AM",0.2949
"1981-07-25:12 AM",0.2046
"1981-07-26:12 AM",0.2167
"1981-07-27:12 AM",0.1932
"1981-07-28:12 AM",0.1871
"1981-07-29:12 AM",0.1824
"1981-07-30:12 AM",0.1782
"1981-07-31:12 AM",0.1752
"1981-08-01:12 AM",0.1824
"1981-08-02:12 AM",0.1754
"1981-08-03:12 AM",0.1727
"1981-08-04:12 AM",0.1699
"1981-08-05:12 AM",0.1671
"1981-08-06:12 AM",0.1644
"1981-08-07:12 AM",0.1618
"1981-08-08:12 AM",0.1597
"1981-08-09:12 AM",0.1591
"1981-08-10:12 AM",0.1943
"1981-08-11:12 AM",0.2033
"1981-08-12:12 AM",0.1867
"1981-08-13:12 AM",0.1904
"1981-08-14:12 AM",0.19
"1981-08-15:12 AM",0.1864
"1981-08-16:12 AM",0.1838
"1981-08-17:12 AM",0.1804
"1981-08-18:12 AM",0.1775
"1981-08-19:12 AM",0.1786
"1981-08-20:12 AM",0.1745
"1981-08-21:12 AM",0.1718
"1981-08-22:12 AM",0.172
"1981-08-23:12 AM",0.1713
"1981-08-24:12 AM",0.1692
"1981-08-25:12 AM",0.1677
"1981-08-26:12 AM",0.1654
"1981-08-27:12 AM",0.1637
"1981-08-28:12 AM",0.1663
"1981-08-29:12 AM",0.1697
"1981-08-30:12 AM",0.1703
"1981-08-31:12 AM",0.1963
"1981-09-01:12 AM",0.2067
"1981-09-02:12 AM",0.2001
"1981-09-03:12 AM",0.2011
"1981-09-04:12 AM",0.1928
"1981-09-05:12 AM",0.2668
"1981-09-06:12 AM",0.2611
"1981-09-07:12 AM",0.25
"1981-09-08:12 AM",0.2378
"1981-09-09:12 AM",0.237
"1981-09-10:12 AM",0.2349
"1981-09-11:12 AM",0.2271
"1981-09-12:12 AM",0.2222
"1981-09-13:12 AM",0.2156
"1981-09-14:12 AM",0.2089
"1981-09-15:12 AM",0.2059
"1981-09-16:12 AM",0.2036
"1981-09-17:12 AM",0.1984
"1981-09-18:12 AM",0.1937
"1981-09-19:12 AM",0.1901
"1981-09-20:12 AM",0.1856
"1981-09-21:12 AM",0.1816
"1981-09-22:12 AM",0.179
"1981-09-23:12 AM",0.1782
"1981-09-24:12 AM",0.1834
"1981-09-25:12 AM",0.177
"1981-09-26:12 AM",0.1733
"1981-09-27:12 AM",0.1714
"1981-09-28:12 AM",0.169
"1981-09-29:12 AM",0.1675
"1981-09-30:12 AM",0.1641
"1981-10-01:12 AM",0.1653
"1981-10-02:12 AM",0.271
"1981-10-03:12 AM",0.2766
"1981-10-04:12 AM",0.2596
"1981-10-05:12 AM",0.2464
"1981-10-06:12 AM",0.2388
"1981-10-07:12 AM",0.2296
"1981-10-08:12 AM",0.22
"1981-10-09:12 AM",0.2136
"1981-10-10:12 AM",0.2084
"1981-10-11:12 AM",0.2023
"1981-10-12:12 AM",0.1981
"1981-10-13:12 AM",0.2017
"1981-10-14:12 AM",0.1983
"1981-10-15:12 AM",0.2041
"1981-10-16:12 AM",0.1979
"1981-10-17:12 AM",0.1951
"1981-10-18:12 AM",0.1929
"1981-10-19:12 AM",0.1908
"1981-10-20:12 AM",0.1884
"1981-10-21:12 AM",0.1861
"1981-10-22:12 AM",0.1838
"1981-10-23:12 AM",0.1817
"1981-10-24:12 AM",0.1795
"1981-10-25:12 AM",0.1766
"1981-10-26:12 AM",0.1748
"1981-10-27:12 AM",0.1732
"1981-10-28:12 AM",0.1725
"1981-10-29:12 AM",0.172
"1981-10-30:12 AM",0.1676
"1981-10-31:12 AM",0.1661
"1981-11-01:12 AM",0.1653
"1981-11-02:12 AM",0.165
"1981-11-03:12 AM",0.1655
"1981-11-04:12 AM",0.165
"1981-11-05:12 AM",0.1644
"1981-11-06:12 AM",0.1689
"1981-11-07:12 AM",0.1842
"1981-11-08:12 AM",0.2013
"1981-11-09:12 AM",0.1993
"1981-11-10:12 AM",0.1983
"1981-11-11:12 AM",0.197
"1981-11-12:12 AM",0.1954
"1981-11-13:12 AM",0.194
"1981-11-14:12 AM",0.1924
"1981-11-15:12 AM",0.1898
"1981-11-16:12 AM",0.1875
"1981-11-17:12 AM",0.1852
"1981-11-18:12 AM",0.1832
"1981-11-19:12 AM",0.1801
"1981-11-20:12 AM",0.1792
"1981-11-21:12 AM",0.179
"1981-11-22:12 AM",0.1785
"1981-11-23:12 AM",0.1776
"1981-11-24:12 AM",0.1765
"1981-11-25:12 AM",0.1743
"1981-11-26:12 AM",0.1737
"1981-11-27:12 AM",0.1702
"1981-11-28:12 AM",0.2032
"1981-11-29:12 AM",0.3248
"1981-11-30:12 AM",0.3021
"1981-12-01:12 AM",0.3114
"1981-12-02:12 AM",0.3131
"1981-12-03:12 AM",0.3166
"1981-12-04:12 AM",0.3174
"1981-12-05:12 AM",0.3155
"1981-12-06:12 AM",0.2991
"1981-12-07:12 AM",0.3002
"1981-12-08:12 AM",0.2975
"1981-12-09:12 AM",0.284
"1981-12-10:12 AM",0.2716
"1981-12-11:12 AM",0.2818
"1981-12-12:12 AM",0.267
"1981-12-13:12 AM",0.2644
"1981-12-14:12 AM",0.265
"1981-12-15:12 AM",0.2695
"1981-12-16:12 AM",0.2684
"1981-12-17:12 AM",0.2608
"1981-12-18:12 AM",0.267
"1981-12-19:12 AM",0.2634
"1981-12-20:12 AM",0.2725
"1981-12-21:12 AM",0.2763
"1981-12-22:12 AM",0.2716
"1981-12-23:12 AM",0.2542
"1981-12-24:12 AM",0.255
"1981-12-25:12 AM",0.2581
"1981-12-26:12 AM",0.2645
"1981-12-27:12 AM",0.2714
"1981-12-28:12 AM",0.2654
"1981-12-29:12 AM",0.2728
"1981-12-30:12 AM",0.2703
"1981-12-31:12 AM",0.2719
"1982-01-01:12 AM",0.3134
"1982-01-02:12 AM",0.2928
"1982-01-03:12 AM",0.2901
"1982-01-04:12 AM",0.2919
"1982-01-05:12 AM",0.2991
"1982-01-06:12 AM",0.3679
"1982-01-07:12 AM",0.3525
"1982-01-08:12 AM",0.3519
"1982-01-09:12 AM",0.3538
"1982-01-10:12 AM",0.3624
"1982-01-11:12 AM",0.3752
"1982-01-12:12 AM",0.4446
"1982-01-13:12 AM",0.4191
"1982-01-14:12 AM",0.426
"1982-01-15:12 AM",0.4341
"1982-01-16:12 AM",0.448
"1982-01-17:12 AM",0.4534
"1982-01-18:12 AM",0.4579
"1982-01-19:12 AM",0.462
"1982-01-20:12 AM",0.4599
"1982-01-21:12 AM",0.4612
"1982-01-22:12 AM",0.4615
"1982-01-23:12 AM",0.4603
"1982-01-24:12 AM",0.4616
"1982-01-25:12 AM",0.4639
"1982-01-26:12 AM",0.4636
"1982-01-27:12 AM",0.4581
"1982-01-28:12 AM",0.4529
"1982-01-29:12 AM",0.4586
"1982-01-30:12 AM",0.4457
"1982-01-31:12 AM",0.4475
"1982-02-01:12 AM",0.4505
"1982-02-02:12 AM",0.4502
"1982-02-03:12 AM",0.4503
"1982-02-04:12 AM",0.451
"1982-02-05:12 AM",0.4509
"1982-02-06:12 AM",0.4509
"1982-02-07:12 AM",0.453
"1982-02-08:12 AM",0.4579
"1982-02-09:12 AM",0.458
"1982-02-10:12 AM",0.4594
"1982-02-11:12 AM",0.464
"1982-02-12:12 AM",0.4639
"1982-02-13:12 AM",0.4639
"1982-02-14:12 AM",0.464
"1982-02-15:12 AM",0.464
"1982-02-16:12 AM",0.464
"1982-02-17:12 AM",0.464
"1982-02-18:12 AM",0.464
"1982-02-19:12 AM",0.464
"1982-02-20:12 AM",0.464
"1982-02-21:12 AM",0.464
"1982-02-22:12 AM",0.4638
