Date,SoilMoisture
"1981-01-01:12 AM",0.1814
"1981-01-02:12 AM",0.1802
"1981-01-03:12 AM",0.1785
"1981-01-04:12 AM",0.1776
"1981-01-05:12 AM",0.1762
"1981-01-06:12 AM",0.1743
"1981-01-07:12 AM",0.1737
"1981-01-08:12 AM",0.1731
"1981-01-09:12 AM",0.1727
"1981-01-10:12 AM",0.172
"1981-01-11:12 AM",0.1714
"1981-01-12:12 AM",0.1894
"1981-01-13:12 AM",0.1994
"1981-01-14:12 AM",0.1929
"1981-01-15:12 AM",0.1924
"1981-01-16:12 AM",0.1926
"1981-01-17:12 AM",0.204
"1981-01-18:12 AM",0.1879
"1981-01-19:12 AM",0.1862
"1981-01-20:12 AM",0.184
"1981-01-21:12 AM",0.1816
"1981-01-22:12 AM",0.1803
"1981-01-23:12 AM",0.1794
"1981-01-24:12 AM",0.1774
"1981-01-25:12 AM",0.175
"1981-01-26:12 AM",0.1742
"1981-01-27:12 AM",0.1739
"1981-01-28:12 AM",0.1801
"1981-01-29:12 AM",0.1825
"1981-01-30:12 AM",0.1904
"1981-01-31:12 AM",0.1893
"1981-02-01:12 AM",0.1882
"1981-02-02:12 AM",0.1884
"1981-02-03:12 AM",0.1877
"1981-02-04:12 AM",0.1863
"1981-02-05:12 AM",0.1848
"1981-02-06:12 AM",0.184
"1981-02-07:12 AM",0.1814
"1981-02-08:12 AM",0.179
"1981-02-09:12 AM",0.2098
"1981-02-10:12 AM",0.2335
"1981-02-11:12 AM",0.2468
"1981-02-12:12 AM",0.2521
"1981-02-13:12 AM",0.2629
"1981-02-14:12 AM",0.2563
"1981-02-15:12 AM",0.2423
"1981-02-16:12 AM",0.2311
"1981-02-17:12 AM",0.2249
"1981-02-18:12 AM",0.2179
"1981-02-19:12 AM",0.211
"1981-02-20:12 AM",0.2038
"1981-02-21:12 AM",0.1984
"1981-02-22:12 AM",0.1943
"1981-02-23:12 AM",0.1921
"1981-02-24:12 AM",0.1892
"1981-02-25:12 AM",0.1839
"1981-02-26:12 AM",0.1823
"1981-02-27:12 AM",0.1946
"1981-02-28:12 AM",0.2055
"1981-03-01:12 AM",0.2154
"1981-03-02:12 AM",0.2346
"1981-03-03:12 AM",0.284
"1981-03-04:12 AM",0.2652
"1981-03-05:12 AM",0.272
"1981-03-06:12 AM",0.2551
"1981-03-07:12 AM",0.2575
"1981-03-08:12 AM",0.2781
"1981-03-09:12 AM",0.2955
"1981-03-10:12 AM",0.2785
"1981-03-11:12 AM",0.2839
"1981-03-12:12 AM",0.2599
"1981-03-13:12 AM",0.2608
"1981-03-14:12 AM",0.2889
"1981-03-15:12 AM",0.2521
"1981-03-16:12 AM",0.2434
"1981-03-17:12 AM",0.2277
"1981-03-18:12 AM",0.2183
"1981-03-19:12 AM",0.2117
"1981-03-20:12 AM",0.2064
"1981-03-21:12 AM",0.2008
"1981-03-22:12 AM",0.1913
"1981-03-23:12 AM",0.1879
"1981-03-24:12 AM",0.1846
"1981-03-25:12 AM",0.1802
"1981-03-26:12 AM",0.1757
"1981-03-27:12 AM",0.204
"1981-03-28:12 AM",0.1976
"1981-03-29:12 AM",0.2639
"1981-03-30:12 AM",0.3036
"1981-03-31:12 AM",0.3016
"1981-04-01:12 AM",0.2846
"1981-04-02:12 AM",0.2633
"1981-04-03:12 AM",0.2257
"1981-04-04:12 AM",0.2258
"1981-04-05:12 AM",0.2281
"1981-04-06:12 AM",0.2117
"1981-04-07:12 AM",0.1992
"1981-04-08:12 AM",0.1882
