Date,SoilMoisture
"1981-01-01:12 AM",0.1824
"1981-01-02:12 AM",0.1814
"1981-01-03:12 AM",0.1795
"1981-01-04:12 AM",0.1786
"1981-01-05:12 AM",0.1772
"1981-01-06:12 AM",0.1752
"1981-01-07:12 AM",0.1748
"1981-01-08:12 AM",0.1742
"1981-01-09:12 AM",0.1738
"1981-01-10:12 AM",0.1731
"1981-01-11:12 AM",0.1724
"1981-01-12:12 AM",0.1809
"1981-01-13:12 AM",0.1884
"1981-01-14:12 AM",0.1825
"1981-01-15:12 AM",0.1825
"1981-01-16:12 AM",0.1835
"1981-01-17:12 AM",0.198
"1981-01-18:12 AM",0.1793
"1981-01-19:12 AM",0.1783
"1981-01-20:12 AM",0.1768
"1981-01-21:12 AM",0.175
"1981-01-22:12 AM",0.1742
"1981-01-23:12 AM",0.1736
"1981-01-24:12 AM",0.1719
"1981-01-25:12 AM",0.1698
"1981-01-26:12 AM",0.1692
"1981-01-27:12 AM",0.169
"1981-01-28:12 AM",0.1733
"1981-01-29:12 AM",0.1755
"1981-01-30:12 AM",0.185
"1981-01-31:12 AM",0.1849
"1981-02-01:12 AM",0.1839
"1981-02-02:12 AM",0.1844
"1981-02-03:12 AM",0.184
"1981-02-04:12 AM",0.1826
"1981-02-05:12 AM",0.1812
"1981-02-06:12 AM",0.1803
"1981-02-07:12 AM",0.1777
"1981-02-08:12 AM",0.1754
"1981-02-09:12 AM",0.1923
"1981-02-10:12 AM",0.2106
"1981-02-11:12 AM",0.2198
"1981-02-12:12 AM",0.228
"1981-02-13:12 AM",0.2508
"1981-02-14:12 AM",0.251
"1981-02-15:12 AM",0.2358
"1981-02-16:12 AM",0.2241
"1981-02-17:12 AM",0.2185
"1981-02-18:12 AM",0.2123
"1981-02-19:12 AM",0.2063
"1981-02-20:12 AM",0.199
"1981-02-21:12 AM",0.1936
"1981-02-22:12 AM",0.1899
"1981-02-23:12 AM",0.1878
"1981-02-24:12 AM",0.1852
"1981-02-25:12 AM",0.1801
"1981-02-26:12 AM",0.178
"1981-02-27:12 AM",0.1896
"1981-02-28:12 AM",0.2033
"1981-03-01:12 AM",0.2106
"1981-03-02:12 AM",0.2224
"1981-03-03:12 AM",0.2783
"1981-03-04:12 AM",0.2643
"1981-03-05:12 AM",0.2758
"1981-03-06:12 AM",0.2514
"1981-03-07:12 AM",0.2523
"1981-03-08:12 AM",0.2795
"1981-03-09:12 AM",0.2995
"1981-03-10:12 AM",0.2797
"1981-03-11:12 AM",0.2898
"1981-03-12:12 AM",0.2628
"1981-03-13:12 AM",0.2745
"1981-03-14:12 AM",0.2753
"1981-03-15:12 AM",0.2593
"1981-03-16:12 AM",0.2497
"1981-03-17:12 AM",0.2317
"1981-03-18:12 AM",0.2216
"1981-03-19:12 AM",0.2148
"1981-03-20:12 AM",0.2068
"1981-03-21:12 AM",0.2028
"1981-03-22:12 AM",0.1932
"1981-03-23:12 AM",0.1897
"1981-03-24:12 AM",0.1866
"1981-03-25:12 AM",0.1821
"1981-03-26:12 AM",0.1776
"1981-03-27:12 AM",0.1978
"1981-03-28:12 AM",0.1974
"1981-03-29:12 AM",0.2427
"1981-03-30:12 AM",0.2945
"1981-03-31:12 AM",0.3096
"1981-04-01:12 AM",0.2962
"1981-04-02:12 AM",0.2686
"1981-04-03:12 AM",0.2278
"1981-04-04:12 AM",0.2279
"1981-04-05:12 AM",0.2306
"1981-04-06:12 AM",0.2142
"1981-04-07:12 AM",0.2008
"1981-04-08:12 AM",0.1893
"1981-04-09:12 AM",0.1826
"1981-04-10:12 AM",0.1767
"1981-04-11:12 AM",0.1713
"1981-04-12:12 AM",0.1676
"1981-04-13:12 AM",0.1689
"1981-04-14:12 AM",0.1776
"1981-04-15:12 AM",0.1712
"1981-04-16:12 AM",0.1762
"1981-04-17:12 AM",0.174
"1981-04-18:12 AM",0.1878
"1981-04-19:12 AM",0.1754
"1981-04-20:12 AM",0.1742
"1981-04-21:12 AM",0.1711
"1981-04-22:12 AM",0.1684
"1981-04-23:12 AM",0.1651
"1981-04-24:12 AM",0.163
"1981-04-25:12 AM",0.161
"1981-04-26:12 AM",0.1584
"1981-04-27:12 AM",0.1566
"1981-04-28:12 AM",0.1553
"1981-04-29:12 AM",0.1539
"1981-04-30:12 AM",0.1543
"1981-05-01:12 AM",0.1806
"1981-05-02:12 AM",0.1687
"1981-05-03:12 AM",0.1737
"1981-05-04:12 AM",0.159
"1981-05-05:12 AM",0.1574
"1981-05-06:12 AM",0.1548
"1981-05-07:12 AM",0.1525
"1981-05-08:12 AM",0.1507
"1981-05-09:12 AM",0.1487
"1981-05-10:12 AM",0.1478
"1981-05-11:12 AM",0.1465
"1981-05-12:12 AM",0.1448
"1981-05-13:12 AM",0.1434
"1981-05-14:12 AM",0.1425
"1981-05-15:12 AM",0.1433
"1981-05-16:12 AM",0.1597
"1981-05-17:12 AM",0.1654
"1981-05-18:12 AM",0.1496
"1981-05-19:12 AM",0.1486
"1981-05-20:12 AM",0.1468
"1981-05-21:12 AM",0.1467
"1981-05-22:12 AM",0.1444
"1981-05-23:12 AM",0.1452
"1981-05-24:12 AM",0.1443
"1981-05-25:12 AM",0.1427
"1981-05-26:12 AM",0.1424
"1981-05-27:12 AM",0.1426
"1981-05-28:12 AM",0.1414
"1981-05-29:12 AM",0.1495
"1981-05-30:12 AM",0.166
"1981-05-31:12 AM",0.1651
"1981-06-01:12 AM",0.1723
"1981-06-02:12 AM",0.1718
"1981-06-03:12 AM",0.1817
"1981-06-04:12 AM",0.1885
"1981-06-05:12 AM",0.1764
"1981-06-06:12 AM",0.173
"1981-06-07:12 AM",0.1689
"1981-06-08:12 AM",0.1641
