Date,SoilMoisture
"1981-01-01:12 AM",0.1922
"1981-01-02:12 AM",0.1911
"1981-01-03:12 AM",0.1893
"1981-01-04:12 AM",0.1888
"1981-01-05:12 AM",0.1871
"1981-01-06:12 AM",0.1851
"1981-01-07:12 AM",0.185
"1981-01-08:12 AM",0.1847
"1981-01-09:12 AM",0.1844
"1981-01-10:12 AM",0.1839
"1981-01-11:12 AM",0.1832
"1981-01-12:12 AM",0.1842
"1981-01-13:12 AM",0.1856
"1981-01-14:12 AM",0.1833
"1981-01-15:12 AM",0.1832
"1981-01-16:12 AM",0.1842
"1981-01-17:12 AM",0.1924
"1981-01-18:12 AM",0.1811
"1981-01-19:12 AM",0.1805
"1981-01-20:12 AM",0.1793
"1981-01-21:12 AM",0.1777
"1981-01-22:12 AM",0.1776
"1981-01-23:12 AM",0.1773
"1981-01-24:12 AM",0.1761
"1981-01-25:12 AM",0.1741
"1981-01-26:12 AM",0.1738
"1981-01-27:12 AM",0.1741
"1981-01-28:12 AM",0.178
"1981-01-29:12 AM",0.1823
"1981-01-30:12 AM",0.1972
"1981-01-31:12 AM",0.1958
"1981-02-01:12 AM",0.1928
"1981-02-02:12 AM",0.1947
"1981-02-03:12 AM",0.1941
"1981-02-04:12 AM",0.1927
"1981-02-05:12 AM",0.1912
"1981-02-06:12 AM",0.1901
"1981-02-07:12 AM",0.1873
"1981-02-08:12 AM",0.1846
"1981-02-09:12 AM",0.2107
"1981-02-10:12 AM",0.2332
"1981-02-11:12 AM",0.2367
"1981-02-12:12 AM",0.2418
"1981-02-13:12 AM",0.2539
"1981-02-14:12 AM",0.2514
"1981-02-15:12 AM",0.2393
"1981-02-16:12 AM",0.2298
"1981-02-17:12 AM",0.2251
"1981-02-18:12 AM",0.2195
"1981-02-19:12 AM",0.2141
"1981-02-20:12 AM",0.2067
"1981-02-21:12 AM",0.1996
"1981-02-22:12 AM",0.1953
"1981-02-23:12 AM",0.1929
"1981-02-24:12 AM",0.1903
"1981-02-25:12 AM",0.1848
"1981-02-26:12 AM",0.1806
"1981-02-27:12 AM",0.183
"1981-02-28:12 AM",0.1961
"1981-03-01:12 AM",0.2219
"1981-03-02:12 AM",0.2161
"1981-03-03:12 AM",0.2787
"1981-03-04:12 AM",0.274
"1981-03-05:12 AM",0.2812
"1981-03-06:12 AM",0.2562
"1981-03-07:12 AM",0.2571
"1981-03-08:12 AM",0.2746
"1981-03-09:12 AM",0.279
"1981-03-10:12 AM",0.2755
"1981-03-11:12 AM",0.3032
"1981-03-12:12 AM",0.2707
"1981-03-13:12 AM",0.2936
"1981-03-14:12 AM",0.2927
"1981-03-15:12 AM",0.2752
"1981-03-16:12 AM",0.2645
"1981-03-17:12 AM",0.2464
"1981-03-18:12 AM",0.2348
"1981-03-19:12 AM",0.2274
"1981-03-20:12 AM",0.2167
"1981-03-21:12 AM",0.211
"1981-03-22:12 AM",0.2016
"1981-03-23:12 AM",0.1973
"1981-03-24:12 AM",0.1933
"1981-03-25:12 AM",0.1884
"1981-03-26:12 AM",0.1839
"1981-03-27:12 AM",0.1915
"1981-03-28:12 AM",0.2092
"1981-03-29:12 AM",0.272
"1981-03-30:12 AM",0.289
"1981-03-31:12 AM",0.2908
"1981-04-01:12 AM",0.2756
"1981-04-02:12 AM",0.2565
"1981-04-03:12 AM",0.2228
"1981-04-04:12 AM",0.224
"1981-04-05:12 AM",0.2241
"1981-04-06:12 AM",0.2082
"1981-04-07:12 AM",0.1969
"1981-04-08:12 AM",0.1863
"1981-04-09:12 AM",0.1804
"1981-04-10:12 AM",0.1753
"1981-04-11:12 AM",0.1702
"1981-04-12:12 AM",0.1664
"1981-04-13:12 AM",0.1682
"1981-04-14:12 AM",0.1769
"1981-04-15:12 AM",0.1693
"1981-04-16:12 AM",0.1731
"1981-04-17:12 AM",0.1703
"1981-04-18:12 AM",0.1856
"1981-04-19:12 AM",0.1735
"1981-04-20:12 AM",0.1737
"1981-04-21:12 AM",0.1711
"1981-04-22:12 AM",0.1687
"1981-04-23:12 AM",0.1654
"1981-04-24:12 AM",0.1631
"1981-04-25:12 AM",0.1613
"1981-04-26:12 AM",0.1589
"1981-04-27:12 AM",0.1567
"1981-04-28:12 AM",0.1558
"1981-04-29:12 AM",0.154
"1981-04-30:12 AM",0.1531
"1981-05-01:12 AM",0.1615
"1981-05-02:12 AM",0.1593
"1981-05-03:12 AM",0.1712
"1981-05-04:12 AM",0.1593
"1981-05-05:12 AM",0.1578
"1981-05-06:12 AM",0.1554
"1981-05-07:12 AM",0.1529
"1981-05-08:12 AM",0.151
"1981-05-09:12 AM",0.1489
"1981-05-10:12 AM",0.148
"1981-05-11:12 AM",0.1468
"1981-05-12:12 AM",0.1451
"1981-05-13:12 AM",0.1436
"1981-05-14:12 AM",0.1426
"1981-05-15:12 AM",0.1419
"1981-05-16:12 AM",0.1559
"1981-05-17:12 AM",0.1681
"1981-05-18:12 AM",0.1538
"1981-05-19:12 AM",0.1525
"1981-05-20:12 AM",0.1502
"1981-05-21:12 AM",0.1486
"1981-05-22:12 AM",0.1471
"1981-05-23:12 AM",0.1465
"1981-05-24:12 AM",0.1456
"1981-05-25:12 AM",0.1449
"1981-05-26:12 AM",0.1443
"1981-05-27:12 AM",0.1445
"1981-05-28:12 AM",0.1429
"1981-05-29:12 AM",0.1451
"1981-05-30:12 AM",0.1557
"1981-05-31:12 AM",0.1558
"1981-06-01:12 AM",0.155
"1981-06-02:12 AM",0.1569
"1981-06-03:12 AM",0.1629
"1981-06-04:12 AM",0.1778
"1981-06-05:12 AM",0.1653
"1981-06-06:12 AM",0.163
"1981-06-07:12 AM",0.1604
"1981-06-08:12 AM",0.1569
"1981-06-09:12 AM",0.1539
