Date,SoilMoisture
"1981-01-01:12 AM",0.1805
"1981-01-02:12 AM",0.1794
"1981-01-03:12 AM",0.1778
"1981-01-04:12 AM",0.1769
"1981-01-05:12 AM",0.1756
"1981-01-06:12 AM",0.1738
"1981-01-07:12 AM",0.1732
"1981-01-08:12 AM",0.1727
"1981-01-09:12 AM",0.1723
"1981-01-10:12 AM",0.1716
"1981-01-11:12 AM",0.171
"1981-01-12:12 AM",0.1907
"1981-01-13:12 AM",0.201
"1981-01-14:12 AM",0.1948
"1981-01-15:12 AM",0.1943
"1981-01-16:12 AM",0.1942
"1981-01-17:12 AM",0.2043
"1981-01-18:12 AM",0.1896
"1981-01-19:12 AM",0.1878
"1981-01-20:12 AM",0.1855
"1981-01-21:12 AM",0.1829
"1981-01-22:12 AM",0.1816
"1981-01-23:12 AM",0.1806
"1981-01-24:12 AM",0.1786
"1981-01-25:12 AM",0.1763
"1981-01-26:12 AM",0.1754
"1981-01-27:12 AM",0.1752
"1981-01-28:12 AM",0.1822
"1981-01-29:12 AM",0.1847
"1981-01-30:12 AM",0.1923
"1981-01-31:12 AM",0.1908
"1981-02-01:12 AM",0.1897
"1981-02-02:12 AM",0.1898
"1981-02-03:12 AM",0.1892
"1981-02-04:12 AM",0.1877
"1981-02-05:12 AM",0.1863
"1981-02-06:12 AM",0.1854
"1981-02-07:12 AM",0.1829
"1981-02-08:12 AM",0.1805
"1981-02-09:12 AM",0.214
"1981-02-10:12 AM",0.2388
"1981-02-11:12 AM",0.2532
"1981-02-12:12 AM",0.2573
"1981-02-13:12 AM",0.2646
"1981-02-14:12 AM",0.2566
"1981-02-15:12 AM",0.2435
"1981-02-16:12 AM",0.2327
"1981-02-17:12 AM",0.2263
"1981-02-18:12 AM",0.2192
"1981-02-19:12 AM",0.2122
"1981-02-20:12 AM",0.205
"1981-02-21:12 AM",0.1999
"1981-02-22:12 AM",0.1958
"1981-02-23:12 AM",0.1935
"1981-02-24:12 AM",0.1907
"1981-02-25:12 AM",0.1852
"1981-02-26:12 AM",0.1834
"1981-02-27:12 AM",0.1969
"1981-02-28:12 AM",0.2075
"1981-03-01:12 AM",0.2186
"1981-03-02:12 AM",0.238
"1981-03-03:12 AM",0.2847
"1981-03-04:12 AM",0.2653
"1981-03-05:12 AM",0.2704
"1981-03-06:12 AM",0.2555
"1981-03-07:12 AM",0.258
"1981-03-08:12 AM",0.276
"1981-03-09:12 AM",0.2923
"1981-03-10:12 AM",0.2772
"1981-03-11:12 AM",0.2817
"1981-03-12:12 AM",0.2587
"1981-03-13:12 AM",0.2562
"1981-03-14:12 AM",0.2923
"1981-03-15:12 AM",0.2494
"1981-03-16:12 AM",0.2412
"1981-03-17:12 AM",0.2265
"1981-03-18:12 AM",0.2175
"1981-03-19:12 AM",0.2111
"1981-03-20:12 AM",0.2063
"1981-03-21:12 AM",0.1995
"1981-03-22:12 AM",0.191
"1981-03-23:12 AM",0.1876
"1981-03-24:12 AM",0.1843
"1981-03-25:12 AM",0.1801
"1981-03-26:12 AM",0.1756
"1981-03-27:12 AM",0.2053
"1981-03-28:12 AM",0.1981
"1981-03-29:12 AM",0.2721
"1981-03-30:12 AM",0.3051
"1981-03-31:12 AM",0.297
"1981-04-01:12 AM",0.2794
"1981-04-02:12 AM",0.2617
"1981-04-03:12 AM",0.2248
"1981-04-04:12 AM",0.2246
"1981-04-05:12 AM",0.2273
"1981-04-06:12 AM",0.2107
