Date,SoilMoisture
"1981-01-01:12 AM",0.2134
"1981-01-02:12 AM",0.2114
"1981-01-03:12 AM",0.2132
"1981-01-04:12 AM",0.2137
"1981-01-05:12 AM",0.2142
"1981-01-06:12 AM",0.208
"1981-01-07:12 AM",0.212
"1981-01-08:12 AM",0.2127
"1981-01-09:12 AM",0.2142
"1981-01-10:12 AM",0.2161
"1981-01-11:12 AM",0.2172
"1981-01-12:12 AM",0.2175
"1981-01-13:12 AM",0.2189
"1981-01-14:12 AM",0.2188
"1981-01-15:12 AM",0.2208
"1981-01-16:12 AM",0.2225
"1981-01-17:12 AM",0.2299
"1981-01-18:12 AM",0.2233
"1981-01-19:12 AM",0.2224
"1981-01-20:12 AM",0.223
"1981-01-21:12 AM",0.2222
"1981-01-22:12 AM",0.2239
"1981-01-23:12 AM",0.225
"1981-01-24:12 AM",0.2245
"1981-01-25:12 AM",0.2209
"1981-01-26:12 AM",0.2204
"1981-01-27:12 AM",0.2237
"1981-01-28:12 AM",0.2332
"1981-01-29:12 AM",0.2553
"1981-01-30:12 AM",0.232
"1981-01-31:12 AM",0.2426
"1981-02-01:12 AM",0.2325
"1981-02-02:12 AM",0.236
"1981-02-03:12 AM",0.2425
"1981-02-04:12 AM",0.2504
"1981-02-05:12 AM",0.2497
"1981-02-06:12 AM",0.2523
"1981-02-07:12 AM",0.242
"1981-02-08:12 AM",0.251
"1981-02-09:12 AM",0.2882
"1981-02-10:12 AM",0.2711
"1981-02-11:12 AM",0.2779
"1981-02-12:12 AM",0.285
"1981-02-13:12 AM",0.2886
"1981-02-14:12 AM",0.2915
"1981-02-15:12 AM",0.2902
"1981-02-16:12 AM",0.268
"1981-02-17:12 AM",0.2562
"1981-02-18:12 AM",0.2627
"1981-02-19:12 AM",0.2581
"1981-02-20:12 AM",0.2632
"1981-02-21:12 AM",0.2382
"1981-02-22:12 AM",0.2423
"1981-02-23:12 AM",0.2509
"1981-02-24:12 AM",0.2477
"1981-02-25:12 AM",0.2433
"1981-02-26:12 AM",0.2518
"1981-02-27:12 AM",0.2477
"1981-02-28:12 AM",0.2504
"1981-03-01:12 AM",0.2971
"1981-03-02:12 AM",0.2803
"1981-03-03:12 AM",0.319
"1981-03-04:12 AM",0.3138
"1981-03-05:12 AM",0.3131
"1981-03-06:12 AM",0.3087
"1981-03-07:12 AM",0.3042
"1981-03-08:12 AM",0.2999
"1981-03-09:12 AM",0.2997
"1981-03-10:12 AM",0.3051
"1981-03-11:12 AM",0.3249
"1981-03-12:12 AM",0.302
"1981-03-13:12 AM",0.2991
"1981-03-14:12 AM",0.3288
"1981-03-15:12 AM",0.3106
"1981-03-16:12 AM",0.3004
"1981-03-17:12 AM",0.2934
"1981-03-18:12 AM",0.2827
"1981-03-19:12 AM",0.2801
"1981-03-20:12 AM",0.2819
"1981-03-21:12 AM",0.2651
"1981-03-22:12 AM",0.2632
"1981-03-23:12 AM",0.2589
"1981-03-24:12 AM",0.2558
"1981-03-25:12 AM",0.2515
"1981-03-26:12 AM",0.2256
"1981-03-27:12 AM",0.2772
"1981-03-28:12 AM",0.2625
"1981-03-29:12 AM",0.3042
"1981-03-30:12 AM",0.289
"1981-03-31:12 AM",0.2674
"1981-04-01:12 AM",0.2613
"1981-04-02:12 AM",0.2614
"1981-04-03:12 AM",0.2725
"1981-04-04:12 AM",0.2422
"1981-04-05:12 AM",0.2357
"1981-04-06:12 AM",0.2344
"1981-04-07:12 AM",0.2336
"1981-04-08:12 AM",0.2258
"1981-04-09:12 AM",0.2131
"1981-04-10:12 AM",0.2055
"1981-04-11:12 AM",0.2022
"1981-04-12:12 AM",0.1962
"1981-04-13:12 AM",0.1987
"1981-04-14:12 AM",0.2031
"1981-04-15:12 AM",0.2142
"1981-04-16:12 AM",0.213
"1981-04-17:12 AM",0.206
"1981-04-18:12 AM",0.2275
"1981-04-19:12 AM",0.2177
"1981-04-20:12 AM",0.2101
"1981-04-21:12 AM",0.2076
"1981-04-22:12 AM",0.2024
"1981-04-23:12 AM",0.1981
"1981-04-24:12 AM",0.1922
"1981-04-25:12 AM",0.1868
"1981-04-26:12 AM",0.1828
"1981-04-27:12 AM",0.1833
"1981-04-28:12 AM",0.1759
"1981-04-29:12 AM",0.1733
"1981-04-30:12 AM",0.171
"1981-05-01:12 AM",0.1721
"1981-05-02:12 AM",0.1801
"1981-05-03:12 AM",0.1912
"1981-05-04:12 AM",0.1664
"1981-05-05:12 AM",0.1647
"1981-05-06:12 AM",0.1624
