"date","pdsi"
2003-09-01,-3.3101
2003-09-10,-3.2887
2003-09-20,-3.2753
2003-10-01,-3.3635
2003-10-10,-3.2128
2003-10-20,-3.1077
2003-11-01,-2.9948
2003-11-10,-3.1679
2003-11-20,-3.0597
2003-12-01,-2.8897
2003-12-10,-2.7027
2003-12-20,-2.8309
2004-01-01,-2.934
2004-01-10,-3.0189
2004-01-20,-3.0179
2004-02-01,-2.9904
2004-02-10,-2.9229
2004-02-20,-2.9006
2004-03-01,-2.7261
2004-03-10,-2.3852
2004-03-20,-2.0218
2004-04-01,-1.8593
2004-04-10,-1.1289
2004-04-20,1.9372
2004-05-01,2.5988
2004-05-10,2.441
2004-05-20,2.1726
2004-06-01,1.8725
2004-06-10,1.5855
2004-06-20,1.3367
2004-07-01,1.2646
2004-07-10,1.1513
2004-07-20,0.9301
2004-08-01,0.6885
2004-08-10,-1.3188
2004-08-20,-1.3177
2004-09-01,-1.4853
2004-09-10,-1.7113
2004-09-20,-1.9454
2004-10-01,-2.0844
2004-10-10,-2.1398
2004-10-20,-2.1275
2004-11-01,-1.9846
2004-11-10,-1.8451
2004-11-20,-1.6057
2004-12-01,-1.3427
2004-12-10,-0.973
2004-12-20,-0.8133
2005-01-01,-0.8034
2005-01-10,-0.5787
2005-01-20,1.1705
2005-02-01,1.4032
2005-02-10,1.3702
2005-02-20,1.6057
2005-03-01,2.0489
2005-03-10,2.5991
2005-03-20,2.975
2005-04-01,3.0462
2005-04-10,2.8812
2005-04-20,2.7715
2005-05-01,2.7376
2005-05-10,2.7872
2005-05-20,2.7392
2005-06-01,2.5696
2005-06-10,2.308
2005-06-20,2.064
2005-07-01,1.8168
2005-07-10,1.4866
2005-07-20,1.1176
2005-08-01,0.5636
2005-08-10,-1.9127
2005-08-20,-1.9906
2005-09-01,-1.9875
2005-09-10,-1.9214
2005-09-20,-2.2102
2005-10-01,-1.9252
2005-10-10,-1.5279
2005-10-20,-0.9594
2005-11-01,-0.9141
2005-11-10,-1.0426
2005-11-20,-1.2613
2005-12-01,-1.467
2005-12-10,-1.6163
2005-12-20,-1.7468
2006-01-01,-1.928
2006-01-10,-2.126
2006-01-20,-2.3715
2006-02-01,-2.544
2006-02-10,-2.6728
2006-02-20,-2.7582
2006-03-01,-2.8561
2006-03-10,-2.8994
2006-03-20,-2.9191
2006-04-01,-2.9149
2006-04-10,-2.9494
2006-04-20,-2.9919
2006-05-01,-3.0419
2006-05-10,-3.0923
2006-05-20,-3.1163
2006-06-01,-3.1982
2006-06-10,-3.11
2006-06-20,-3.0526
2006-07-01,-2.8703
2006-07-10,-2.5674
2006-07-20,-2.334
2006-08-01,-1.754
2006-08-10,-1.184
2006-08-20,2.2024
2006-09-01,2.6887
2006-09-10,3.0555
2006-09-20,3.0496
2006-10-01,2.9201
2006-10-10,2.8394
2006-10-20,2.908
2006-11-01,3.0412
2006-11-10,2.8439
2006-11-20,2.5228
2006-12-01,2.1802
2006-12-10,1.9011
2006-12-20,1.7129
2007-01-01,1.7895
2007-01-10,1.9164
2007-01-20,2.1619
2007-02-01,2.1495
2007-02-10,2.0979
2007-02-20,2.0339
2007-03-01,1.9612
2007-03-10,1.8581
2007-03-20,1.5811
2007-04-01,1.5096
2007-04-10,1.4763
2007-04-20,1.6685
2007-05-01,1.7539
2007-05-10,2.0472
2007-05-20,2.4048
2007-06-01,2.5945
2007-06-10,2.5722
2007-06-20,2.4071
2007-07-01,2.2012
2007-07-10,2.0015
2007-07-20,1.7187
2007-08-01,1.5879
2007-08-10,1.6181
2007-08-20,1.5008
2007-09-01,1.4687
2007-09-10,1.2789
2007-09-20,1.338
2007-10-01,1.1601
2007-10-10,0.9726
2007-10-20,0.6534
2007-11-01,-1.2046
2007-11-10,-1.4397
2007-11-20,-1.6541
2007-12-01,-1.7645
2007-12-10,-1.6509
2007-12-20,-1.3451
2008-01-01,-1.0999
2008-01-10,-0.8592
2008-01-20,-0.7845
2008-02-01,-0.746
2008-02-10,-0.8277
2008-02-20,-0.9049
2008-03-01,-0.915
2008-03-10,-1.0009
2008-03-20,-1.0953
2008-04-01,-1.2931
2008-04-10,-1.4381
2008-04-20,-1.5604
2008-05-01,-1.6579
2008-05-10,-1.7658
2008-05-20,-1.6525
2008-06-01,-1.4938
2008-06-10,-1.3394
2008-06-20,-1.3791
2008-07-01,-1.5076
2008-07-10,-1.4608
2008-07-20,-1.1943
2008-08-01,-0.8701
2008-08-10,-0.5832
2008-08-20,0.1437
2008-09-01,0.9073
2008-09-10,0.9032
2008-09-20,0.7367
2008-10-01,0.5414
2008-10-10,-0.0997
2008-10-20,-0.0037
2008-11-01,0.0116
2008-11-10,-0.5078
2008-11-20,-0.7569
2008-12-01,-0.8467
2008-12-10,-0.9045
2008-12-20,-0.8841
2009-01-01,-0.9646
2009-01-10,-1.0383
2009-01-20,-1.1896
2009-02-01,-1.3606
2009-02-10,-1.5077
2009-02-20,-1.6257
2009-03-01,-1.7551
2009-03-10,-1.8916
2009-03-20,-1.8774
2009-04-01,-1.8427
2009-04-10,-1.7996
2009-04-20,-1.7972
2009-05-01,-1.8014
2009-05-10,-1.8115
2009-05-20,-1.9122
2009-06-01,-1.7203
2009-06-10,-1.3578
2009-06-20,-0.9533
2009-07-01,-0.7005
2009-07-10,1.15
2009-07-20,1.1709
2009-08-01,1.0613
2009-08-10,0.6368
2009-08-20,-0.3311
2009-09-01,-1.0571
2009-09-10,-0.5485
2009-09-20,1.1158
2009-10-01,1.6439
2009-10-10,1.4323
2009-10-20,1.0757
2009-11-01,0.9178
2009-11-10,0.8251
2009-11-20,0.7375
2009-12-01,0.6163
2009-12-10,0.5898
2009-12-20,0.5772
2010-01-01,-0.0606
2010-01-10,-0.7719
2010-01-20,-0.8426
2010-02-01,-0.7863
2010-02-10,-0.6189
2010-02-20,0.2034
2010-03-01,0.0536
2010-03-10,-0.0654
2010-03-20,-0.0717
2010-04-01,-0.1098
2010-04-10,-0.119
2010-04-20,0.2019
2010-05-01,0.2695
2010-05-10,0.7323
2010-05-20,0.6054
2010-06-01,0.531
2010-06-10,-0.085
2010-06-20,-0.0773
2010-07-01,-0.0338
2010-07-10,0.0236
2010-07-20,-0.0384
2010-08-01,0.1806
2010-08-10,0.5751
2010-08-20,0.7739
2010-09-01,0.5513
2010-09-10,-0.3387
2010-09-20,-0.9546
2010-10-01,-1.2901
2010-10-10,-1.438
2010-10-20,-1.4727
2010-11-01,-1.4967
2010-11-10,-1.6185
2010-11-20,-1.7465
2010-12-01,-1.8885
2010-12-10,-1.9911
2010-12-20,-2.0548
2011-01-01,-2.1718
2011-01-10,-2.2576
2011-01-20,-2.3756
2011-02-01,-2.4922
2011-02-10,-2.5692
2011-02-20,-2.6014
2011-03-01,-2.6166
2011-03-10,-2.6855
2011-03-20,-2.8112
2011-04-01,-2.9667
2011-04-10,-3.0832
2011-04-20,-3.1728
2011-05-01,-3.2394
2011-05-10,-3.2918
2011-05-20,-3.3455
2011-06-01,-3.4435
2011-06-10,-3.5577
2011-06-20,-3.6908
