"DateTime"," Palmer Drought Severity Index (PDSI) (gridMET) at JEDDITO, 2003-10-01 to 2019-05-01"
"2003-10-01",-2.3589
"2003-10-10",-2.3916
"2003-10-20",-2.3872
"2003-11-01",-2.4385
"2003-11-10",-2.5119
"2003-11-20",-2.452
"2003-12-01",-2.3198
"2003-12-10",-2.3053
"2003-12-20",-2.489
"2004-01-01",-2.5716
"2004-01-10",-2.6253
"2004-01-20",-2.6063
"2004-02-01",-2.5924
"2004-02-10",-2.5437
"2004-02-20",-2.5424
"2004-03-01",-2.5217
"2004-03-10",-2.5018
"2004-03-20",-2.5132
"2004-04-01",-2.6655
"2004-04-10",-2.5554
"2004-04-20",-2.389
"2004-05-01",-2.1015
"2004-05-10",-2.1449
"2004-05-20",-2.206
"2004-06-01",-2.3168
"2004-06-10",-2.3963
"2004-06-20",-2.4382
"2004-07-01",-2.3412
"2004-07-10",-2.3311
"2004-07-20",-2.3139
"2004-08-01",-2.4455
"2004-08-10",-2.4251
"2004-08-20",-2.4503
"2004-09-01",-2.5367
"2004-09-10",-2.7151
"2004-09-20",-2.6805
"2004-10-01",-2.4138
"2004-10-10",-2.2255
"2004-10-20",-2.2416
"2004-11-01",-2.1551
"2004-11-10",-1.9196
"2004-11-20",-1.5897
"2004-12-01",-1.2605
"2004-12-10",-1.0559
"2004-12-20",-0.9989
"2005-01-01",-0.8947
"2005-01-10",-0.571
"2005-01-20",1.573
"2005-02-01",1.8022
"2005-02-10",1.886
"2005-02-20",2.4517
"2005-03-01",2.9055
"2005-03-10",3.319
"2005-03-20",3.5924
"2005-04-01",3.7426
"2005-04-10",3.6987
"2005-04-20",3.5526
"2005-05-01",3.5674
"2005-05-10",3.5925
"2005-05-20",3.6927
"2005-06-01",3.4604
"2005-06-10",3.2228
"2005-06-20",3.0819
"2005-07-01",2.9482
"2005-07-10",2.7378
"2005-07-20",2.4402
"2005-08-01",2.1706
"2005-08-10",2.1908
"2005-08-20",2.3709
"2005-09-01",2.4131
"2005-09-10",2.2518
"2005-09-20",1.9123
"2005-10-01",1.6316
"2005-10-10",1.4015
"2005-10-20",1.3702
"2005-11-01",1.31
"2005-11-10",1.151
"2005-11-20",0.8647
"2005-12-01",0.5893
"2005-12-10",-1.4418
"2005-12-20",-1.6587
"2006-01-01",-1.8901
"2006-01-10",-2.1518
"2006-01-20",-2.4241
"2006-02-01",-2.6171
"2006-02-10",-2.7863
"2006-02-20",-2.9804
"2006-03-01",-3.2127
"2006-03-10",-3.2761
"2006-03-20",-3.2046
"2006-04-01",-2.9581
"2006-04-10",-2.7413
"2006-04-20",-2.607
"2006-05-01",-2.6742
"2006-05-10",-2.7574
"2006-05-20",-2.835
"2006-06-01",-2.8978
"2006-06-10",-2.8927
"2006-06-20",-2.871
"2006-07-01",-2.816
"2006-07-10",-2.584
"2006-07-20",-2.4369
"2006-08-01",-1.9645
"2006-08-10",-1.6278
"2006-08-20",-1.2143
"2006-09-01",-1.1622
"2006-09-10",-1.1101
"2006-09-20",-1.0347
"2006-10-01",-0.959
"2006-10-10",-0.6806
"2006-10-20",1.5409
"2006-11-01",1.7924
"2006-11-10",1.6812
"2006-11-20",1.4443
"2006-12-01",1.1936
"2006-12-10",1.0236
"2006-12-20",0.8962
"2007-01-01",0.7848
"2007-01-10",0.6233
"2007-01-20",-0.1289
"2007-02-01",-0.8925
"2007-02-10",-0.9447
"2007-02-20",-0.9172
"2007-03-01",-0.9688
"2007-03-10",-1.019
"2007-03-20",-1.2655
"2007-04-01",-1.4246
"2007-04-10",-1.5973
"2007-04-20",-1.6673
"2007-05-01",-1.6904
"2007-05-10",-1.5394
"2007-05-20",-1.3946
"2007-06-01",-1.2478
"2007-06-10",-1.2247
"2007-06-20",-1.1289
"2007-07-01",-1.1056
"2007-07-10",-1.1611
"2007-07-20",-1.29
"2007-08-01",-1.029
"2007-08-10",-0.5548
"2007-08-20",1.0037
"2007-09-01",0.9151
"2007-09-10",0.5694
"2007-09-20",-0.2909
"2007-10-01",-0.804
"2007-10-10",-0.9041
"2007-10-20",-1.0026
"2007-11-01",-1.2415
"2007-11-10",-1.471
"2007-11-20",-1.6392
"2007-12-01",-1.766
"2007-12-10",-1.5177
"2007-12-20",-1.1163
"2008-01-01",-0.74
"2008-01-10",-0.5241
"2008-01-20",1.0172
"2008-02-01",1.2632
"2008-02-10",1.4232
"2008-02-20",1.5703
"2008-03-01",1.8075
"2008-03-10",1.7402
"2008-03-20",1.5624
"2008-04-01",1.1915
"2008-04-10",0.8311
"2008-04-20",-0.285
"2008-05-01",-1.1665
"2008-05-10",-1.306
"2008-05-20",-1.396
"2008-06-01",-1.2855
"2008-06-10",-1.0779
"2008-06-20",-0.8768
"2008-07-01",-0.853
"2008-07-10",-0.9698
"2008-07-20",-0.7977
"2008-08-01",-0.7303
"2008-08-10",-0.6185
"2008-08-20",-0.7819
"2008-09-01",-0.9226
