Water Year,Month,rMonth,cal_year,Fday,MeanSCA,MeanSCA (m2),MeanSCA (km2),Anomaly,Anomaly by Month
2002,1,11,2001,1,11929474687,119294747,119,-659,-105
2002,2,12,2001,1,1.13408E+11,1134081678,1134,356,70
2002,3,1,2002,1,92842819002,928428190,928,150,-602
2002,4,2,2002,1,42938583568,429385836,429,-349,-765
2002,5,3,2002,1,90535158528,905351585,905,127,358
2002,6,4,2002,1,11386290562,113862906,114,-665,3
2003,1,11,2002,1,10524024154,105240242,105,-673,-119
2003,2,12,2002,1,95916473188,959164732,959,181,-105
2003,3,1,2003,1,1.22079E+11,1220789510,1221,442,-309
2003,4,2,2003,1,1.58475E+11,1584750923,1585,806,391
2003,5,3,2003,1,45322075829,453220758,453,-325,-94
2003,6,4,2003,1,7118432777,71184328,71,-707,-40
2004,1,11,2003,1,24107205938,241072059,241,-537,16
2004,2,12,2003,1,1.0876E+11,1087599934,1088,309,24
2004,3,1,2004,1,79444856477,794448565,794,16,-736
2004,4,2,2004,1,74664466797,746644668,747,-32,-447
2004,5,3,2004,1,48254756242,482547562,483,-296,-64
2004,6,4,2004,1,21281953466,212819535,213,-566,102
2005,1,11,2004,1,8383271205,83832712,84,-695,-141
2005,2,12,2004,1,18789908502,187899085,188,-590,-876
2005,3,1,2005,1,62938555422,629385554,629,-149,-901
2005,4,2,2005,1,18151670465,181516705,182,-597,-1012
2005,5,3,2005,1,57597857453,575978575,576,-202,29
2005,6,4,2005,1,5205156615,52051566,52,-726,-59
2006,1,11,2005,1,13848889400,138488894,138,-640,-86
2006,2,12,2005,1,1.06152E+11,1061517852,1062,283,-2
2006,3,1,2006,1,1.90273E+11,1902733989,1903,1124,373
2006,4,2,2006,1,1.44693E+11,1446929680,1447,669,253
2006,5,3,2006,1,29872818782,298728188,299,-480,-248
2006,6,4,2006,1,6456174348,64561743,65,-714,-46
2007,1,11,2006,1,973075870,9730759,10,-769,-215
2007,2,12,2006,1,1.47371E+11,1473712296,1474,695,410
2007,3,1,2007,1,2.50317E+11,2503169494,2503,1725,973
2007,4,2,2007,1,2.18939E+11,2189392476,2189,1411,995
2007,5,3,2007,1,71971225851,719712259,720,-59,173
2007,6,4,2007,1,5796862626,57968626,58,-720,-53
2008,1,11,2007,1,13634726208,136347262,136,-642,-88
2008,2,12,2007,1,1.23287E+11,1232868825,1233,454,169
2008,3,1,2008,1,2.38368E+11,2383676229,2384,1605,854
2008,4,2,2008,1,1.71225E+11,1712253065,1712,934,518
2008,5,3,2008,1,44699847903,446998479,447,-331,-100
2008,6,4,2008,1,15592742569,155927426,156,-622,45
2009,1,11,2008,1,19605053965,196050540,196,-582,-29
2009,2,12,2008,1,1.97968E+11,1979676866,1980,1201,916
2009,3,1,2009,1,2.7439E+11,2743895519,2744,1966,1214
2009,4,2,2009,1,2.55695E+11,2556952879,2557,1779,1363
2009,5,3,2009,1,1.74783E+11,1747832568,1748,969,1201
2009,6,4,2009,1,29529763450,295297635,295,-483,184
2010,1,11,2009,1,51962192587,519621926,520,-259,295
2010,2,12,2009,1,30481806286,304818063,305,-474,-759
2010,3,1,2010,1,2.00028E+11,2000277222,2000,1222,470
2010,4,2,2010,1,1.27778E+11,1277784291,1278,499,84
2010,5,3,2010,1,37205946179,372059462,372,-406,-175
2010,6,4,2010,1,4154362955,41543630,42,-737,-69
2011,1,11,2010,1,25377418157,253774182,254,-525,29
2011,2,12,2010,1,1.07405E+11,1074047567,1074,296,10
2011,3,1,2011,1,64881899799,648818998,649,-130,-881
2011,4,2,2011,1,55576784738,555767847,556,-223,-638
2011,5,3,2011,1,36200249570,362002496,362,-416,-185
2011,6,4,2011,1,4825191985,48251920,48,-730,-63
2012,1,11,2011,1,25178290349,251782903,252,-527,27
2012,2,12,2011,1,1.21564E+11,1215642674,1216,437,152
2012,3,1,2012,1,2.41784E+11,2417838585,2418,1639,888
2012,4,2,2012,1,1.41357E+11,1413574572,1414,635,220
2012,5,3,2012,1,42481983022,424819830,425,-354,-122
2012,6,4,2012,1,9136063573,91360636,91,-687,-20
2013,1,11,2012,1,26143964899,261439649,261,-517,37
2013,2,12,2012,1,1.53389E+11,1533888240,1534,756,470
2013,3,1,2013,1,40696846355,406968464,407,-371,-1123
2013,4,2,2013,1,48109712882,481097129,481,-297,-713
2013,5,3,2013,1,19498215546,194982155,195,-583,-352
2013,6,4,2013,1,11491060926,114910609,115,-663,4
2014,1,11,2013,1,26661339239,266613392,267,-512,42
2014,2,12,2013,1,83443096235,834430962,834,56,-229
2014,3,1,2014,1,1.05361E+11,1053608406,1054,275,-476
2014,4,2,2014,1,58710676264,587106763,587,-191,-607
2014,5,3,2014,1,35183143446,351831434,352,-427,-195
2014,6,4,2014,1,5408211293,54082113,54,-724,-57
2015,1,11,2014,1,58104811704,581048117,581,-197,356
2015,2,12,2014,1,1.11613E+11,1116132739,1116,338,52
2015,3,1,2015,1,2.08677E+11,2086765198,2087,1308,557
2015,4,2,2015,1,1.82649E+11,1826486664,1826,1048,633
2015,5,3,2015,1,9309176913,93091769,93,-685,-454
2015,6,4,2015,1,7498085576,74980856,75,-703,-36
2016,1,11,2015,1,20590414443,205904144,206,-572,-19
