"DateTime","(mm) Snow Depth (SNODAS) at Chuska, 2005-11-02 to 2008-11-01"
"2005-11-02",0
"2005-11-03",0
"2005-11-04",0
"2005-11-05",0
"2005-11-06",0
"2005-11-07",0
"2005-11-08",0
"2005-11-09",0
"2005-11-10",0
"2005-11-11",0
"2005-11-12",0
"2005-11-13",0
"2005-11-14",0
"2005-11-15",0
"2005-11-16",0
"2005-11-17",0
"2005-11-18",0
"2005-11-19",0
"2005-11-20",0
"2005-11-21",0
"2005-11-22",0
"2005-11-23",0
"2005-11-24",0
"2005-11-25",0
"2005-11-26",0
"2005-11-27",9.8142
"2005-11-28",4.6124
"2005-11-29",1.7765
"2005-11-30",0.4017
"2005-12-01",0.0774
"2005-12-02",0
"2005-12-03",0
"2005-12-04",6.1525
"2005-12-05",4.6175
"2005-12-06",3.3168
"2005-12-07",2.0651
"2005-12-08",1.4423
"2005-12-09",0.9554
"2005-12-10",0.345
"2005-12-11",0.107
"2005-12-12",0.0561
"2005-12-13",1.4241
"2005-12-14",18.882
"2005-12-15",7.4024
"2005-12-16",3.0403
"2005-12-17",1.3845
"2005-12-18",0.3578
"2005-12-19",0.0727
"2005-12-20",0.0182
"2005-12-21",0.0052
"2005-12-22",0
"2005-12-23",0
"2005-12-24",0
"2005-12-25",0
"2005-12-26",0
"2005-12-27",0
"2005-12-28",0
"2005-12-29",0
"2005-12-30",0
"2005-12-31",0
"2006-01-01",0
"2006-01-02",0
"2006-01-03",0
"2006-01-04",0
"2006-01-05",0
"2006-01-06",0
"2006-01-07",0
"2006-01-08",0
"2006-01-09",0
"2006-01-10",0
"2006-01-11",0
"2006-01-12",0
"2006-01-13",0
"2006-01-14",0
"2006-01-15",0
"2006-01-16",0
"2006-01-17",0.0004
"2006-01-18",0
"2006-01-19",0
"2006-01-20",67.4677
"2006-01-21",55.6956
"2006-01-22",45.9817
"2006-01-23",37.763
"2006-01-24",30.9927
"2006-01-25",19.1692
"2006-01-26",33.6775
"2006-01-27",26.0591
"2006-01-28",14.6691
"2006-01-29",13.2222
"2006-01-30",20.132
"2006-01-31",13.3194
"2006-02-01",7.3156
"2006-02-02",3.4889
"2006-02-03",1.6559
"2006-02-04",1.2031
"2006-02-05",0.7535
"2006-02-06",0.4598
"2006-02-07",0.3534
"2006-02-08",0.2502
"2006-02-09",0.1615
"2006-02-10",0.0644
"2006-02-11",0.0379
"2006-02-12",0.0223
"2006-02-13",0.0125
"2006-02-14",0.0057
"2006-02-15",0.001
"2006-02-16",1.9445
"2006-02-17",18.4846
"2006-02-18",2.4544
"2006-02-19",0.4217
"2006-02-20",0.193
"2006-02-21",0.1397
"2006-02-22",0.0832
"2006-02-23",0.0326
"2006-02-24",0.0173
"2006-02-25",0.0026
"2006-02-26",0
"2006-02-27",0
"2006-02-28",0
"2006-03-01",0
"2006-03-02",0
"2006-03-03",0
"2006-03-04",0
"2006-03-05",0
"2006-03-06",0
"2006-03-07",0
"2006-03-08",0
"2006-03-09",42.2161
"2006-03-10",43.0043
"2006-03-11",71.9642
"2006-03-12",230.5671
"2006-03-13",294.2791
"2006-03-14",265.8579
"2006-03-15",238.3501
"2006-03-16",205.9303
"2006-03-17",179.6344
"2006-03-18",103.7378
"2006-03-19",86.1628
"2006-03-20",83.9156
"2006-03-21",87.3925
"2006-03-22",99.5485
"2006-03-23",136.7613
"2006-03-24",120.2007
"2006-03-25",96.894
"2006-03-26",41.1136
"2006-03-27",28.6185
"2006-03-28",24.1425
"2006-03-29",17.5047
"2006-03-30",23.8504
"2006-03-31",21.3941
"2006-04-01",8.76
"2006-04-02",8.8706
"2006-04-03",8.3595
"2006-04-04",3.3974
"2006-04-05",0.3035
"2006-04-06",0.0151
