"DateTime","(mm) SWE (SNODAS) at Chuska, 2013-10-02 to 2016-10-01"
"2013-10-02",0
"2013-10-03",0
"2013-10-04",0
"2013-10-05",0
"2013-10-06",0
"2013-10-07",0
"2013-10-08",0
"2013-10-09",0
"2013-10-10",0
"2013-10-11",0.0707
"2013-10-12",0.0275
"2013-10-13",0
"2013-10-14",0
"2013-10-15",0
"2013-10-16",0
"2013-10-17",0
"2013-10-18",0
"2013-10-19",0
"2013-10-20",0
"2013-10-21",0
"2013-10-22",0
"2013-10-23",0
"2013-10-24",0
"2013-10-25",0
"2013-10-26",0
"2013-10-27",0
"2013-10-28",0
"2013-10-29",0
"2013-10-30",0.1728
"2013-10-31",1.0815
"2013-11-01",0.6525
"2013-11-02",0.204
"2013-11-03",0
"2013-11-04",0
"2013-11-05",0.2408
"2013-11-06",2.6893
"2013-11-07",1.5847
"2013-11-08",0.3413
"2013-11-09",0
"2013-11-10",0
"2013-11-11",0
"2013-11-12",0
"2013-11-13",0
"2013-11-14",0
"2013-11-15",0
"2013-11-16",0.0886
"2013-11-17",0.0047
"2013-11-18",0
"2013-11-19",0
"2013-11-20",0
"2013-11-21",0.1486
"2013-11-22",0.7849
"2013-11-23",17.9736
"2013-11-24",26.5509
"2013-11-25",45.8478
"2013-11-26",46.822
"2013-11-27",46.6142
"2013-11-28",22.7587
"2013-11-29",22.2901
"2013-11-30",21.4714
"2013-12-01",21.0969
"2013-12-02",20.7423
"2013-12-03",19.0227
"2013-12-04",11.415
"2013-12-05",15.9273
"2013-12-06",16.069
"2013-12-07",18.8807
"2013-12-08",19.0432
"2013-12-09",29.6514
"2013-12-10",29.2641
"2013-12-11",28.6938
"2013-12-12",28.2603
"2013-12-13",27.6042
"2013-12-14",27.3093
"2013-12-15",26.3941
"2013-12-16",25.0989
"2013-12-17",23.0089
"2013-12-18",21.6043
"2013-12-19",24.9837
"2013-12-20",20.785
"2013-12-21",22.9594
"2013-12-22",25.5169
"2013-12-23",25.0559
"2013-12-24",24.4741
"2013-12-25",23.5289
"2013-12-26",22.3381
"2013-12-27",20.9596
"2013-12-28",20.3638
"2013-12-29",19.3808
"2013-12-30",18.5159
"2013-12-31",20.2435
"2014-01-01",19.3654
"2014-01-02",17.7911
"2014-01-03",16.961
"2014-01-04",15.4038
"2014-01-05",13.6112
"2014-01-06",12.7684
"2014-01-07",12.0997
"2014-01-08",11.4918
"2014-01-09",10.9535
"2014-01-10",10.1002
"2014-01-11",13.6622
"2014-01-12",12.8877
"2014-01-13",11.8808
"2014-01-14",11.069
"2014-01-15",10.0672
"2014-01-16",9.1858
"2014-01-17",8.3013
"2014-01-18",7.6312
"2014-01-19",7.0354
"2014-01-20",6.5257
"2014-01-21",5.8632
"2014-01-22",7.9814
"2014-01-23",7.4337
"2014-01-24",7.1821
"2014-01-25",6.9346
"2014-01-26",6.3848
"2014-01-27",5.7957
"2014-01-28",5.2509
"2014-01-29",4.696
"2014-01-30",4.2585
"2014-01-31",3.2343
"2014-02-01",7.006
"2014-02-02",7.4723
"2014-02-03",6.9203
"2014-02-04",10.2951
"2014-02-05",11.2785
"2014-02-06",11.0013
"2014-02-07",13.1643
"2014-02-08",17.4913
"2014-02-09",15.2104
"2014-02-10",8.8505
"2014-02-11",16.714
"2014-02-12",15.9807
"2014-02-13",14.9263
"2014-02-14",10.4483
"2014-02-15",5.5217
"2014-02-16",2.5301
"2014-02-17",1.2045
"2014-02-18",0.9816
"2014-02-19",0.8205
"2014-02-20",4.2293
"2014-02-21",3.769
"2014-02-22",3.2905
"2014-02-23",2.7851
"2014-02-24",2.3301
"2014-02-25",1.9245
"2014-02-26",1.6119
"2014-02-27",1.3921
"2014-02-28",1.5951
"2014-03-01",1.1126
"2014-03-02",16.8465
"2014-03-03",25.1523
"2014-03-04",23.6007
"2014-03-05",21.0325
"2014-03-06",17.5335
"2014-03-07",12.5061
"2014-03-08",10.5966
"2014-03-09",9.9886
"2014-03-10",9.0417
"2014-03-11",4.961
"2014-03-12",3.9207
"2014-03-13",3.6905
"2014-03-14",2.1929
"2014-03-15",4.1284
"2014-03-16",2.2724
"2014-03-17",1.5558
"2014-03-18",0.7181
"2014-03-19",0.6714
"2014-03-20",0.4183
"2014-03-21",0.3357
"2014-03-22",0.3009
"2014-03-23",0.2785
"2014-03-24",0.2557
"2014-03-25",0.2286
"2014-03-26",0.0369
"2014-03-27",5.8839
"2014-03-28",3.4679
"2014-03-29",2.4819
"2014-03-30",0.2155
"2014-03-31",0.0094
"2014-04-01",0.0083
"2014-04-02",0.0047
"2014-04-03",2.8366
"2014-04-04",6.0581
"2014-04-05",3.3495
"2014-04-06",2.3095
"2014-04-07",1.2582
"2014-04-08",0.0842
"2014-04-09",0.0005
"2014-04-10",0
"2014-04-11",0
"2014-04-12",0
"2014-04-13",0
"2014-04-14",0.5607
"2014-04-15",0.0909
"2014-04-16",0
"2014-04-17",0
"2014-04-18",0
"2014-04-19",0
"2014-04-20",0
"2014-04-21",0
"2014-04-22",0
"2014-04-23",0
"2014-04-24",0
"2014-04-25",0
"2014-04-26",0
"2014-04-27",5.6204
"2014-04-28",5.5096
"2014-04-29",3.7617
"2014-04-30",2.5258
"2014-05-01",6.9207
"2014-05-02",5.079
"2014-05-03",1.8026
"2014-05-04",0
"2014-05-05",0
"2014-05-06",0
"2014-05-07",0
"2014-05-08",0
"2014-05-09",0.001
"2014-05-10",0
"2014-05-11",0
"2014-05-12",0
"2014-05-13",0
"2014-05-14",0
"2014-05-15",0
"2014-05-16",0
"2014-05-17",0
"2014-05-18",0
"2014-05-19",0
"2014-05-20",0
"2014-05-21",0
"2014-05-22",0
"2014-05-23",0
"2014-05-24",0
"2014-05-25",0
"2014-05-26",0.266
"2014-05-27",0
"2014-05-28",0
"2014-05-29",0
"2014-05-30",0
"2014-05-31",0
"2014-06-01",0
"2014-06-02",0
"2014-06-03",0
"2014-06-04",0
"2014-06-05",0
"2014-06-06",0
"2014-06-07",0
"2014-06-08",0
"2014-06-09",0
"2014-06-10",0
"2014-06-11",0
"2014-06-12",0
"2014-06-13",0
"2014-06-14",0
"2014-06-15",0
"2014-06-16",0
"2014-06-17",0
"2014-06-18",0
"2014-06-19",0
"2014-06-20",0
"2014-06-21",0
"2014-06-22",0
"2014-06-23",0
"2014-06-24",0
"2014-06-25",0
"2014-06-26",0
"2014-06-27",0
"2014-06-28",0
"2014-06-29",0
"2014-06-30",0
"2014-07-01",0
"2014-07-02",0
"2014-07-03",0
"2014-07-04",0
"2014-07-05",0
"2014-07-06",0
"2014-07-07",0
"2014-07-08",0
"2014-07-09",0
"2014-07-10",0
"2014-07-11",0
"2014-07-12",0
"2014-07-13",0
"2014-07-14",0
"2014-07-15",0
"2014-07-16",0
"2014-07-17",0
"2014-07-18",0
"2014-07-19",0
"2014-07-20",0
"2014-07-21",0
"2014-07-22",0
"2014-07-23",0
"2014-07-24",0
"2014-07-25",0
"2014-07-26",0
"2014-07-27",0
"2014-07-28",0
"2014-07-29",0
"2014-07-30",0
"2014-07-31",0
"2014-08-01",0
"2014-08-02",0
"2014-08-03",0
"2014-08-04",0
"2014-08-05",0
"2014-08-06",0
"2014-08-07",0
"2014-08-08",0
"2014-08-09",0
"2014-08-10",0
"2014-08-11",0
"2014-08-12",0
"2014-08-13",0
"2014-08-14",0
"2014-08-15",0
"2014-08-16",0
"2014-08-17",0
"2014-08-18",0
"2014-08-19",0
"2014-08-20",0
"2014-08-21",0
"2014-08-22",0
"2014-08-23",0
