date,wateryear,week_of_year,wk_of_wy,max_swe
4/4/2004,2004,15,29,1.316985714
12/5/2004,2005,50,13,4.974014286
3/12/2006,2006,11,25,30.12822857
2/4/2007,2007,6,20,14.70318571
2/24/2008,2008,9,23,116.1572143
1/24/2009,2009,4,18,83.3911
3/14/2010,2010,12,26,316.9275286
1/9/2011,2011,3,17,72.11531429
2/19/2012,2012,8,22,60.38654286
2/24/2013,2013,9,23,126.6140429
11/24/2013,2014,48,9,33.19358571
3/1/2015,2015,11,25,42.6995
1/10/2016,2016,3,17,93.5688
1/29/2017,2017,5,19,150.4498714
1/21/2018,2018,4,18,9.091028571
2/24/2018,2019,9,23,180.0416286
