"DateTime","(deg C) Mean Temperature (gridMET) at Chuska, 1979-01-01 to 1985-01-01"
"1979-01-01",-17.548
"1979-01-02",-15.5726
"1979-01-03",-6.5087
"1979-01-04",-1.3134
"1979-01-05",-1.4784
"1979-01-06",-1.238
"1979-01-07",-6.7483
"1979-01-08",-7.2882
"1979-01-09",-4.7203
"1979-01-10",-5.9494
"1979-01-11",-2.6937
"1979-01-12",0.2051
"1979-01-13",-7.1577
"1979-01-14",-7.0723
"1979-01-15",-2.6694
"1979-01-16",-1.0592
"1979-01-17",0.0392
"1979-01-18",-1.405
"1979-01-19",-6.1013
"1979-01-20",-6.6147
"1979-01-21",-5.8859
"1979-01-22",-5.1378
"1979-01-23",-11.7143
"1979-01-24",-7.8566
"1979-01-25",-4.2736
"1979-01-26",-6.7724
"1979-01-27",-12.1889
"1979-01-28",-11.3617
"1979-01-29",-11.6572
"1979-01-30",-16.8831
"1979-01-31",-12.0302
"1979-02-01",-5.0752
"1979-02-02",-7.0572
"1979-02-03",-9.0018
"1979-02-04",-10.2204
"1979-02-05",-10.1847
"1979-02-06",-7.9097
"1979-02-07",-4.9224
"1979-02-08",-3.1052
"1979-02-09",-2.3747
"1979-02-10",-1.0633
"1979-02-11",1.0961
"1979-02-12",1.5734
"1979-02-13",3.8111
"1979-02-14",3.1806
"1979-02-15",-0.4726
"1979-02-16",-0.8047
"1979-02-17",-2.7977
"1979-02-18",-2.423
"1979-02-19",0.7066
"1979-02-20",-1.5336
"1979-02-21",-0.2674
"1979-02-22",-2.6227
"1979-02-23",-3.6325
"1979-02-24",-5.3491
"1979-02-25",-4.5416
"1979-02-26",0.0414
"1979-02-27",-1.918
"1979-02-28",-4.2802
"1979-03-01",-1.2796
"1979-03-02",-1.8511
"1979-03-03",-5.6341
"1979-03-04",-5.8745
"1979-03-05",-5.1342
"1979-03-06",-1.9937
"1979-03-07",-0.0678
"1979-03-08",2.215
"1979-03-09",-0.0926
"1979-03-10",-3.3402
"1979-03-11",-0.8329
"1979-03-12",1.2716
"1979-03-13",2.9806
"1979-03-14",3.3001
"1979-03-15",2.4797
"1979-03-16",4.4137
"1979-03-17",1.5248
"1979-03-18",-0.5658
"1979-03-19",0.7358
"1979-03-20",2.7894
"1979-03-21",-0.3966
"1979-03-22",-0.6726
"1979-03-23",0.4106
"1979-03-24",1.844
"1979-03-25",2.4389
"1979-03-26",3.7235
"1979-03-27",5.0992
"1979-03-28",5.4801
"1979-03-29",0.6638
"1979-03-30",1.2962
"1979-03-31",-1.6248
"1979-04-01",-2.4399
"1979-04-02",-3.2633
"1979-04-03",-2.2583
"1979-04-04",-1.189
"1979-04-05",3.3971
"1979-04-06",6.8487
"1979-04-07",5.9377
"1979-04-08",6.5645
"1979-04-09",7.5118
"1979-04-10",0.1534
"1979-04-11",-3.2597
"1979-04-12",-1.5458
"1979-04-13",1.3881
"1979-04-14",6.9125
"1979-04-15",9.4714
"1979-04-16",10.8904
"1979-04-17",10.3251
"1979-04-18",7.9964
"1979-04-19",4.0369
"1979-04-20",4.2181
"1979-04-21",7.8378
"1979-04-22",9.5075
"1979-04-23",9.6526
"1979-04-24",9.1048
