date,Mount Powell,Defiance Plateau,Black Mesa,Navajo Mountain,Carrizo,Chuska,Navajo_Nation,All_Mountains
1981-11-01,2.191,2.064,1.587,1.494,1.887,2.024,1.607,1.88
1981-12-01,2.081,2.173,1.892,1.812,1.84,1.921,1.914,1.967
1982-01-01,-0.551,-0.572,-0.521,-0.72,-0.607,-0.501,-0.543,-0.538
1982-02-01,-1.392,-1.834,-2.114,-1.75,-2.092,-2.127,-1.863,-2.03
1982-03-01,0.371,-0.311,-1.151,-1.382,-0.669,-0.335,-0.434,-0.617
1982-04-01,-0.206,-0.304,-1.056,-1.553,-1,-0.6,-0.673,-0.713
1982-05-01,-1.473,-1.521,-1.674,-1.581,-1.436,-1.494,-1.376,-1.554
1982-06-01,-0.755,-1.705,-1.796,-1.936,-1.42,-1.531,-1.51,-1.642
1982-07-01,-0.111,-0.765,-1.199,-1.45,-0.832,-1.008,-0.949,-0.99
1982-08-01,0.204,-0.177,-0.821,-0.977,-0.4,-0.352,-0.382,-0.462
1982-09-01,0.743,0.386,-0.009,-0.579,0.098,0.196,0.168,0.164
1982-10-01,-1.191,-1.578,-2.355,-2.867,-2.016,-1.821,-2.003,-1.954
1982-11-01,-0.448,-0.629,-1.388,-1.539,-0.921,-0.799,-0.765,-0.959
1982-12-01,-0.707,0.445,0.158,-0.171,0.493,0.678,0.376,0.407
1983-01-01,-0.16,-0.014,0.162,0.437,0.325,-0.036,-0.004,0.065
1983-02-01,-0.555,-0.321,0.117,0.09,-0.03,-0.198,0.18,-0.118
1983-03-01,-0.815,-1.219,-1.428,-1.433,-1.17,-1.116,-0.859,-1.243
1983-04-01,-3.399,-3.455,-3.816,-3.774,-3.39,-3.434,-3.382,-3.561
1983-05-01,-1.751,-2.512,-2.331,-2.321,-2.082,-2.307,-2.145,-2.338
1983-06-01,-1.315,-2.096,-2.272,-1.849,-2.239,-2.084,-1.891,-2.139
1983-07-01,-0.39,-0.978,-1.222,-1.519,-1.044,-0.933,-0.95,-1.045
1983-08-01,0.469,-0.267,-0.364,-0.486,0.351,-0.106,-0.049,-0.189
1983-09-01,2.07,1.308,1.265,1.107,1.342,1.269,1.373,1.292
1983-10-01,0.855,0.529,0.217,0.237,0.472,0.487,0.483,0.413
1983-11-01,-0.225,-0.202,0.304,0.059,-0.1,-0.281,0.145,-0.059
1983-12-01,1.035,1.437,1.01,0.166,0.471,1.112,1.407,1.09
1984-01-01,-0.719,-1.099,-0.825,-0.916,-1.217,-1.211,-0.983,-1.051
1984-02-01,-0.672,-1.554,-0.749,-0.916,-0.877,-1.311,-1.207,-1.144
1984-03-01,-0.307,-0.67,-0.97,-0.999,-0.842,-0.926,-0.757,-0.863
1984-04-01,-1.86,-2.092,-2.347,-2.302,-2.095,-2.284,-1.981,-2.237
1984-05-01,2.444,2.5,2.421,2.259,2.318,2.207,2.241,2.357
1984-06-01,-0.125,-0.912,-1.111,-1.576,-0.947,-0.993,-0.765,-1.005
1984-07-01,0.218,-0.239,-0.409,-0.627,0.057,-0.222,-0.213,-0.264
1984-08-01,-0.212,-0.622,-0.691,-0.897,-0.396,-0.65,-0.489,-0.635
1984-09-01,0.561,0.518,1,0.448,0.777,0.518,0.805,0.686
1984-10-01,-2.797,-3.172,-3.702,-3.755,-3.293,-3.337,-3.072,-3.407
1984-11-01,0.168,0.7,0.077,-0.634,0.438,0.976,0.238,0.544
1984-12-01,1.361,0.984,0.452,-0.559,1.041,1.063,0.896,0.824
1985-01-01,-0.444,-0.806,-0.948,-1.303,-0.605,-0.878,-0.521,-0.864
1985-02-01,-2.684,-3.125,-2.55,-2.653,-2.668,-3.107,-2.438,-2.89
1985-03-01,0.186,-0.003,-0.49,-1.208,-0.287,-0.033,-0.155,-0.207
1985-04-01,1.015,1.342,1.295,1.157,1.402,1.488,1.148,1.372
1985-05-01,0.19,0.611,0.449,0.15,0.445,0.606,0.295,0.53
1985-06-01,0.973,0.847,0.96,0.649,0.768,0.62,0.802,0.797
1985-07-01,0.427,0.237,0.175,-0.406,0.347,0.399,0.217,0.27
1985-08-01,0.587,0.541,0.683,0.328,0.315,0.531,0.4,0.561
1985-09-01,-1.43,-2.016,-2.281,-2.664,-2.451,-2.197,-2.109,-2.195
1985-10-01,0.717,0.281,0.006,-0.458,-0.057,0.146,0.074,0.117
1985-11-01,0.135,-0.11,-1.092,-1.521,-1.025,-0.407,-0.368,-0.608
1985-12-01,1.927,1.4,1.35,0.982,1.049,1.047,0.845,1.239
1986-01-01,3.751,3.822,3.456,3.164,3.338,3.596,3.095,3.581
1986-02-01,1.385,1.783,1.919,1.439,1.838,1.661,1.855,1.774
1986-03-01,2.397,1.846,2.079,1.803,2.027,1.932,1.827,1.969
1986-04-01,1.206,0.344,-0.095,-0.34,-0.03,0.23,0.252,0.142
1986-05-01,0.275,-0.181,-0.362,-0.52,-0.611,-0.332,-0.225,-0.319
1986-06-01,0.479,0.322,0.41,0.703,-0.136,0.091,0.383,0.248
1986-07-01,-0.762,-1.056,-1.408,-1.562,-1.867,-1.341,-1.311,-1.327
1986-08-01,1.138,0.979,0.77,0.4,0.451,0.707,0.774,0.773
1986-09-01,-0.961,-1.306,-2.051,-2.648,-2.263,-1.686,-1.706,-1.759
1986-10-01,-0.648,-1.267,-1.665,-2.274,-1.568,-1.443,-1.442,-1.483
1986-11-01,0.053,0.248,0.15,-0.144,-0.274,-0.091,0.217,0.052
1986-12-01,0.858,0.726,0.869,0.247,0.849,0.721,0.856,0.77
1987-01-01,-1.061,-1.15,-1.299,-1.601,-0.951,-1.125,-1.495,-1.181
1987-02-01,-1.327,-0.726,-0.384,-0.795,-0.041,-0.508,-0.35,-0.507
1987-03-01,-2.102,-2.022,-2.552,-2.856,-2.589,-2.379,-2.308,-2.368
1987-04-01,0.544,1.101,1.324,1.296,1.061,1.056,1.001,1.147
1987-05-01,-0.864,-0.705,-0.643,-0.79,-0.765,-0.705,-0.617,-0.695
1987-06-01,0.409,0.94,1.044,0.378,0.595,0.761,0.604,0.865
1987-07-01,-0.645,-0.638,-1.037,-1.931,-1.21,-0.902,-1.158,-0.921
1987-08-01,-0.894,-0.726,-1.152,-1.641,-1.485,-1.093,-1.094,-1.06
1987-09-01,-0.396,-0.345,0.056,-0.475,-0.463,-0.546,-0.415,-0.301
1987-10-01,2.214,2.212,2.21,1.57,1.369,1.735,1.787,1.974
1987-11-01,-0.591,-0.645,-0.775,-1.12,-0.966,-1.052,-0.607,-0.856
1987-12-01,-0.963,-0.84,-1.135,-1.567,-1.089,-0.916,-1.096,-0.993
1988-01-01,-2.104,-2.541,-2.335,-1.478,-2.619,-2.883,-2.488,-2.569
1988-02-01,0.537,-0.002,0.231,0.581,-0.209,-0.298,0.1,-0.024
1988-03-01,-0.784,-0.538,-0.644,-1.166,-0.879,-1.084,-0.826,-0.798
1988-04-01,-0.398,0.056,-0.199,-0.429,-0.226,-0.255,-0.253,-0.167
1988-05-01,-0.152,-0.283,-0.678,-0.893,-0.594,-0.446,-0.5,-0.494
1988-06-01,-0.002,0.624,0.352,0.345,0.421,0.61,0.547,0.504
1988-07-01,-0.014,0.311,0.469,0.251,-0.067,0.112,0.28,0.258
1988-08-01,-0.166,-0.209,-0.579,-0.714,-0.699,-0.356,-0.341,-0.42
1988-09-01,-0.957,-0.843,-1.241,-1.39,-1.391,-1.313,-1.119,-1.179
1988-10-01,2.521,3.057,3.076,2.833,2.749,2.785,2.637,2.934
1988-11-01,1.369,0.819,0.381,-0.555,-0.342,0.23,0.461,0.378
1988-12-01,-0.852,-0.563,-0.41,-0.857,-0.583,-0.945,-0.382,-0.657
1989-01-01,-1.523,-1.791,-2.53,-2.856,-2.151,-2.063,-2.332,-2.156
1989-02-01,0.492,-0.49,-1.474,-1.719,-1.628,-0.809,-0.785,-0.997
1989-03-01,2.878,3.115,3.015,2.66,2.972,2.743,2.809,2.934
1989-04-01,4.37,4.223,3.696,3.532,3.348,3.855,3.568,3.858
1989-05-01,2.117,1.759,0.968,0.619,1.219,1.603,1.227,1.403
1989-06-01,0.379,0.314,-0.295,-0.648,-0.364,-0.048,-0.1,-0.067
1989-07-01,1.036,1.183,0.75,0.493,0.661,1.104,0.796,0.967
1989-08-01,-0.034,-0.176,-0.655,-1.135,-0.98,-0.434,-0.574,-0.489
1989-09-01,1.266,1.127,0.426,0.041,0.55,0.946,0.549,0.785
1989-10-01,0.712,0.47,-0.075,-0.203,0.076,0.269,0.156,0.194
1989-11-01,0.551,0.823,0.992,1.063,0.735,0.346,0.48,0.708
1989-12-01,1.011,0.421,0.785,1.189,0.595,0.109,0.188,0.467
1990-01-01,-1.194,-0.498,-0.769,-0.797,-0.909,-1.005,-1.038,-0.802
1990-02-01,-1.194,-1.304,-1.044,-1.148,-0.793,-1.345,-1.111,-1.194
1990-03-01,0.569,0.891,0.73,0.748,0.561,0.784,0.924,0.772
1990-04-01,1.242,1.921,1.492,1.465,1.484,1.558,1.555,1.612
1990-05-01,-0.203,0.006,-0.823,-0.926,-0.9,-0.417,-0.568,-0.484
1990-06-01,2.609,1.941,1.418,1.445,1.758,2.065,1.652,1.808
1990-07-01,-0.454,0.027,-0.236,-0.587,-0.427,-0.327,-0.14,-0.229
1990-08-01,-0.995,-0.841,-0.839,-0.944,-0.995,-0.844,-0.87,-0.857
1990-09-01,0.911,1.141,0.672,0.645,1.175,1.014,1.122,0.941
1990-10-01,0.376,0.608,-0.205,0.024,-0.227,-0.076,0.075,0.047
1990-11-01,0.692,0.184,-0.412,-0.109,-0.078,-0.032,0.019,-0.091
1990-12-01,-1.665,-3.69,-4.138,-3.529,-3.942,-4.177,-4.029,-3.975
1991-01-01,-1.235,-2.002,-2.851,-1.929,-2.755,-2.688,-2.523,-2.538
1991-02-01,1.526,1.067,0.817,1.85,1.14,0.589,0.749,0.858
1991-03-01,-1.649,-1.705,-2.39,-2.914,-2.446,-1.637,-1.894,-1.974
1991-04-01,-0.3,-0.53,-1.436,-1.72,-1.356,-0.788,-0.97,-0.981
1991-05-01,-0.183,-0.879,-1.32,-1.923,-1.064,-0.749,-1.184,-0.996
1991-06-01,-1.532,-1.563,-1.714,-1.637,-1.585,-1.547,-1.491,-1.607
1991-07-01,-0.738,-0.401,-0.471,-0.851,-0.849,-0.574,-0.439,-0.53
1991-08-01,0.277,0.253,-0.176,-0.277,-0.149,0.006,0.058,-0.004
