date,Mount Powell,Defiance Plateau,Black Mesa,Navajo Mountain,Carrizo,Chuska,Navajo_Nation,All_Mountains
1981-11-01,14.59,14.94,15.21,13.96,14.37,14.39,18.63,15.21
1981-12-01,9.56,10.38,10.31,8.37,7.94,9.28,12.73,10.38
1982-01-01,5.33,6.48,6.24,6.55,5.14,5.38,9.27,6.55
1982-02-01,5.82,6.86,6.52,7.33,5.15,5.81,12.31,7.33
1982-03-01,11.16,10.67,12.52,13.39,12.03,10.71,18.23,13.39
1982-04-01,16.08,16.43,17.89,19.23,17.15,15.9,23.35,19.23
1982-05-01,20.01,20.81,22.54,24.14,21.88,20.52,28.67,24.14
1982-06-01,27.3,26.93,29,30.25,28.55,26.85,34.7,30.25
1982-07-01,28.83,29.29,31.71,33.33,31.77,29.53,37.91,33.33
1982-08-01,26.59,27.4,29.92,31.7,29.72,27.77,35.11,31.7
1982-09-01,23.55,24.36,26.32,27.73,26.14,24.42,31.83,27.73
1982-10-01,17.57,17.89,18.83,18.55,18.12,17.59,22.3,18.83
1982-11-01,9.56,9.7,10.57,10.64,9.82,9.46,14.55,10.64
1982-12-01,4.39,6.33,7.54,6.51,5.98,5.74,9.95,7.54
1983-01-01,5.55,6.92,7.08,6.85,5.36,6.24,10.59,7.08
1983-02-01,6.88,7.57,9.1,10.24,8.02,7.8,14,10.24
1983-03-01,10,9.17,11.36,12.93,10.64,9.48,16.76,12.93
1983-04-01,12.34,12.32,14.7,16.29,13.88,12.46,20.95,16.29
1983-05-01,19.96,19.85,21.93,23.75,21.78,20.34,27.85,23.75
1983-06-01,25.7,24.93,28.26,30.2,27.16,25.5,35.77,30.2
1983-07-01,28.51,28.35,31.43,32.78,31.15,29.48,37.12,32.78
1983-08-01,27.4,27.64,30.84,32.57,30.94,28.69,36.27,32.57
1983-09-01,26.19,26.09,28.44,30.04,28.28,26.64,32.99,30.04
1983-10-01,18.09,18.12,20.3,21.3,19.77,18.41,24.42,21.3
