"DateTime"," Palmer Drought Severity Index (PDSI) (gridMET) at 4005, 2003-10-01 to 2019-05-01"
"2003-10-01",-2.1286
"2003-10-10",-2.1814
"2003-10-20",-2.1772
"2003-11-01",-2.2117
"2003-11-10",-2.3549
"2003-11-20",-2.2954
"2003-12-01",-2.1646
"2003-12-10",-2.0521
"2003-12-20",-2.1757
"2004-01-01",-2.2433
"2004-01-10",-2.3107
"2004-01-20",-2.3311
"2004-02-01",-2.3407
"2004-02-10",-2.3095
"2004-02-20",-2.3298
"2004-03-01",-2.2124
"2004-03-10",-2.1446
"2004-03-20",-2.094
"2004-04-01",-2.2641
"2004-04-10",-1.9663
"2004-04-20",-1.5797
"2004-05-01",-1.041
"2004-05-10",-1.1334
"2004-05-20",-1.2481
"2004-06-01",-1.3981
"2004-06-10",-1.5554
"2004-06-20",-1.7044
"2004-07-01",-1.7863
"2004-07-10",-1.8814
"2004-07-20",-1.9048
"2004-08-01",-2.0341
"2004-08-10",-2.1325
"2004-08-20",-2.2089
"2004-09-01",-2.3366
"2004-09-10",-2.4145
"2004-09-20",-2.3774
"2004-10-01",-2.0478
"2004-10-10",-1.7969
"2004-10-20",-1.6988
"2004-11-01",-1.5496
"2004-11-10",-1.2693
"2004-11-20",-0.8981
"2004-12-01",-0.4766
"2004-12-10",-0.1648
"2004-12-20",-0.0234
"2005-01-01",0.116
"2005-01-10",0.539
"2005-01-20",1.0171
"2005-02-01",1.3765
"2005-02-10",1.5144
"2005-02-20",2.2654
"2005-03-01",2.898
"2005-03-10",3.3281
"2005-03-20",3.4701
"2005-04-01",3.5062
"2005-04-10",3.4463
"2005-04-20",3.3157
"2005-05-01",3.3449
"2005-05-10",3.4206
"2005-05-20",3.4996
"2005-06-01",3.3007
"2005-06-10",3.0515
"2005-06-20",2.8832
"2005-07-01",2.7777
"2005-07-10",2.5915
"2005-07-20",2.2913
"2005-08-01",1.9449
"2005-08-10",1.8359
"2005-08-20",1.9661
"2005-09-01",1.997
"2005-09-10",1.9027
"2005-09-20",1.5216
"2005-10-01",1.2335
"2005-10-10",0.9145
"2005-10-20",0.8957
"2005-11-01",0.8102
"2005-11-10",0.6273
"2005-11-20",0.279
"2005-12-01",-0.1472
"2005-12-10",-0.5197
"2005-12-20",-0.8698
"2006-01-01",-1.2406
"2006-01-10",-1.6933
"2006-01-20",-2.0979
"2006-02-01",-2.3307
