"DateTime","(mm) Snow Depth (SNODAS) at 4005, 2017-11-01 to 2019-05-01"
"2017-11-01",0
"2017-11-02",0
"2017-11-03",0
"2017-11-04",0
"2017-11-05",0
"2017-11-06",0
"2017-11-07",0
"2017-11-08",0
"2017-11-09",0
"2017-11-10",0
"2017-11-11",0
"2017-11-12",0
"2017-11-13",0
"2017-11-14",0
"2017-11-15",0
"2017-11-16",0
"2017-11-17",0
"2017-11-18",0.0245
"2017-11-19",0
"2017-11-20",0
"2017-11-21",0
"2017-11-22",0
"2017-11-23",0
"2017-11-24",0
"2017-11-25",0
"2017-11-26",0
"2017-11-27",0
"2017-11-28",0
"2017-11-29",0
"2017-11-30",0
"2017-12-01",0
"2017-12-02",0
"2017-12-03",0
"2017-12-04",0
"2017-12-05",0
"2017-12-06",0
"2017-12-07",0
"2017-12-08",0
"2017-12-09",0
"2017-12-10",0
"2017-12-11",0
"2017-12-12",0
"2017-12-13",0
"2017-12-14",0
"2017-12-15",0
"2017-12-16",0
"2017-12-17",0
"2017-12-18",0
"2017-12-19",0
"2017-12-20",0
"2017-12-21",0
"2017-12-22",3.3595
"2017-12-23",1.5381
"2017-12-24",0.0066
"2017-12-25",0
"2017-12-26",0
"2017-12-27",0
"2017-12-28",0
"2017-12-29",0
"2017-12-30",0
"2017-12-31",0
"2018-01-01",0
"2018-01-02",0
"2018-01-03",0
"2018-01-04",0
"2018-01-05",0
"2018-01-06",0
"2018-01-07",0.0622
"2018-01-08",1.8831
"2018-01-09",1.0679
"2018-01-10",0
"2018-01-11",12.2794
"2018-01-12",10.4139
"2018-01-13",3.5178
"2018-01-14",2.9778
"2018-01-15",2.5096
"2018-01-16",2.0052
"2018-01-17",1.8856
"2018-01-18",1.6714
"2018-01-19",1.4597
"2018-01-20",0.4447
"2018-01-21",10.3411
"2018-01-22",17.3089
"2018-01-23",15.237
"2018-01-24",22.44
"2018-01-25",12.166
"2018-01-26",2.4759
"2018-01-27",1.9475
"2018-01-28",1.7276
"2018-01-29",1.2526
"2018-01-30",1.0447
"2018-01-31",0.5448
"2018-02-01",0.4013
"2018-02-02",0.2474
"2018-02-03",0.1453
"2018-02-04",0.0968
"2018-02-05",0.0696
"2018-02-06",0.052
"2018-02-07",0.1348
"2018-02-08",0.0512
"2018-02-09",0.0423
"2018-02-10",0.0208
"2018-02-11",8.8781
"2018-02-12",5.6745
"2018-02-13",0.3167
"2018-02-14",0.2582
"2018-02-15",4.2843
"2018-02-16",6.5516
"2018-02-17",5.657
"2018-02-18",2.6877
"2018-02-19",0.0728
"2018-02-20",19.0473
"2018-02-21",23.5556
"2018-02-22",19.5053
"2018-02-23",18.6826
"2018-02-24",32.3996
"2018-02-25",25.2397
"2018-02-26",21.2675
"2018-02-27",3.4343
"2018-02-28",0.6034
"2018-03-01",0.5614
"2018-03-02",0.1544
"2018-03-03",0.0327
"2018-03-04",0.0093
"2018-03-05",0.0032
"2018-03-06",0.0021
"2018-03-07",0.0014
"2018-03-08",0.0007
"2018-03-09",0.0001
"2018-03-10",0
"2018-03-11",0.0078
"2018-03-12",1.0759
"2018-03-13",0.978
"2018-03-14",0.5765
"2018-03-15",0
"2018-03-16",4.8012
"2018-03-17",0.5218
"2018-03-18",0.0977
"2018-03-19",12.5195
"2018-03-20",6.2159
"2018-03-21",1.8528
"2018-03-22",0.0228
"2018-03-23",0
"2018-03-24",0
"2018-03-25",0
"2018-03-26",0
"2018-03-27",0.026
"2018-03-28",6.5717
"2018-03-29",0.0065
"2018-03-30",0
"2018-03-31",0
"2018-04-01",0
"2018-04-02",0
"2018-04-03",0
"2018-04-04",0
"2018-04-05",0
"2018-04-06",0
"2018-04-07",0
"2018-04-08",0
"2018-04-09",0
"2018-04-10",0
"2018-04-11",0
"2018-04-12",0
"2018-04-13",0
"2018-04-14",0
"2018-04-15",0
"2018-04-16",0
"2018-04-17",0
"2018-04-18",0
"2018-04-19",0
"2018-04-20",0
"2018-04-21",1.7955
"2018-04-22",0.0013
"2018-04-23",0.0001
"2018-04-24",0
"2018-04-25",0
"2018-04-26",0
"2018-04-27",0
"2018-04-28",0
"2018-04-29",0
"2018-04-30",0
"2018-05-01",0
"2018-05-02",0
"2018-05-03",0.8888
"2018-05-04",0.5308
"2018-05-05",0.0119
"2018-05-06",0.0034
"2018-05-07",0
"2018-05-08",0
"2018-05-09",0
"2018-05-10",0
"2018-05-11",0
"2018-05-12",0
"2018-05-13",0
"2018-05-14",0
"2018-05-15",0
"2018-05-16",0
"2018-05-17",0
"2018-05-18",0
"2018-05-19",0
"2018-05-20",0
"2018-05-21",0
"2018-05-22",0
"2018-05-23",0
"2018-05-24",0
"2018-05-25",0
"2018-05-26",0
"2018-05-27",0
"2018-05-28",0
"2018-05-29",0
"2018-05-30",0
"2018-05-31",0
"2018-06-01",0
"2018-06-02",0
"2018-06-03",0
"2018-06-04",0
"2018-06-05",0
"2018-06-06",0
"2018-06-07",0
"2018-06-08",0
"2018-06-09",0
"2018-06-10",0
"2018-06-11",0
"2018-06-12",0
"2018-06-13",0
"2018-06-14",0
"2018-06-15",0
"2018-06-16",0
"2018-06-17",0
"2018-06-18",0
"2018-06-19",0
"2018-06-20",0
"2018-06-21",0
"2018-06-22",0
"2018-06-23",0
"2018-06-24",0
"2018-06-25",0
"2018-06-26",0
"2018-06-27",0
"2018-06-28",0
"2018-06-29",0
"2018-06-30",0
"2018-07-01",0
"2018-07-02",0
"2018-07-03",0
"2018-07-04",0
"2018-07-05",0
"2018-07-06",0
"2018-07-07",0
"2018-07-08",0
"2018-07-09",0
"2018-07-10",0
"2018-07-11",0
"2018-07-12",0
"2018-07-13",0
"2018-07-14",0
"2018-07-15",0
"2018-07-16",0
