"date","sum_mts_swe_m3"
2003-10-26,0
2003-11-02,0
2003-11-09,20.7779
2003-11-16,0
2003-11-23,0
2003-11-30,0
2003-12-07,602.882214285714
2003-12-14,155.9151
2003-12-21,1370.21975714286
2003-12-28,2538.44938571429
2004-01-04,2675.14754285714
2004-01-11,1423.68825714286
2004-01-18,2233.97932857143
2004-01-25,7278.42752857143
2004-02-01,8175.60135714286
2004-02-08,2028.39164285714
2004-02-15,258.5302
2004-02-22,3089.8972
2004-02-29,4996.93262857143
2004-03-07,158.535114285714
2004-03-14,0
2004-03-21,0
2004-03-28,0
2004-04-04,6286.79938571429
2004-04-11,73.6815
2004-04-18,13.7415857142857
2004-04-25,7.69145
2004-10-31,3.5904
2004-11-07,1.02582857142857
2004-11-14,13112.5098142857
2004-11-21,8024.91525714286
2004-11-28,8298.16292857143
2004-12-05,34568.6260285714
2004-12-12,10879.0990142857
2004-12-19,7552.06552857143
2004-12-26,2404.18965714286
2005-01-02,8276.59008571429
2005-01-09,8234.89515714286
2005-01-16,1935.22771428571
2005-01-23,152.201671428571
2005-01-30,4596.1272
2005-02-06,11238.2872142857
2005-02-13,6070.12075714286
2005-02-20,4800.45025714286
2005-02-27,4546.60154285714
2005-03-06,607.950314285714
2005-03-13,17.3941714285714
2005-03-20,1531.56952857143
2005-03-27,1370.64114285714
2005-04-03,0
2005-04-10,155.816257142857
2005-04-17,0
2005-04-24,0
2005-10-30,0
2005-11-06,0
2005-11-13,0
2005-11-20,0
2005-11-27,1948.57937142857
2005-12-04,1920.39085714286
2005-12-11,4272.56837142857
2005-12-18,57.0224714285714
2005-12-25,0
2006-01-01,0
2006-01-08,0
2006-01-15,15216.4935142857
2006-01-22,29467.4317857143
2006-01-29,7733.23821428571
2006-02-05,254.049171428571
2006-02-12,2280.75067142857
2006-02-19,81.0182571428572
2006-02-26,0
2006-03-05,16509.1405428571
2006-03-12,195219.729314286
2006-03-19,107676.400814286
2006-03-26,28609.6740428571
2006-04-02,4278.11384285714
2006-04-09,0.912
2006-04-16,0
2006-04-23,0
2006-04-30,0
2006-10-29,0
2006-11-05,0
2006-11-12,2925.5924
2006-11-19,0
2006-11-26,5090.53511428571
2006-12-03,406.395771428571
2006-12-10,2003.1313
2006-12-17,46563.2188
2006-12-24,38659.3603714286
2006-12-31,18224.0272571429
2007-01-07,10391.7018142857
2007-01-14,46766.98
2007-01-21,87310.9773571429
2007-01-28,104276.438242857
2007-02-04,108894.9913
2007-02-11,49012.9055833333
2007-02-18,57614.4231142857
2007-02-25,44235.9239142857
2007-03-04,17585.6379571429
2007-03-11,452.930014285714
2007-03-18,30.9544714285714
2007-03-25,33718.4171166667
2007-04-01,4978.11665714286
2007-04-08,4170.07394285714
2007-04-15,1605.83682857143
2007-04-22,119.703642857143
2007-04-29,0
2007-10-28,0
2007-11-04,0
2007-11-11,0
2007-11-18,1.6995
2007-11-25,0
2007-12-02,425.424228571429
2007-12-09,224549.356528571
2007-12-16,262010.830642857
2007-12-23,222997.295671429
2007-12-30,181821.827142857
2008-01-06,354713.674285714
2008-01-13,391321.316014286
2008-01-20,341318.644285714
2008-01-27,414820.317771429
2008-02-03,559955.9034
2008-02-10,545394.961985714
2008-02-17,584614.763585714
2008-02-24,713848.518257143
2008-03-02,532107.332371428
2008-03-09,447233.56825
2008-03-16,304973.661071429
2008-03-23,170416.337742857
2008-03-30,41441.3620714286
2008-04-06,25993.0220428571
2008-04-13,9038.99875714286
2008-04-20,608.749457142857
2008-04-27,4.81005
2008-10-26,0
2008-11-02,1568.1245
2008-11-09,990.0547
2008-11-16,0
2008-11-23,4081.0281
2008-11-30,1872.07178571429
2008-12-07,12640.5696285714
2008-12-14,197031.952614286
2008-12-21,430339.799857143
2008-12-28,570062.737485714
2009-01-04,546157.737785714
2009-01-11,441701.324
2009-01-18,362309.766814286
2009-01-25,240169.505457143
2009-02-01,192641.769242857
2009-02-08,283309.6999
2009-02-15,307443.431157143
2009-02-22,165912.664442857
2009-03-01,61572.1746571429
2009-03-08,21027.0879857143
2009-03-15,13612.8513
2009-03-22,13419.9604571429
2009-03-29,9288.49381428571
2009-04-05,13882.9787714286
2009-04-12,6591.4806
2009-04-19,0.327214285714286
2009-04-26,0
2009-11-01,4894.7336
2009-11-08,0.341485714285714
2009-11-15,3345.43687142857
2009-11-22,0
2009-11-29,2100.33504285714
2009-12-06,108873.634657143
2009-12-13,163760.42
2009-12-20,173478.026014286
2009-12-27,277995.218271429
2010-01-03,361253.227057143
2010-01-10,309300.222542857
2010-01-17,458930.993628571
2010-01-24,1088141.5071
2010-01-31,1221476.24612857
2010-02-07,1287134.80227143
2010-02-14,1300572.44311429
2010-02-21,1535607.25274286
2010-02-28,1677916.35267143
2010-03-07,1717150.56681429
2010-03-14,1713246.50672857
2010-03-21,1535457.0037
