"DateTime","(mm) SWE (SNODAS) at 4005, 2017-11-01 to 2019-05-01"
"2017-11-01",0
"2017-11-02",0
"2017-11-03",0
"2017-11-04",0
"2017-11-05",0
"2017-11-06",0
"2017-11-07",0
"2017-11-08",0
"2017-11-09",0
"2017-11-10",0
"2017-11-11",0
"2017-11-12",0
"2017-11-13",0
"2017-11-14",0
"2017-11-15",0
"2017-11-16",0
"2017-11-17",0
"2017-11-18",0.0014
"2017-11-19",0
"2017-11-20",0
"2017-11-21",0
"2017-11-22",0
"2017-11-23",0
"2017-11-24",0
"2017-11-25",0
"2017-11-26",0
"2017-11-27",0
"2017-11-28",0
"2017-11-29",0
"2017-11-30",0
"2017-12-01",0
"2017-12-02",0
"2017-12-03",0
"2017-12-04",0
"2017-12-05",0
"2017-12-06",0
"2017-12-07",0
"2017-12-08",0
"2017-12-09",0
"2017-12-10",0
"2017-12-11",0
"2017-12-12",0
"2017-12-13",0
"2017-12-14",0
"2017-12-15",0
"2017-12-16",0
"2017-12-17",0
"2017-12-18",0
"2017-12-19",0
"2017-12-20",0
"2017-12-21",0
"2017-12-22",0.3435
"2017-12-23",0.1662
"2017-12-24",0.0012
"2017-12-25",0
"2017-12-26",0
"2017-12-27",0
"2017-12-28",0
"2017-12-29",0
"2017-12-30",0
"2017-12-31",0
"2018-01-01",0
"2018-01-02",0
"2018-01-03",0
"2018-01-04",0
"2018-01-05",0
"2018-01-06",0
"2018-01-07",0.0071
"2018-01-08",0.2704
"2018-01-09",0.156
"2018-01-10",0
"2018-01-11",1.6126
"2018-01-12",1.427
"2018-01-13",0.5843
"2018-01-14",0.4833
"2018-01-15",0.4125
"2018-01-16",0.3404
"2018-01-17",0.3235
"2018-01-18",0.2909
"2018-01-19",0.2564
"2018-01-20",0.0902
"2018-01-21",1.1457
"2018-01-22",2.0229
"2018-01-23",1.9102
"2018-01-24",2.7848
"2018-01-25",1.6805
"2018-01-26",0.4263
"2018-01-27",0.3323
"2018-01-28",0.2964
"2018-01-29",0.2139
"2018-01-30",0.179
"2018-01-31",0.1025
"2018-02-01",0.0827
"2018-02-02",0.0521
"2018-02-03",0.0322
"2018-02-04",0.0211
"2018-02-05",0.0151
"2018-02-06",0.0112
"2018-02-07",0.0205
"2018-02-08",0.0095
"2018-02-09",0.0081
"2018-02-10",0.0043
"2018-02-11",0.9007
"2018-02-12",0.6496
"2018-02-13",0.0466
"2018-02-14",0.0413
"2018-02-15",0.6158
"2018-02-16",0.9947
"2018-02-17",0.8733
"2018-02-18",0.4909
"2018-02-19",0.0124
"2018-02-20",1.9911
"2018-02-21",2.678
"2018-02-22",2.4043
"2018-02-23",2.3698
"2018-02-24",3.8466
"2018-02-25",3.2437
"2018-02-26",2.8674
"2018-02-27",0.5776
"2018-02-28",0.0917
"2018-03-01",0.0769
"2018-03-02",0.0246
"2018-03-03",0.0056
"2018-03-04",0.0017
"2018-03-05",0.0006
"2018-03-06",0.0004
"2018-03-07",0.0003
"2018-03-08",0.0001
"2018-03-09",0
"2018-03-10",0
"2018-03-11",0.0025
"2018-03-12",0.1998
"2018-03-13",0.1826
"2018-03-14",0.1137
"2018-03-15",0
"2018-03-16",0.5545
"2018-03-17",0.0728
"2018-03-18",0.0129
"2018-03-19",1.5039
"2018-03-20",0.7922
"2018-03-21",0.2811
"2018-03-22",0.0051
"2018-03-23",0
"2018-03-24",0
"2018-03-25",0
"2018-03-26",0
"2018-03-27",0.0069
"2018-03-28",0.889
"2018-03-29",0.0019
"2018-03-30",0
"2018-03-31",0
"2018-04-01",0
"2018-04-02",0
"2018-04-03",0
"2018-04-04",0
"2018-04-05",0
"2018-04-06",0
"2018-04-07",0
"2018-04-08",0
"2018-04-09",0
"2018-04-10",0
"2018-04-11",0
"2018-04-12",0
"2018-04-13",0
"2018-04-14",0
"2018-04-15",0
"2018-04-16",0
"2018-04-17",0
"2018-04-18",0
"2018-04-19",0
"2018-04-20",0
"2018-04-21",0.2741
"2018-04-22",0.0002
"2018-04-23",0
"2018-04-24",0
"2018-04-25",0
"2018-04-26",0
"2018-04-27",0
"2018-04-28",0
"2018-04-29",0
"2018-04-30",0
"2018-05-01",0
"2018-05-02",0
"2018-05-03",0.1745
"2018-05-04",0.1151
"2018-05-05",0.0022
"2018-05-06",0.0007
"2018-05-07",0
"2018-05-08",0
"2018-05-09",0
"2018-05-10",0
"2018-05-11",0
"2018-05-12",0
"2018-05-13",0
"2018-05-14",0
"2018-05-15",0
"2018-05-16",0
"2018-05-17",0
"2018-05-18",0
"2018-05-19",0
"2018-05-20",0
"2018-05-21",0
"2018-05-22",0
"2018-05-23",0
"2018-05-24",0
"2018-05-25",0
"2018-05-26",0
"2018-05-27",0
"2018-05-28",0
"2018-05-29",0
"2018-05-30",0
"2018-05-31",0
"2018-06-01",0
"2018-06-02",0
"2018-06-03",0
"2018-06-04",0
"2018-06-05",0
"2018-06-06",0
"2018-06-07",0
"2018-06-08",0
"2018-06-09",0
"2018-06-10",0
"2018-06-11",0
"2018-06-12",0
"2018-06-13",0
"2018-06-14",0
"2018-06-15",0
"2018-06-16",0
"2018-06-17",0
"2018-06-18",0
"2018-06-19",0
"2018-06-20",0
"2018-06-21",0
"2018-06-22",0
"2018-06-23",0
"2018-06-24",0
"2018-06-25",0
"2018-06-26",0
"2018-06-27",0
"2018-06-28",0
"2018-06-29",0
"2018-06-30",0
"2018-07-01",0
"2018-07-02",0
"2018-07-03",0
"2018-07-04",0
"2018-07-05",0
"2018-07-06",0
"2018-07-07",0
"2018-07-08",0
"2018-07-09",0
"2018-07-10",0
"2018-07-11",0
"2018-07-12",0
"2018-07-13",0
"2018-07-14",0
"2018-07-15",0
"2018-07-16",0
"2018-07-17",0
