date,swe_mm,depth_cm,precip_accum_mm,air_temp,air_temp_max,air_temp_min,air_temp_av
2009-10-01,0,,0,,,,
2009-10-02,0,,0,,,,
2009-10-03,0,,0,,,,
2009-10-04,0,,0,,,,
2009-10-05,0,,0,,,,
2009-10-06,0,,0,,,,
2009-10-07,0,,0,,,,
2009-10-08,0,,0,,,,
2009-10-09,0,,0,,,,
2009-10-10,0,,0,,,,
2009-10-11,0,,0,,,,
2009-10-12,0,,0,,,,
2009-10-13,0,,0,,,,
2009-10-14,0,,3,,,,
2009-10-15,0,,3,,,,
2009-10-16,0,,3,,,,
2009-10-17,0,,3,,,,
2009-10-18,0,,3,,,,
2009-10-19,0,,3,,,,
2009-10-20,0,,3,,,,
2009-10-21,0,,5,,,,
2009-10-22,0,,5,,,,
2009-10-23,0,,5,,,,
2009-10-24,0,,5,,,,
2009-10-25,0,,5,,,,
2009-10-26,0,,5,,,,
2009-10-27,0,,5,,,,
2009-10-28,0,,5,,,,
2009-10-29,0,,8,,,,
2009-10-30,0,,8,,4.2,-10.2,-2.6
2009-10-31,0,0,8,0.1,12.5,-1.2,5.1
2009-11-01,0,0,8,5,14.3,2.9,7.5
2009-11-02,0,0,8,5,14.3,4,7.8
2009-11-03,0,0,8,4.9,15.2,4.1,9
2009-11-04,0,0,8,7.2,16.2,5.3,10.1
2009-11-05,0,0,8,9.7,15.6,7.5,10.4
2009-11-06,0,0,8,8,14.2,6.9,9.6
2009-11-07,0,0,8,8.2,13.9,5.4,8.9
2009-11-08,0,0,8,5.6,10.9,2.2,5.8
2009-11-09,0,0,8,4.5,11.2,2.7,6
2009-11-10,0,0,8,4.8,13.1,4.4,7.7
2009-11-11,0,0,8,7.4,12.3,3.9,8
2009-11-12,0,0,8,6.4,8.7,3.3,6.1
2009-11-13,0,0,8,3.4,3.4,-0.7,1.3
2009-11-14,13,5,23,-0.7,-0.6,-5.9,-2.3
2009-11-15,23,8,48,-5.9,-1.1,-10.6,-7
