date,swe_mm,depth_cm,precip_accum_mm,air_temp,air_temp_max,air_temp_min,air_temp_av
1980-11-01,0,,36,-5.4,,,
1980-11-02,0,,36,-3.8,,,
1980-11-03,0,,36,0.8,,,
1980-11-04,0,,36,-3.4,,,
1980-11-05,0,,36,-1.8,,,
1980-11-06,0,,38,4.4,,,
1980-11-07,0,,38,4.5,,,
1980-11-08,0,,38,0,,,
1980-11-09,0,,38,,,,
1980-11-10,0,,38,5.6,,,
1980-11-11,0,,38,1.4,,,
1980-11-12,0,,38,3,,,
1980-11-13,0,,41,1,,,
1980-11-14,0,,46,-4.2,,,
1980-11-15,0,,46,-12.8,,,
1980-11-16,0,,46,0,,,
1980-11-17,0,,46,-19.5,,,
1980-11-18,0,,46,-16.9,,,
1980-11-19,0,,46,,,,
1980-11-20,0,,46,-15.2,,,
1980-11-21,0,,46,-16.3,,,
1980-11-22,0,,51,-4.1,,,
1980-11-23,0,,51,-11.4,,,
1980-11-24,5,,58,-4.4,,,
1980-11-25,10,,66,-19.9,,,
1980-11-26,13,,66,-11.2,,,
1980-11-27,13,,66,,,,
1980-11-28,18,,74,-3,,,
1980-11-29,18,,74,0,,,
1980-11-30,18,,74,-0.2,,,
1980-12-01,18,,74,-3.6,,,
1980-12-02,15,,74,-3.9,,,
1980-12-03,15,,74,-0.3,,,
1980-12-04,15,,74,1,,,
1980-12-05,15,,74,-2.3,,,
1980-12-06,13,,74,-2.7,,,
1980-12-07,10,,74,-3.2,,,
1980-12-08,10,,74,-10.1,,,
1980-12-09,5,,74,-8.9,,,
1980-12-10,3,,74,-6.1,,,
1980-12-11,0,,74,-2.5,,,
1980-12-12,0,,74,-8.1,,,
1980-12-13,0,,74,-5.5,,,
1980-12-14,0,,74,-2.9,,,
1980-12-15,0,,74,-1.4,,,
1980-12-16,0,,74,1.3,,,
1980-12-17,0,,74,4.9,,,
1980-12-18,0,,74,2.3,,,
1980-12-19,0,,74,-10,,,
1980-12-20,0,,74,-3,,,
1980-12-21,0,,74,-10,,,
1980-12-22,0,,76,-3.1,,,
1980-12-23,0,,76,-3.5,,,
1980-12-24,0,,76,-3.4,,,
1980-12-25,0,,76,0,,,
1980-12-26,0,,79,1.1,,,
1980-12-27,0,,79,0.5,,,
1980-12-28,0,,79,3.9,,,
1980-12-29,0,,79,-2.3,,,
1980-12-30,0,,79,1.8,,,
1980-12-31,0,,79,,,,
1981-01-01,0,,79,-9.7,,,
1981-01-02,0,,79,-1.5,,,
1981-01-03,0,,79,-8.8,,,
1981-01-04,0,,79,-2,,,
1981-01-05,0,,79,-1.7,,,
1981-01-06,0,,79,-11.1,,,
1981-01-07,0,,79,-3.9,,,
1981-01-08,0,,79,-0.2,,,
1981-01-09,0,,79,,,,
1981-01-10,0,,79,0.1,,,
1981-01-11,0,,79,,,,
1981-01-12,0,,79,-14.2,,,
1981-01-13,0,,79,-12.8,,,
1981-01-14,0,,79,-9.3,,,
1981-01-15,0,,79,-4.1,,,
1981-01-16,0,,79,-11.8,,,
1981-01-17,0,,79,-13.5,,,
1981-01-18,0,,79,-11.3,,,
1981-01-19,0,,79,-14.5,,,
1981-01-20,0,,79,-8.4,,,
1981-01-21,0,,79,-11.3,,,
1981-01-22,0,,79,-11.8,,,
1981-01-23,0,,79,,,,
1981-01-24,0,,79,-3.9,,,
1981-01-25,0,,79,-8.2,,,
1981-01-26,0,,79,-11.7,,,
1981-01-27,0,,79,-5.2,,,
1981-01-28,0,,79,-4.3,,,
1981-01-29,0,,79,,,,
1981-01-30,0,,79,-4.4,,,
1981-01-31,0,,79,-12.9,,,
1981-02-01,20,,99,-14.2,,,
1981-02-02,20,,102,-13.2,,,
1981-02-03,20,,102,-12.4,,,
1981-02-04,20,,102,-9.7,,,
1981-02-05,20,,102,-9.3,,,
1981-02-06,20,,102,-5.9,,,
1981-02-07,20,,102,-9.8,,,
1981-02-08,20,,102,-9.1,,,
1981-02-09,20,,102,,,,
1981-02-10,23,,114,-8.7,,,
1981-02-11,25,,117,-13.6,,,
1981-02-12,25,,119,-9.5,,,
1981-02-13,25,,119,-3.1,,,
1981-02-14,25,,119,1,,,
1981-02-15,25,,119,-2.1,,,
1981-02-16,25,,119,-0.7,,,
1981-02-17,25,,119,1.6,,,
1981-02-18,25,,119,-5.7,,,
1981-02-19,30,,124,1.9,,,
1981-02-20,30,,124,,,,
1981-02-21,30,,124,-11.8,,,
1981-02-22,38,,127,-9.9,,,
1981-02-23,41,,127,-0.2,,,
1981-02-24,43,,130,-2.2,,,
1981-02-25,43,,130,1.2,,,
1981-02-26,43,,130,-0.9,,,
1981-02-27,43,,130,-2.5,,,
1981-02-28,43,,130,-3.1,,,
1981-03-01,48,,140,-3.4,,,
1981-03-02,48,,155,-1.1,,,
1981-03-03,48,,155,-4.3,,,
1981-03-04,56,,170,-6.2,,,
1981-03-05,56,,170,-13.3,,,
1981-03-06,61,,175,-4.5,,,
1981-03-07,61,,175,,,,
1981-03-08,64,,180,-7.9,,,
1981-03-09,64,,180,-13.4,,,
1981-03-10,71,,196,-4.1,,,
1981-03-11,79,,226,-5.1,,,
1981-03-12,89,,234,-6,,,
1981-03-13,89,,234,-10.7,,,
1981-03-14,91,,239,-3.5,,,
1981-03-15,94,,241,-8.8,,,
1981-03-16,94,,241,-3.5,,,
1981-03-17,94,,244,-5.3,,,
1981-03-18,94,,244,-9.9,,,
1981-03-19,94,,244,-2.1,,,
1981-03-20,99,,249,-0.2,,,
1981-03-21,99,,262,-8.1,,,
1981-03-22,104,,272,-4.4,,,
1981-03-23,107,,274,-3.9,,,
1981-03-24,107,,274,-1.4,,,
1981-03-25,109,,282,-13.7,,,
1981-03-26,114,,287,0.3,,,
1981-03-27,114,,295,5.3,,,
1981-03-28,114,,295,-7.3,,,
1981-03-29,114,,302,-6.1,,,
1981-03-30,117,,305,-0.8,,,
1981-03-31,117,,305,-9.5,,,
1981-04-01,117,,310,-2.4,,,
1981-04-02,119,,312,3.1,,,
1981-04-03,119,,315,-6.5,,,
1981-04-04,124,,335,-7.1,,,
1981-04-05,124,,335,-6.8,,,
1981-04-06,127,,340,-0.3,,,
1981-04-07,127,,340,0.4,,,
1981-04-08,124,,340,-0.3,,,
1981-04-09,122,,343,2.4,,,
1981-04-10,114,,345,4.9,,,
1981-04-11,104,,348,2.9,,,
1981-04-12,99,,348,3.5,,,
1981-04-13,94,,351,2.4,,,
1981-04-14,94,,358,2.5,,,
1981-04-15,94,,358,9.6,,,
1981-04-16,94,,358,0.6,,,
1981-04-17,79,,358,7.7,,,
1981-04-18,69,,358,2.5,,,
1981-04-19,66,,358,5,,,
1981-04-20,36,,358,1.3,,,
1981-04-21,30,,358,4.3,,,
1981-04-22,25,,358,0,,,
1981-04-23,25,,358,,,,
1981-04-24,5,,358,6.9,,,
1981-04-25,0,,358,8.2,,,
1981-04-26,0,,358,,,,
1981-04-27,0,,358,5.6,,,
1981-04-28,0,,358,3,,,
1981-04-29,0,,358,7.1,,,
1981-04-30,0,,358,4.7,,,
1981-11-01,0,,0,,,,
1981-11-02,0,,0,,,,
1981-11-03,0,,38,-1.2,,,
1981-11-04,0,,38,0.4,,,
1981-11-05,0,,38,-6.6,,,
1981-11-06,0,,38,0.3,,,
1981-11-07,0,,38,1.2,,,
1981-11-08,0,,43,-4.1,,,
1981-11-09,0,,43,-4.4,,,
1981-11-10,0,,43,,,,
1981-11-11,0,,43,-7.7,,,
1981-11-12,0,,43,-0.1,,,
1981-11-13,0,,43,,,,
1981-11-14,0,,43,,,,
1981-11-15,0,,43,1,,,
1981-11-16,0,,43,5.8,,,
1981-11-17,0,,43,,,,
1981-11-18,0,,43,,,,
1981-11-19,0,,43,-10.8,,,
1981-11-20,0,,43,,,,
1981-11-21,0,,43,,,,
1981-11-22,0,,43,0.7,,,
1981-11-23,0,,43,,,,
1981-11-24,0,,43,,,,
1981-11-25,0,,43,-0.6,,,
1981-11-26,0,,43,-9.7,,,
1981-11-27,0,,48,-5.5,,,
1981-11-28,0,,51,-3.7,,,
1981-11-29,0,,51,,,,
1981-11-30,25,,76,-9.4,,,
1981-12-01,25,,76,-15.5,,,
1981-12-02,25,,76,,,,
1981-12-03,25,,76,,,,
1981-12-04,25,,76,,,,
1981-12-05,25,,76,,,,
1981-12-06,25,,79,1.2,,,
1981-12-07,25,,79,11.9,,,
1981-12-08,25,,79,3.5,,,
1981-12-09,23,,79,-7.7,,,
1981-12-10,23,,79,,,,
1981-12-11,23,,79,,,,
1981-12-12,23,,86,-1.6,,,
1981-12-13,23,,86,,,,
1981-12-14,23,,91,-8.4,,,
1981-12-15,25,,94,-3.9,,,
1981-12-16,25,,94,,,,
1981-12-17,25,,94,,,,
1981-12-18,25,,94,-5.6,,,
1981-12-19,25,,94,,,,
1981-12-20,25,,94,,,,
1981-12-21,28,,97,-3.3,,,
1981-12-22,33,,102,-12.6,,,
1981-12-23,41,,112,-16.8,,,
1981-12-24,41,,112,,,,
1981-12-25,41,,112,,,,
1981-12-26,46,,122,-14.8,,,
1981-12-27,53,,130,-7.1,,,
1981-12-28,53,,130,,,,
1981-12-29,61,,137,-8.9,,,
1981-12-30,64,,142,-3.6,,,
1981-12-31,66,,147,-6.2,,,
1982-01-01,74,,155,-5.1,,,
1982-01-02,74,,155,,,,
1982-01-03,94,,178,-16.9,,,
1982-01-04,94,,178,,,,
1982-01-05,102,,183,-5,,,
1982-01-06,104,,188,-7.5,,,
1982-01-07,104,,188,,,,
1982-01-08,107,,190,-7.7,,,
1982-01-09,107,,193,-7.7,,,
1982-01-10,107,,193,,,,
1982-01-11,107,,196,-3.4,,,
1982-01-12,107,,196,,,,
1982-01-13,107,,196,-14.4,,,
1982-01-14,107,,196,-6.7,,,
1982-01-15,107,,198,-8.5,,,
1982-01-16,107,,198,,,,
1982-01-17,109,,201,-4,,,
1982-01-18,109,,201,-4.1,,,
1982-01-19,109,,201,,,,
1982-01-20,109,,201,,,,
1982-01-21,109,,201,,,,
1982-01-22,124,,216,-14.5,,,
1982-01-23,124,,216,,,,
1982-01-24,124,,216,,,,
1982-01-25,124,,216,,,,
