"DateTime","(mm) Snow Depth (SNODAS) at Defiance Plateau, 2005-11-02 to 2007-11-01"
"2005-11-02",0
"2005-11-03",0
"2005-11-04",0
"2005-11-05",0
"2005-11-06",0
"2005-11-07",0
"2005-11-08",0
"2005-11-09",0
"2005-11-10",0
"2005-11-11",0
"2005-11-12",0
"2005-11-13",0
"2005-11-14",0
"2005-11-15",0
"2005-11-16",0
"2005-11-17",0
"2005-11-18",0
"2005-11-19",0
"2005-11-20",0
"2005-11-21",0
"2005-11-22",0
"2005-11-23",0
"2005-11-24",0
"2005-11-25",0
"2005-11-26",0
"2005-11-27",15.5466
"2005-11-28",6.407
"2005-11-29",1.2764
"2005-11-30",0
"2005-12-01",0
"2005-12-02",0
"2005-12-03",0
"2005-12-04",0
"2005-12-05",0
"2005-12-06",0
"2005-12-07",0
"2005-12-08",0
"2005-12-09",0
"2005-12-10",0
"2005-12-11",0
"2005-12-12",0
"2005-12-13",3.7906
"2005-12-14",39.6496
"2005-12-15",20.1991
"2005-12-16",11.173
"2005-12-17",4.3941
"2005-12-18",0.6552
"2005-12-19",0.1031
"2005-12-20",0
"2005-12-21",0
"2005-12-22",0
"2005-12-23",0
"2005-12-24",0
"2005-12-25",0
"2005-12-26",0
"2005-12-27",0
"2005-12-28",0
"2005-12-29",0
"2005-12-30",0
"2005-12-31",0
"2006-01-01",0
"2006-01-02",0
"2006-01-03",0
"2006-01-04",0
"2006-01-05",0
"2006-01-06",0
"2006-01-07",0
"2006-01-08",0
"2006-01-09",0
"2006-01-10",0
"2006-01-11",0
"2006-01-12",0
"2006-01-13",0
"2006-01-14",0
"2006-01-15",0
"2006-01-16",0.0067
"2006-01-17",0
"2006-01-18",0
"2006-01-19",0
"2006-01-20",33.9303
"2006-01-21",25.7337
"2006-01-22",15.3024
"2006-01-23",5.4364
"2006-01-24",2.1986
"2006-01-25",0.1461
"2006-01-26",29.798
"2006-01-27",21.5388
"2006-01-28",6.7994
"2006-01-29",3.5491
"2006-01-30",2.5237
"2006-01-31",0.3221
"2006-02-01",0
"2006-02-02",0
"2006-02-03",0
"2006-02-04",0
"2006-02-05",0
"2006-02-06",0
"2006-02-07",0
"2006-02-08",0
"2006-02-09",0
"2006-02-10",0
"2006-02-11",0
"2006-02-12",0
"2006-02-13",0
"2006-02-14",0
"2006-02-15",0
"2006-02-16",0
"2006-02-17",6.7702
"2006-02-18",0.0037
"2006-02-19",0
"2006-02-20",0
"2006-02-21",0
"2006-02-22",0
"2006-02-23",0
"2006-02-24",0
"2006-02-25",0
"2006-02-26",0
"2006-02-27",0
"2006-02-28",0
"2006-03-01",0
"2006-03-02",0
"2006-03-03",0
"2006-03-04",0
"2006-03-05",0
"2006-03-06",0
"2006-03-07",0
"2006-03-08",0
"2006-03-09",47.3787
"2006-03-10",41.8373
"2006-03-11",56.205
"2006-03-12",267.6654
"2006-03-13",330.5628
"2006-03-14",297.9237
"2006-03-15",267.522
"2006-03-16",231.3909
"2006-03-17",201.462
"2006-03-18",68.8772
"2006-03-19",49.6327
"2006-03-20",48.4568
"2006-03-21",50.7948
"2006-03-22",72.4042
"2006-03-23",73.3518
"2006-03-24",48.5426
"2006-03-25",21.6737
"2006-03-26",0.255
"2006-03-27",0
"2006-03-28",0
"2006-03-29",0
"2006-03-30",17.8881
"2006-03-31",16.5672
"2006-04-01",0
"2006-04-02",0
"2006-04-03",0
"2006-04-04",0
"2006-04-05",0
"2006-04-06",0
"2006-04-07",2.316
"2006-04-08",0
"2006-04-09",0
"2006-04-10",0
"2006-04-11",0
"2006-04-12",0
"2006-04-13",0
"2006-04-14",0
"2006-04-15",0
"2006-04-16",0
"2006-04-17",0
"2006-04-18",0
"2006-04-19",0
