"DateTime","(mm) SWE (SNODAS) at Defiance Plateau, 2005-11-02 to 2007-11-01"
"2005-11-02",0
"2005-11-03",0
"2005-11-04",0
"2005-11-05",0
"2005-11-06",0
"2005-11-07",0
"2005-11-08",0
"2005-11-09",0
"2005-11-10",0
"2005-11-11",0
"2005-11-12",0
"2005-11-13",0
"2005-11-14",0
"2005-11-15",0
"2005-11-16",0
"2005-11-17",0
"2005-11-18",0
"2005-11-19",0
"2005-11-20",0
"2005-11-21",0
"2005-11-22",0
"2005-11-23",0
"2005-11-24",0
"2005-11-25",0
"2005-11-26",0
"2005-11-27",1.7226
"2005-11-28",0.7973
"2005-11-29",0.1665
"2005-11-30",0
"2005-12-01",0
"2005-12-02",0
"2005-12-03",0
"2005-12-04",0
"2005-12-05",0
"2005-12-06",0
"2005-12-07",0
"2005-12-08",0
"2005-12-09",0
"2005-12-10",0
"2005-12-11",0
"2005-12-12",0
"2005-12-13",0.6444
"2005-12-14",4.736
"2005-12-15",2.6361
"2005-12-16",1.4819
"2005-12-17",0.5702
"2005-12-18",0.0924
"2005-12-19",0.0146
"2005-12-20",0
"2005-12-21",0
"2005-12-22",0
"2005-12-23",0
"2005-12-24",0
"2005-12-25",0
"2005-12-26",0
"2005-12-27",0
"2005-12-28",0
"2005-12-29",0
"2005-12-30",0
"2005-12-31",0
"2006-01-01",0
"2006-01-02",0
"2006-01-03",0
"2006-01-04",0
"2006-01-05",0
"2006-01-06",0
"2006-01-07",0
"2006-01-08",0
"2006-01-09",0
"2006-01-10",0
"2006-01-11",0
"2006-01-12",0
"2006-01-13",0
"2006-01-14",0
"2006-01-15",0
"2006-01-16",0
"2006-01-17",0
"2006-01-18",0
"2006-01-19",0
"2006-01-20",3.6832
"2006-01-21",3.0848
"2006-01-22",1.9864
"2006-01-23",0.7133
"2006-01-24",0.3094
"2006-01-25",0.0195
"2006-01-26",3.1576
"2006-01-27",2.6074
"2006-01-28",0.8784
"2006-01-29",0.4656
"2006-01-30",0.3186
"2006-01-31",0.0656
"2006-02-01",0
"2006-02-02",0
"2006-02-03",0
"2006-02-04",0
"2006-02-05",0
"2006-02-06",0
"2006-02-07",0
"2006-02-08",0
"2006-02-09",0
"2006-02-10",0
"2006-02-11",0
"2006-02-12",0
"2006-02-13",0
"2006-02-14",0
"2006-02-15",0
"2006-02-16",0
"2006-02-17",0.776
"2006-02-18",0
"2006-02-19",0
"2006-02-20",0
"2006-02-21",0
"2006-02-22",0
"2006-02-23",0
"2006-02-24",0
"2006-02-25",0
"2006-02-26",0
"2006-02-27",0
"2006-02-28",0
"2006-03-01",0
"2006-03-02",0
"2006-03-03",0
"2006-03-04",0
"2006-03-05",0
"2006-03-06",0
"2006-03-07",0
"2006-03-08",0
"2006-03-09",5.4652
"2006-03-10",5.0834
"2006-03-11",6.7786
"2006-03-12",29.2627
"2006-03-13",39.8864
"2006-03-14",39.339
"2006-03-15",38.029
"2006-03-16",35.5036
"2006-03-17",33.4586
"2006-03-18",19.7151
"2006-03-19",13.887
"2006-03-20",13.3742
"2006-03-21",13.0377
"2006-03-22",14.7694
"2006-03-23",14.75
"2006-03-24",11.6675
"2006-03-25",5.9197
"2006-03-26",0.0914
"2006-03-27",0
"2006-03-28",0
"2006-03-29",0
"2006-03-30",2.2659
"2006-03-31",2.2869
"2006-04-01",0
"2006-04-02",0
"2006-04-03",0
"2006-04-04",0
"2006-04-05",0
"2006-04-06",0
"2006-04-07",0.362
"2006-04-08",0
"2006-04-09",0
"2006-04-10",0
"2006-04-11",0
"2006-04-12",0
"2006-04-13",0
"2006-04-14",0
"2006-04-15",0
"2006-04-16",0
"2006-04-17",0
"2006-04-18",0
"2006-04-19",0
