"DateTime","(mm) Snow Depth (SNODAS) at Mount Powell, 2011-11-02 to 2013-11-01"
"2011-11-02",0
"2011-11-03",0
"2011-11-04",0
"2011-11-05",0
"2011-11-06",8.301
"2011-11-07",3.7756
"2011-11-08",16.2476
"2011-11-09",31.9309
"2011-11-10",25.4007
"2011-11-11",11.958
"2011-11-12",0.1738
"2011-11-13",0
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0
"2011-11-17",0
"2011-11-18",0
"2011-11-19",0
"2011-11-20",0
"2011-11-21",0
"2011-11-22",0
"2011-11-23",0
"2011-11-24",0
"2011-11-25",0
"2011-11-26",0
"2011-11-27",0
"2011-11-28",0
"2011-11-29",0
"2011-11-30",0
"2011-12-01",0
"2011-12-02",0
"2011-12-03",58.4351
"2011-12-04",103.3659
"2011-12-05",101.1828
"2011-12-06",131.6934
"2011-12-07",118.4387
"2011-12-08",30.6597
"2011-12-09",21.7142
"2011-12-10",15.496
"2011-12-11",9.34
"2011-12-12",4.3988
"2011-12-13",19.4257
"2011-12-14",46.4487
"2011-12-15",104.6856
"2011-12-16",94.3126
"2011-12-17",83.1108
"2011-12-18",48.1019
"2011-12-19",9.2211
"2011-12-20",71.185
"2011-12-21",211.756
"2011-12-22",196.9598
"2011-12-23",345.8866
"2011-12-24",323.1369
"2011-12-25",298.617
"2011-12-26",279.2569
"2011-12-27",260.0999
"2011-12-28",230.7683
"2011-12-29",210.5842
"2011-12-30",177.2371
"2011-12-31",134.5638
"2012-01-01",74.5294
"2012-01-02",68.2682
"2012-01-03",61.5933
"2012-01-04",132.8364
"2012-01-05",124.4163
"2012-01-06",116.4122
"2012-01-07",106.3933
"2012-01-08",85.7982
"2012-01-09",96.619
"2012-01-10",110.6718
"2012-01-11",101.151
"2012-01-12",86.892
"2012-01-13",81.0535
"2012-01-14",72.7534
"2012-01-15",68.0323
"2012-01-16",56.1793
"2012-01-17",68.9504
"2012-01-18",97.2672
"2012-01-19",71.0464
"2012-01-20",36.7468
"2012-01-21",27.1156
"2012-01-22",9.4908
"2012-01-23",21.6021
"2012-01-24",19.4607
"2012-01-25",30.7341
"2012-01-26",22.4926
"2012-01-27",10.4629
"2012-01-28",8.6702
"2012-01-29",7.8648
"2012-01-30",7.0489
"2012-01-31",5.0536
"2012-02-01",3.6499
"2012-02-02",3.168
"2012-02-03",3.3289
"2012-02-04",16.2457
"2012-02-05",7.1975
"2012-02-06",3.6363
"2012-02-07",5.5613
"2012-02-08",3.2865
"2012-02-09",2.9472
"2012-02-10",2.4384
