"DateTime","(mm) SWE (SNODAS) at Mount Powell, 2009-11-02 to 2011-11-01"
"2009-11-02",0
"2009-11-03",0
"2009-11-04",0
"2009-11-05",0
"2009-11-06",0
"2009-11-07",0
"2009-11-08",0
"2009-11-09",0
"2009-11-10",0
"2009-11-11",0
"2009-11-12",0
"2009-11-13",0
"2009-11-14",0
"2009-11-15",0
"2009-11-16",0
"2009-11-17",0
"2009-11-18",0
"2009-11-19",0
"2009-11-20",0
"2009-11-21",0
"2009-11-22",0
"2009-11-23",0
"2009-11-24",0
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0
"2009-11-30",3.1336
"2009-12-01",2.4211
"2009-12-02",0.7114
"2009-12-03",0.138
"2009-12-04",0.0654
"2009-12-05",0.0015
"2009-12-06",0
"2009-12-07",0
"2009-12-08",9.1382
"2009-12-09",16.7028
"2009-12-10",15.7129
"2009-12-11",14.796
"2009-12-12",13.6247
"2009-12-13",12.5495
"2009-12-14",14.0603
"2009-12-15",11.5061
"2009-12-16",10.8937
"2009-12-17",9.7521
"2009-12-18",7.8131
"2009-12-19",5.7703
"2009-12-20",5.0831
"2009-12-21",3.6936
"2009-12-22",1.889
"2009-12-23",5.4718
"2009-12-24",7.7098
"2009-12-25",6.6879
"2009-12-26",5.5871
"2009-12-27",5.0893
"2009-12-28",4.8248
"2009-12-29",3.9468
"2009-12-30",5.7193
"2009-12-31",14.3733
"2010-01-01",58.504
"2010-01-02",57.7575
"2010-01-03",56.3975
"2010-01-04",55.338
"2010-01-05",54.9781
"2010-01-06",53.9716
"2010-01-07",51.7872
"2010-01-08",50.4492
"2010-01-09",49.5691
"2010-01-10",48.1121
"2010-01-11",47.3131
"2010-01-12",45.8683
"2010-01-13",43.9593
"2010-01-14",42.2682
"2010-01-15",41.7636
"2010-01-16",40.6341
"2010-01-17",39.4559
"2010-01-18",37.5446
"2010-01-19",38.3702
"2010-01-20",42.9047
"2010-01-21",47.627
"2010-01-22",57.4073
"2010-01-23",70.4848
"2010-01-24",75.6541
"2010-01-25",74.7617
"2010-01-26",86.2627
"2010-01-27",85.3269
"2010-01-28",84.1186
"2010-01-29",94.318
"2010-01-30",94.1695
"2010-01-31",93.6235
"2010-02-01",92.8465
"2010-02-02",92.2582
"2010-02-03",91.6937
"2010-02-04",98.8728
"2010-02-05",98.9832
"2010-02-06",90.5453
"2010-02-07",89.9014
"2010-02-08",90.122
"2010-02-09",91.2018
"2010-02-10",90.9472
"2010-02-11",91.0078
"2010-02-12",90.2568
"2010-02-13",87.9621
"2010-02-14",85.3635
"2010-02-15",82.6702
"2010-02-16",81.509
"2010-02-17",80.7843
"2010-02-18",79.9585
"2010-02-19",77.6874
"2010-02-20",75.3954
"2010-02-21",74.1363
"2010-02-22",75.1888
"2010-02-23",84.3918
"2010-02-24",115.4912
"2010-02-25",113.6247
"2010-02-26",112.659
"2010-02-27",111.4047
"2010-02-28",109.2643
"2010-03-01",108.0018
"2010-03-02",107.3653
"2010-03-03",106.3997
"2010-03-04",104.9291
"2010-03-05",100.4377
"2010-03-06",106.024
"2010-03-07",104.579
"2010-03-08",96.4158
"2010-03-09",96.6402
"2010-03-10",97.323
"2010-03-11",100.9539
"2010-03-12",102.5929
"2010-03-13",100.506
"2010-03-14",94.6852
"2010-03-15",94.387
"2010-03-16",94.9129
"2010-03-17",91.7491
"2010-03-18",87.2777
"2010-03-19",77.2711
"2010-03-20",66.8554
"2010-03-21",65.7049
"2010-03-22",62.742
"2010-03-23",54.3922
"2010-03-24",49.3852
"2010-03-25",49.9802
"2010-03-26",45.4527
"2010-03-27",42.0393
"2010-03-28",40.6145
"2010-03-29",39.6034
"2010-03-30",35.7038
"2010-03-31",12.6589
"2010-04-01",3.3092
"2010-04-02",3.1924
"2010-04-03",2.2859
"2010-04-04",1.486
"2010-04-05",0.261
"2010-04-06",0
"2010-04-07",0
"2010-04-08",0
"2010-04-09",0
"2010-04-10",0
"2010-04-11",0
"2010-04-12",0
"2010-04-13",0
"2010-04-14",0
"2010-04-15",0
"2010-04-16",0
"2010-04-17",0
"2010-04-18",0
"2010-04-19",0
"2010-04-20",0
"2010-04-21",0
"2010-04-22",0
"2010-04-23",0.506
"2010-04-24",0.071
"2010-04-25",0
"2010-04-26",0
"2010-04-27",0
"2010-04-28",0
"2010-04-29",0
"2010-04-30",0
"2010-05-01",0.05
"2010-05-02",0
"2010-05-03",11.2932
"2010-05-04",0.0424
"2010-05-05",0
"2010-05-06",0
"2010-05-07",0
"2010-05-08",0
"2010-05-09",0
"2010-05-10",0
"2010-05-11",0
"2010-05-12",0
"2010-05-13",0
"2010-05-14",0
"2010-05-15",0
"2010-05-16",0
"2010-05-17",0
"2010-05-18",0
"2010-05-19",0
"2010-05-20",0
"2010-05-21",0
"2010-05-22",0
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",0
"2010-06-06",0
"2010-06-07",0
"2010-06-08",0
"2010-06-09",0
"2010-06-10",0
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",0
"2010-07-06",0
"2010-07-07",0
"2010-07-08",0
"2010-07-09",0
"2010-07-10",0
"2010-07-11",0
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",0
"2010-07-19",0
"2010-07-20",0
"2010-07-21",0
"2010-07-22",0
"2010-07-23",0
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0
"2010-07-27",0
"2010-07-28",0
"2010-07-29",0
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0
"2010-08-03",0
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0
"2010-08-10",0
"2010-08-11",0
"2010-08-12",0
"2010-08-13",0
"2010-08-14",0
"2010-08-15",0
"2010-08-16",0
"2010-08-17",0
"2010-08-18",0
"2010-08-19",0
"2010-08-20",0
"2010-08-21",0
"2010-08-22",0
"2010-08-23",0
"2010-08-24",0
"2010-08-25",0
"2010-08-26",0
"2010-08-27",0
"2010-08-28",0
"2010-08-29",0
"2010-08-30",0
"2010-08-31",0
"2010-09-01",0
"2010-09-02",0
"2010-09-03",0
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0
"2010-09-09",0
"2010-09-10",0
"2010-09-11",0
"2010-09-12",0
"2010-09-13",0
"2010-09-14",0
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0
"2010-09-20",0
"2010-09-21",0
"2010-09-22",0
"2010-09-23",0
"2010-09-24",0
"2010-09-25",0
"2010-09-26",0
"2010-09-27",0
"2010-09-28",0
"2010-09-29",0
"2010-09-30",0
"2010-10-01",0
"2010-10-02",0
"2010-10-03",0
"2010-10-04",0
"2010-10-05",0
"2010-10-06",0
"2010-10-07",0
"2010-10-08",0
"2010-10-09",0
"2010-10-10",0
"2010-10-11",0
"2010-10-12",0
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",0
"2010-10-20",0
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0.0033
"2010-10-27",0
"2010-10-28",0
"2010-10-29",0
"2010-10-30",0
"2010-10-31",0
"2010-11-01",0
"2010-11-02",0
"2010-11-03",0
"2010-11-04",0
"2010-11-05",0
"2010-11-06",0
"2010-11-07",0
"2010-11-08",0
"2010-11-09",0
"2010-11-10",0
"2010-11-11",0
"2010-11-12",0
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",0
"2010-11-17",0
"2010-11-18",0
"2010-11-19",0
"2010-11-20",0
"2010-11-21",0
"2010-11-22",0
"2010-11-23",4.243
"2010-11-24",1.3256
"2010-11-25",3.7575
"2010-11-26",3.4438
"2010-11-27",2.1674
"2010-11-28",0.0017
"2010-11-29",2.6559
"2010-11-30",2.3491
"2010-12-01",0.7991
"2010-12-02",0
"2010-12-03",0
"2010-12-04",0
"2010-12-05",0
"2010-12-06",0
"2010-12-07",0
"2010-12-08",0
"2010-12-09",0
"2010-12-10",0
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",15.0803
"2010-12-18",15.5505
"2010-12-19",13.6516
"2010-12-20",0.1553
"2010-12-21",0
"2010-12-22",0
"2010-12-23",0
"2010-12-24",0.8379
"2010-12-25",0.4749
"2010-12-26",0.0137
"2010-12-27",0
"2010-12-28",0
"2010-12-29",0
"2010-12-30",4.8686
"2010-12-31",20.5716
"2011-01-01",20.4245
"2011-01-02",19.9372
"2011-01-03",19.2096
"2011-01-04",18.0146
"2011-01-05",32.8075
"2011-01-06",31.8217
"2011-01-07",30.8382
"2011-01-08",29.7757
"2011-01-09",28.8102
"2011-01-10",27.0237
"2011-01-11",28.7612
"2011-01-12",25.6374
"2011-01-13",24.5732
"2011-01-14",22.7604
"2011-01-15",20.0804
"2011-01-16",15.8603
"2011-01-17",7.6643
"2011-01-18",0
"2011-01-19",0.9339
"2011-01-20",0.1802
"2011-01-21",0.0848
"2011-01-22",0.0424
"2011-01-23",0
"2011-01-24",0
"2011-01-25",0
"2011-01-26",0
"2011-01-27",0
"2011-01-28",0
"2011-01-29",0
"2011-01-30",0
"2011-01-31",0
"2011-02-01",0.5034
"2011-02-02",3.3351
"2011-02-03",10.6258
"2011-02-04",10.0338
"2011-02-05",8.4187
"2011-02-06",4.4348
"2011-02-07",2.6503
"2011-02-08",1.0717
"2011-02-09",2.5404
"2011-02-10",11.268
"2011-02-11",10.2824
"2011-02-12",8.7814
"2011-02-13",6.9753
"2011-02-14",1.1895
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",1
"2011-02-21",5.3843
"2011-02-22",4.9476
"2011-02-23",6.7744
"2011-02-24",5.3679
"2011-02-25",4.865
"2011-02-26",3.8909
"2011-02-27",2.7967
"2011-02-28",3.4113
"2011-03-01",2.3733
"2011-03-02",1.8666
"2011-03-03",0.5513
"2011-03-04",0.0424
"2011-03-05",0.0106
"2011-03-06",0
"2011-03-07",0
"2011-03-08",8.129
"2011-03-09",13.229
"2011-03-10",8.5654
"2011-03-11",1.7903
"2011-03-12",0
"2011-03-13",0
"2011-03-14",0
"2011-03-15",0
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0
"2011-03-19",0
"2011-03-20",0
"2011-03-21",0
"2011-03-22",0
"2011-03-23",0.7574
"2011-03-24",0
"2011-03-25",0
"2011-03-26",0
"2011-03-27",0
"2011-03-28",0
"2011-03-29",0
"2011-03-30",0
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0
"2011-04-08",0
"2011-04-09",0
"2011-04-10",1
"2011-04-11",0.0836
"2011-04-12",0
"2011-04-13",0
"2011-04-14",0
"2011-04-15",0
"2011-04-16",0
"2011-04-17",0
"2011-04-18",0
"2011-04-19",0
"2011-04-20",0
"2011-04-21",0
"2011-04-22",0
"2011-04-23",0
"2011-04-24",0
"2011-04-25",0
"2011-04-26",0
"2011-04-27",0
"2011-04-28",0
"2011-04-29",0
"2011-04-30",0
"2011-05-01",0
"2011-05-02",0.0424
"2011-05-03",0
"2011-05-04",0
"2011-05-05",0
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0
"2011-05-11",0
"2011-05-12",0
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",0
"2011-05-18",0
"2011-05-19",0
"2011-05-20",0.0212
"2011-05-21",0
"2011-05-22",0
"2011-05-23",0
"2011-05-24",0
"2011-05-25",0
"2011-05-26",0
"2011-05-27",0
"2011-05-28",0
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",0
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0
"2011-06-06",0
"2011-06-07",0
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0
"2011-06-30",0
"2011-07-01",0
"2011-07-02",0
"2011-07-03",0
"2011-07-04",0
"2011-07-05",0
"2011-07-06",0
"2011-07-07",0
"2011-07-08",0
"2011-07-09",0
"2011-07-10",0
"2011-07-11",0
"2011-07-12",0
"2011-07-13",0
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0
"2011-07-23",0
"2011-07-24",0
"2011-07-25",0
"2011-07-26",0
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0
"2011-07-30",0
"2011-07-31",0
"2011-08-01",0
"2011-08-02",0
"2011-08-03",0
"2011-08-04",0
"2011-08-05",0
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",0
"2011-08-11",0
"2011-08-12",0
"2011-08-13",0
"2011-08-14",0
"2011-08-15",0
"2011-08-16",0
"2011-08-17",0
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0
"2011-08-23",0
"2011-08-24",0
"2011-08-25",0
"2011-08-26",0
"2011-08-27",0
"2011-08-28",0
"2011-08-29",0
"2011-08-30",0
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
"2011-09-04",0
"2011-09-05",0
"2011-09-06",0
"2011-09-07",0
"2011-09-08",0
"2011-09-09",0
