"date","waterYear","swe_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,1.8889
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,0.0169
2003-12-10,2004,0
2003-12-11,2004,0
2003-12-12,2004,0
2003-12-13,2004,0
2003-12-14,2004,0
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0.0826
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0
2003-12-27,2004,0
2003-12-28,2004,0
2003-12-29,2004,0
2003-12-30,2004,0
2003-12-31,2004,0
2004-01-01,2004,0
2004-01-02,2004,0
2004-01-03,2004,0
2004-01-04,2004,0.1593
2004-01-05,2004,0
2004-01-06,2004,0
2004-01-07,2004,0
2004-01-08,2004,0
2004-01-09,2004,0
2004-01-10,2004,0
2004-01-11,2004,0
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,2.0925
2004-01-17,2004,2.0184
2004-01-18,2004,2.7217
2004-01-19,2004,2.2225
2004-01-20,2004,1.3575
2004-01-21,2004,1.0232
2004-01-22,2004,0.7637
2004-01-23,2004,0.3908
2004-01-24,2004,0.2628
2004-01-25,2004,0.1003
2004-01-26,2004,1.2909
2004-01-27,2004,0.1286
2004-01-28,2004,0.05
2004-01-29,2004,0.0015
2004-01-30,2004,0
2004-01-31,2004,0
2004-02-01,2004,0
2004-02-02,2004,0
2004-02-03,2004,0
2004-02-04,2004,1
2004-02-05,2004,0
2004-02-06,2004,0
2004-02-07,2004,0
2004-02-08,2004,0
2004-02-09,2004,0
2004-02-10,2004,0
2004-02-11,2004,0
2004-02-12,2004,0
2004-02-13,2004,0
2004-02-14,2004,0
2004-02-15,2004,0
2004-02-16,2004,0
2004-02-17,2004,0
2004-02-18,2004,0
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,3.0709
2004-02-23,2004,2.0321
2004-02-24,2004,1.3838
2004-02-26,2004,1.0693
2004-02-27,2004,0
2004-02-28,2004,0
2004-02-29,2004,0.0162
2004-03-01,2004,0
2004-03-02,2004,0
2004-03-03,2004,0.6993
2004-03-04,2004,0.5873
2004-03-05,2004,4.8298
2004-03-06,2004,3.9193
2004-03-07,2004,0.4558
2004-03-08,2004,0
2004-03-09,2004,0
2004-03-10,2004,0
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,0
2004-04-05,2004,2.1355
2004-04-06,2004,0.9213
2004-04-07,2004,0
2004-04-08,2004,0
2004-04-09,2004,0
2004-04-10,2004,0
2004-04-11,2004,0
2004-04-12,2004,0.0159
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0
2004-04-25,2004,0
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,0
2004-11-02,2005,0
2004-11-03,2005,0
2004-11-04,2005,0
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0
2004-11-11,2005,0
2004-11-12,2005,0
2004-11-13,2005,0
2004-11-14,2005,7.3264
2004-11-15,2005,6.6401
2004-11-16,2005,6.3068
2004-11-17,2005,5.6593
2004-11-18,2005,0.255
2004-11-19,2005,0
2004-11-20,2005,0
2004-11-21,2005,0
2004-11-22,2005,0
2004-11-23,2005,0.2289
2004-11-24,2005,4.7609
2004-11-25,2005,3.5286
2004-11-26,2005,0.9575
2004-11-27,2005,0
2004-11-28,2005,0
2004-11-29,2005,1.2813
2004-11-30,2005,1.963
2004-12-01,2005,1.1816
2004-12-02,2005,0.1194
2004-12-03,2005,0.0877
2004-12-04,2005,0.0288
2004-12-05,2005,1.9911
2004-12-06,2005,1.7544
2004-12-07,2005,3.9111
2004-12-08,2005,3.2312
2004-12-09,2005,3.6901
2004-12-10,2005,0.6384
2004-12-11,2005,0.2267
2004-12-12,2005,0
2004-12-13,2005,0
2004-12-14,2005,0
2004-12-15,2005,0
2004-12-16,2005,0
2004-12-17,2005,0.0033
2004-12-18,2005,0
2004-12-19,2005,0
2004-12-20,2005,0
2004-12-21,2005,0
2004-12-22,2005,0.9336
2004-12-23,2005,0.0454
2004-12-24,2005,0
2004-12-25,2005,0
2004-12-26,2005,0
2004-12-27,2005,0
2004-12-28,2005,0
2004-12-29,2005,0
2004-12-30,2005,0
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0.1243
2005-01-04,2005,0
2005-01-05,2005,0
2005-01-06,2005,0
2005-01-07,2005,0
2005-01-08,2005,0
2005-01-09,2005,0
2005-01-10,2005,0
2005-01-11,2005,0
2005-01-12,2005,0
2005-01-13,2005,0
2005-01-14,2005,0
2005-01-15,2005,0
2005-01-16,2005,0
2005-01-17,2005,0
2005-01-18,2005,0
2005-01-19,2005,0
2005-01-20,2005,0
2005-01-21,2005,0
2005-01-22,2005,0
2005-01-23,2005,0
2005-01-24,2005,0
2005-01-25,2005,0
2005-01-26,2005,0
2005-01-27,2005,0
2005-01-28,2005,0
2005-01-29,2005,0
2005-01-30,2005,1
2005-01-31,2005,0.7511
2005-02-01,2005,0.1145
2005-02-02,2005,0.0511
2005-02-03,2005,0
2005-02-04,2005,0
