"DateTime","(mm) Snow Depth (SNODAS) at Navajo Mountain, 2015-11-02 to 2017-11-01"
"2015-11-02",0
"2015-11-03",0
"2015-11-04",0.2078
"2015-11-05",31.9428
"2015-11-06",36.6049
"2015-11-07",31.676
"2015-11-08",26.3669
"2015-11-09",11.7888
"2015-11-10",1.8124
"2015-11-11",12.8056
"2015-11-12",7.4692
"2015-11-13",3.3523
"2015-11-14",1.1806
"2015-11-15",0.3409
"2015-11-16",0.1496
"2015-11-17",19.8649
"2015-11-18",7.3908
"2015-11-19",0.1329
"2015-11-20",0
"2015-11-21",0
"2015-11-22",0
"2015-11-23",0
"2015-11-24",0
"2015-11-25",0
"2015-11-26",0
"2015-11-27",0
"2015-11-28",0.9464
"2015-11-29",0.8888
"2015-11-30",0.491
"2015-12-01",0
"2015-12-02",0
"2015-12-03",0
"2015-12-04",0
"2015-12-05",0
"2015-12-06",0
"2015-12-07",0
"2015-12-08",0
"2015-12-09",0
"2015-12-10",0
"2015-12-11",0
"2015-12-12",4.4212
"2015-12-13",2.364
"2015-12-14",0
"2015-12-15",87.2857
"2015-12-16",84.0485
"2015-12-17",75.1645
"2015-12-18",65.8355
"2015-12-19",57.0281
"2015-12-20",35.7189
"2015-12-21",26.8839
"2015-12-22",19.1607
"2015-12-23",15.959
"2015-12-24",12.1076
"2015-12-25",11.0046
"2015-12-26",53.9002
"2015-12-27",43.7777
"2015-12-28",36.8656
"2015-12-29",32.9992
"2015-12-30",29.9735
"2015-12-31",24.893
"2016-01-01",22.6498
"2016-01-02",20.3644
"2016-01-03",18.5794
"2016-01-04",13.3802
"2016-01-05",47.3354
"2016-01-06",53.9803
"2016-01-07",127.4945
"2016-01-08",277.1072
"2016-01-09",319.5989
"2016-01-10",302.2023
"2016-01-11",290.0467
"2016-01-12",277.4451
"2016-01-13",267.116
"2016-01-14",253.6918
"2016-01-15",237.5146
"2016-01-16",260.6536
"2016-01-17",248.702
"2016-01-18",234.3736
"2016-01-19",216.688
"2016-01-20",219.9751
"2016-01-21",181.7183
"2016-01-22",174.1415
"2016-01-23",166.9508
"2016-01-24",153.2574
"2016-01-25",183.5194
"2016-01-26",176.0159
"2016-01-27",166.9265
"2016-01-28",157.1427
"2016-01-29",146.3855
"2016-01-30",126.92
"2016-01-31",40.2995
"2016-02-01",49.83
"2016-02-02",132.4639
"2016-02-03",123.9472
"2016-02-04",118.0589
"2016-02-05",113.115
"2016-02-06",107.1566
"2016-02-07",102.5558
"2016-02-08",88.9266
"2016-02-09",66.1381
"2016-02-10",54.0951
"2016-02-11",47.6227
"2016-02-12",42.1193
"2016-02-13",33.297
"2016-02-14",22.2297
"2016-02-15",17.1287
"2016-02-16",12.0199
"2016-02-17",8.6214
"2016-02-18",0
"2016-02-19",0
"2016-02-20",0
"2016-02-21",0
"2016-02-22",0
"2016-02-23",0
"2016-02-24",0
"2016-02-25",0
"2016-02-26",0
"2016-02-27",0
"2016-02-28",0
"2016-02-29",0
"2016-03-01",0
"2016-03-02",0
"2016-03-03",0
"2016-03-04",0
"2016-03-05",0
"2016-03-06",0
"2016-03-07",3.2102
"2016-03-08",1.5131
"2016-03-09",0.3575
"2016-03-10",0
"2016-03-11",0
"2016-03-12",0
"2016-03-13",2.2697
"2016-03-14",0
"2016-03-15",0
"2016-03-16",0
"2016-03-17",0
"2016-03-18",0
"2016-03-19",0
"2016-03-20",0
"2016-03-21",0
"2016-03-22",0
"2016-03-23",0
"2016-03-24",0
"2016-03-25",0
"2016-03-26",0
"2016-03-27",0
"2016-03-28",0
"2016-03-29",0
"2016-03-30",10.5213
"2016-03-31",7.7151
"2016-04-01",4.2146
"2016-04-02",1.0309
"2016-04-03",0.1081
"2016-04-04",0
"2016-04-05",0
"2016-04-06",0
"2016-04-07",0
"2016-04-08",0
"2016-04-09",0
"2016-04-10",0
"2016-04-11",0
"2016-04-12",0
"2016-04-13",0
"2016-04-14",0
"2016-04-15",0
"2016-04-16",18.1641
"2016-04-17",10.068
"2016-04-18",6.5679
"2016-04-19",4.5809
"2016-04-20",1.2886
"2016-04-21",0
"2016-04-22",0
"2016-04-23",0
"2016-04-24",0
"2016-04-25",0
"2016-04-26",11.1746
"2016-04-27",6.8672
"2016-04-28",3.4086
"2016-04-29",18.0235
"2016-04-30",18.6228
"2016-05-01",18.681
"2016-05-02",24.8244
"2016-05-03",19.4542
"2016-05-04",11.5645
"2016-05-05",0.9395
"2016-05-06",0
"2016-05-07",0
"2016-05-08",1.7958
"2016-05-09",1.3302
"2016-05-10",0
"2016-05-11",0
"2016-05-12",0
"2016-05-13",0
"2016-05-14",0
"2016-05-15",0
"2016-05-16",0
"2016-05-17",0
"2016-05-18",0
"2016-05-19",0
"2016-05-20",0
"2016-05-21",0
"2016-05-22",0
"2016-05-23",0
"2016-05-24",0
"2016-05-25",0
"2016-05-26",0
"2016-05-27",0
"2016-05-28",0
"2016-05-29",0
"2016-05-30",0
"2016-05-31",0
"2016-06-01",0
"2016-06-02",0
"2016-06-03",0
"2016-06-04",0
"2016-06-05",0
"2016-06-06",0
"2016-06-07",0
"2016-06-08",0
"2016-06-09",0
"2016-06-10",0
"2016-06-11",0
"2016-06-12",0
"2016-06-13",0
"2016-06-14",0
"2016-06-15",0
"2016-06-16",0
"2016-06-17",0
"2016-06-18",0
"2016-06-19",0
"2016-06-20",0
"2016-06-21",0
"2016-06-22",0
"2016-06-23",0
"2016-06-24",0
"2016-06-25",0
"2016-06-26",0
"2016-06-27",0
"2016-06-28",0
"2016-06-29",0
"2016-06-30",0
"2016-07-01",0
"2016-07-02",0
"2016-07-03",0
"2016-07-04",0
"2016-07-05",0
"2016-07-06",0
"2016-07-07",0
"2016-07-08",0
"2016-07-09",0
"2016-07-10",0
"2016-07-11",0
"2016-07-12",0
"2016-07-13",0
"2016-07-14",0
"2016-07-15",0
"2016-07-16",0
"2016-07-17",0
"2016-07-18",0
"2016-07-19",0
"2016-07-20",0
"2016-07-21",0
"2016-07-22",0
"2016-07-23",0
"2016-07-24",0
"2016-07-25",0
"2016-07-26",0
"2016-07-27",0
"2016-07-28",0
"2016-07-29",0
"2016-07-30",0
"2016-07-31",0
"2016-08-01",0
"2016-08-02",0
"2016-08-03",0
"2016-08-04",0
"2016-08-05",0
"2016-08-06",0
"2016-08-07",0
"2016-08-08",0
"2016-08-09",0
"2016-08-10",0
"2016-08-11",0
"2016-08-12",0
"2016-08-13",0
"2016-08-14",0
"2016-08-15",0
"2016-08-16",0
"2016-08-17",0
"2016-08-18",0
"2016-08-19",0
"2016-08-20",0
"2016-08-21",0
"2016-08-22",0
"2016-08-23",0
"2016-08-24",0
"2016-08-25",0
"2016-08-26",0
"2016-08-27",0
"2016-08-28",0
"2016-08-29",0
"2016-08-30",0
"2016-08-31",0
"2016-09-01",0
"2016-09-02",0
"2016-09-03",0
"2016-09-04",0
"2016-09-05",0
"2016-09-06",0
"2016-09-07",0
"2016-09-08",0
"2016-09-09",0
"2016-09-10",0
"2016-09-11",0
"2016-09-12",0
"2016-09-13",0
"2016-09-14",0
"2016-09-15",0
"2016-09-16",0
"2016-09-17",0
"2016-09-18",0
"2016-09-19",0
"2016-09-20",0
"2016-09-21",0
"2016-09-22",0
"2016-09-23",0
"2016-09-24",0
"2016-09-25",0
"2016-09-26",0
"2016-09-27",0
"2016-09-28",0
"2016-09-29",0
"2016-09-30",0
"2016-10-01",0
"2016-10-02",0
"2016-10-03",0
"2016-10-04",0
"2016-10-05",0
"2016-10-06",0
