"DateTime","(mm) SWE (SNODAS) at Navajo Mountain, 2011-11-02 to 2013-11-01"
"2011-11-02",0
"2011-11-03",0
"2011-11-04",0
"2011-11-05",0
"2011-11-06",1.3635
"2011-11-07",1.3718
"2011-11-08",11.3356
"2011-11-09",11.4674
"2011-11-10",9.8517
"2011-11-11",8.5078
"2011-11-12",6.9476
"2011-11-13",3.2174
"2011-11-14",2.6272
"2011-11-15",2.3279
"2011-11-16",2.1034
"2011-11-17",1.9122
"2011-11-18",1.6544
"2011-11-19",1.2388
"2011-11-20",1.0475
"2011-11-21",0.9145
"2011-11-22",1.1722
"2011-11-23",1.0891
"2011-11-24",0.69
"2011-11-25",0.4656
"2011-11-26",0.3242
"2011-11-27",0.1413
"2011-11-28",0.0333
"2011-11-29",0
"2011-11-30",0
"2011-12-01",0
"2011-12-02",0.266
"2011-12-03",0.266
"2011-12-04",0.4585
"2011-12-05",0.3272
"2011-12-06",0.3159
"2011-12-07",0.0831
"2011-12-08",3.8715
"2011-12-09",3.6092
"2011-12-10",3.3229
"2011-12-11",3.0854
"2011-12-12",2.7399
"2011-12-13",10.4183
"2011-12-14",12.4277
"2011-12-15",12.7432
"2011-12-16",12.068
"2011-12-17",10.7401
"2011-12-18",9.4092
"2011-12-19",9.1954
"2011-12-20",8.2645
"2011-12-21",3.1245
"2011-12-22",3.7712
"2011-12-23",3.6541
"2011-12-24",2.5192
"2011-12-25",1.8212
"2011-12-26",1.4947
"2011-12-27",1.2274
"2011-12-28",0.9078
"2011-12-29",0.6517
"2011-12-30",0.1418
"2011-12-31",0.0083
"2012-01-01",0
"2012-01-02",0
"2012-01-03",0
"2012-01-04",6.8933
"2012-01-05",6.2509
"2012-01-06",5.9266
"2012-01-07",5.4559
"2012-01-08",5.0132
"2012-01-09",4.107
"2012-01-10",3.4668
"2012-01-11",3.2091
"2012-01-12",2.6272
"2012-01-13",2.1366
"2012-01-14",1.829
"2012-01-15",1.6295
"2012-01-16",1.2886
"2012-01-17",1.3551
"2012-01-18",1.272
"2012-01-19",1.0475
"2012-01-20",0.5986
"2012-01-21",0.4573
"2012-01-22",0.557
"2012-01-23",0.4074
"2012-01-24",6.4848
"2012-01-25",6.5765
"2012-01-26",4.6443
"2012-01-27",1.2496
"2012-01-28",0.8397
"2012-01-29",0.6069
"2012-01-30",0.4822
"2012-01-31",0.3409
"2012-02-01",0.2827
"2012-02-02",0.2577
"2012-02-03",2.8963
"2012-02-04",2.3183
"2012-02-05",1.5214
"2012-02-06",1.2252
"2012-02-07",1.0534
