"DateTime"," Palmer Drought Severity Index (PDSI) (gridMET) at Upper Puerco, 1979-01-01 to 2019-06-09"
"1979-01-01",
"1979-01-10",
"1979-01-20",
"1979-02-01",0.3535
"1979-02-10",0.5727
"1979-02-20",0.587
"1979-03-01",0.7122
"1979-03-10",0.7179
"1979-03-20",0.7699
"1979-04-01",0.8558
"1979-04-10",0.9865
"1979-04-20",0.9482
"1979-05-01",0.7869
"1979-05-10",0.7339
"1979-05-20",0.8173
"1979-06-01",1.2031
"1979-06-10",1.6332
"1979-06-20",1.9201
"1979-07-01",1.9502
"1979-07-10",1.7145
"1979-07-20",1.5166
"1979-08-01",1.0723
"1979-08-10",0.6388
"1979-08-20",0.1012
"1979-09-01",-0.3238
"1979-09-10",-1.1766
"1979-09-20",-1.6957
"1979-10-01",-1.9894
"1979-10-10",-2.2284
"1979-10-20",-2.3523
"1979-11-01",-2.3151
"1979-11-10",-1.9355
"1979-11-20",-1.635
"1979-12-01",-1.4314
"1979-12-10",-1.5998
"1979-12-20",-1.7627
"1980-01-01",-1.7018
"1980-01-10",-1.5217
"1980-01-20",-1.0356
"1980-02-01",-0.2167
"1980-02-10",0.6616
"1980-02-20",1.8912
"1980-03-01",2.3715
"1980-03-10",2.8439
"1980-03-20",2.9944
"1980-04-01",3.1569
"1980-04-10",3.258
"1980-04-20",3.3856
"1980-05-01",3.3578
"1980-05-10",3.3696
"1980-05-20",3.4271
"1980-06-01",3.3166
"1980-06-10",3.1103
"1980-06-20",2.9243
"1980-07-01",2.6714
"1980-07-10",2.4606
"1980-07-20",2.2262
"1980-08-01",1.9003
"1980-08-10",1.4532
"1980-08-20",0.7509
"1980-09-01",0.3346
"1980-09-10",0.4499
"1980-09-20",0.5471
"1980-10-01",0.5206
"1980-10-10",-0.0697
"1980-10-20",-0.3073
"1980-11-01",-0.5359
"1980-11-10",-0.7233
"1980-11-20",-1.2049
"1980-12-01",-1.7102
"1980-12-10",-1.8322
"1980-12-20",-1.8568
"1981-01-01",-1.9535
"1981-01-10",-2.1568
"1981-01-20",-2.3669
"1981-02-01",-2.477
"1981-02-10",-2.488
"1981-02-20",-2.5379
"1981-03-01",-2.5647
"1981-03-10",-2.3686
"1981-03-20",-2.0333
"1981-04-01",-1.6249
"1981-04-10",-1.4469
"1981-04-20",-1.2215
"1981-05-01",-1.1868
"1981-05-10",-1.1716
"1981-05-20",-1.2491
"1981-06-01",-1.1839
"1981-06-10",-1.0661
"1981-06-20",-0.9806
"1981-07-01",-0.8204
"1981-07-10",-0.3616
"1981-07-20",1.218
"1981-08-01",1.5504
"1981-08-10",1.6098
"1981-08-20",1.3159
"1981-09-01",1.1485
"1981-09-10",1.1265
"1981-09-20",1.1903
"1981-10-01",1.2059
"1981-10-10",1.294
"1981-10-20",1.3536
"1981-11-01",1.3098
"1981-11-10",1.0847
"1981-11-20",0.7738
"1981-12-01",0.5728
"1981-12-10",0.1035
"1981-12-20",-0.4793
"1982-01-01",-1.0044
"1982-01-10",-1.1096
"1982-01-20",-1.0346
"1982-02-01",-0.886
"1982-02-10",-0.6627
"1982-02-20",-0.2881
"1982-03-01",0.2291
"1982-03-10",0.3842
"1982-03-20",0.7191
"1982-04-01",0.8767
"1982-04-10",0.9212
"1982-04-20",0.7299
"1982-05-01",0.3325
"1982-05-10",0.4067
"1982-05-20",0.5457
"1982-06-01",0.666
"1982-06-10",0.5674
"1982-06-20",0.4387
"1982-07-01",0.2491
"1982-07-10",-0.0829
"1982-07-20",-0.4566
"1982-08-01",-0.5258
"1982-08-10",-0.1586
"1982-08-20",0.2208
"1982-09-01",0.7446
"1982-09-10",1.1581
"1982-09-20",1.4907
"1982-10-01",1.5578
"1982-10-10",1.4591
"1982-10-20",1.2383
"1982-11-01",0.9819
"1982-11-10",0.8975
"1982-11-20",0.9661
"1982-12-01",1.1812
"1982-12-10",1.4185
"1982-12-20",1.4599
"1983-01-01",1.5644
"1983-01-10",1.5239
"1983-01-20",1.6412
"1983-02-01",1.6686
"1983-02-10",1.8759
"1983-02-20",1.9684
"1983-03-01",1.9155
"1983-03-10",1.9083
"1983-03-20",2.0507
"1983-04-01",2.2709
"1983-04-10",2.4621
"1983-04-20",2.5173
"1983-05-01",2.427
"1983-05-10",2.2898
"1983-05-20",2.1621
"1983-06-01",2.066
"1983-06-10",1.9882
"1983-06-20",1.8446
"1983-07-01",1.7452
"1983-07-10",1.7072
"1983-07-20",1.6061
"1983-08-01",1.6839
"1983-08-10",1.7655
"1983-08-20",1.9194
"1983-09-01",1.781
"1983-09-10",1.5072
"1983-09-20",1.1587
"1983-10-01",1.2868
"1983-10-10",1.7199
"1983-10-20",2.2
"1983-11-01",2.2234
"1983-11-10",2.011
"1983-11-20",1.8441
"1983-12-01",1.8807
"1983-12-10",1.9666
"1983-12-20",2.0063
"1984-01-01",2.0816
"1984-01-10",2.0592
"1984-01-20",2.1196
"1984-02-01",1.9042
"1984-02-10",1.663
"1984-02-20",1.3832
"1984-03-01",1.0512
"1984-03-10",0.2792
"1984-03-20",-0.4497
"1984-04-01",-0.3532
"1984-04-10",-0.1619
"1984-04-20",0.2617
"1984-05-01",0.4892
"1984-05-10",0.5788
"1984-05-20",0.5447
"1984-06-01",0.2709
"1984-06-10",0.156
"1984-06-20",0.0721
"1984-07-01",0.078
"1984-07-10",-0.0621
"1984-07-20",0.0836
"1984-08-01",-0.0639
"1984-08-10",-0.099
"1984-08-20",-0.1329
"1984-09-01",0.3083
"1984-09-10",0.4482
"1984-09-20",0.5026
"1984-10-01",0.9217
"1984-10-10",1.3715
"1984-10-20",2.0548
"1984-11-01",2.3473
"1984-11-10",2.3784
"1984-11-20",2.1723
"1984-12-01",1.9403
"1984-12-10",1.7892
"1984-12-20",1.8768
"1985-01-01",2.026
"1985-01-10",2.191
"1985-01-20",2.2083
"1985-02-01",2.2808
"1985-02-10",2.4642
"1985-02-20",2.5313
"1985-03-01",2.5213
"1985-03-10",2.5386
"1985-03-20",2.7604
"1985-04-01",2.8785
"1985-04-10",2.9119
"1985-04-20",2.8053
"1985-05-01",3.148
"1985-05-10",3.536
"1985-05-20",3.8388
"1985-06-01",3.6818
"1985-06-10",3.578
"1985-06-20",3.4442
"1985-07-01",3.2481
"1985-07-10",2.9923
"1985-07-20",2.8369
"1985-08-01",2.8568
"1985-08-10",2.9338
"1985-08-20",2.8449
"1985-09-01",2.4766
"1985-09-10",2.082
"1985-09-20",2.0589
"1985-10-01",2.1527
"1985-10-10",2.3803
"1985-10-20",2.4537
"1985-11-01",2.5083
"1985-11-10",2.3589
"1985-11-20",2.1806
"1985-12-01",2.2098
"1985-12-10",2.3068
"1985-12-20",2.2431
"1986-01-01",1.9748
"1986-01-10",1.6613
"1986-01-20",1.319
"1986-02-01",0.7466
"1986-02-10",0.4305
"1986-02-20",0.3962
"1986-03-01",0.4056
"1986-03-10",0.2739
"1986-03-20",0.1642
"1986-04-01",0.2026
"1986-04-10",0.3634
"1986-04-20",0.4184
"1986-05-01",0.4711
"1986-05-10",0.3261
"1986-05-20",0.2898
"1986-06-01",0.2968
"1986-06-10",0.3965
"1986-06-20",0.4003
"1986-07-01",0.7534
"1986-07-10",0.9826
"1986-07-20",1.4771
"1986-08-01",1.7222
"1986-08-10",1.8127
"1986-08-20",1.527
"1986-09-01",1.4442
"1986-09-10",1.5106
"1986-09-20",1.5567
"1986-10-01",1.6063
"1986-10-10",1.6977
"1986-10-20",1.9324
"1986-11-01",1.9948
"1986-11-10",2.2729
"1986-11-20",2.5157
"1986-12-01",2.838
"1986-12-10",2.9095
