"date","car_total","ch_total","bm_total","dp_total","nm_total","mp_total","mt_range_sum_total"
2003-11-01,0,0,0,0,0,0,0
2003-11-02,0,0,0,0,0,0,0
2003-11-03,0,0,0,0,0,0,0
2003-11-04,0,0,0,0,0,0,0
2003-11-05,0,0,0,0,0,0,0
2003-11-06,0,0,0,0,0,0,0
2003-11-07,0,0,0,0,0,0,0
2003-11-08,0,0,0,0,0,0,0
2003-11-09,0,0,0,0,0,0,0
2003-11-10,0,0,0,0,0,0,0
2003-11-11,0,0,0,0,0,0,0
2003-11-12,0,0,0,0,0,0,0
2003-11-13,0,0,0,0,0,0,0
2003-11-14,0,0,0,0,0,145.4453,145.4453
2003-11-15,0,0,0,0,0,0,0
2003-11-16,0,0,0,0,0,0,0
2003-11-17,0,0,0,0,0,0,0
2003-11-18,0,0,0,0,0,0,0
2003-11-19,0,0,0,0,0,0,0
2003-11-20,0,0,0,0,0,0,0
2003-11-21,0,0,0,0,0,0,0
2003-11-22,0,0,0,0,0,0,0
2003-11-23,0,0,0,0,0,0,0
2003-11-24,0,0,0,0,0,0,0
2003-11-25,0,0,0,0,0,0,0
2003-11-26,0,0,0,0,0,0,0
2003-11-27,0,0,0,0,0,0,0
2003-11-28,0,0,0,0,0,0,0
2003-11-29,0,0,0,0,0,0,0
2003-11-30,0,0,0,0,0,0,0
2003-12-01,0,0,0,0,0,0,0
2003-12-02,0,0,0,0,0,0,0
2003-12-03,0,0,0,0,0,0,0
2003-12-04,0,0,0,0,0,0,0
2003-12-05,0,0,0,0,0,0,0
2003-12-06,0,0,0,0,0,0,0
2003-12-07,0,0,0,0,0,0,0
2003-12-08,0,0,0,0,0,0,0
2003-12-09,0,275.7762,0,741.02,0,1.3013,1018.0975
2003-12-10,0,30.6927,0,17.9172,0,0,48.6099
2003-12-11,0,0,0,0,0,0,0
2003-12-12,0,0,258.4377,22.0094,0,0,280.4471
2003-12-13,0,744.4125,267.7635,1860.845,0,0,2873.021
2003-12-14,0,65.5083,101.1708,924.7266,0,0,1091.4057
2003-12-15,0,0,0,0,0,0,0
2003-12-16,0,0,0,0,0,0,0
2003-12-17,0,0,0,0,0,0,0
2003-12-18,0,0,0,0,0,0,0
2003-12-19,0,0,0,0,0,0,0
2003-12-20,0,0,0,0,0,0,0
2003-12-21,0,0,0,0,0,0,0
2003-12-22,0,0,0,0,0,6.3602,6.3602
2003-12-23,0,0,0,0,0,0,0
2003-12-24,0,0,0,0,0,0,0
2003-12-25,0,0,0,0,0,0,0
2003-12-26,0,0,0,0,0,0,0
2003-12-27,0,6976.863,49.0311,2559.284,0,0,9585.1781
2003-12-28,0,6449.5899,0,1991.1318,0,0,8440.7217
2003-12-29,0,3910.3416,0,1398.4264,0,0,5308.768
2003-12-30,0,1187.3952,0,445.718,0,0,1633.1132
2003-12-31,0,443.4408,0,158.158,0,0,601.5988
2004-01-01,0,147.0501,0,58.2862,0,0,205.3363
2004-01-02,0,103.0725,0,23.5578,0,0,126.6303
2004-01-03,220.1466,997.7418,218.1672,16.9218,0,0,1452.9774
2004-01-04,0,5628.2166,61.8894,2098.5244,0,12.2661,7800.8965
2004-01-05,0,3833.8389,0,1353.8546,0,0,5187.6935
2004-01-06,0,2018.8467,0,650.6598,0,0,2669.5065
2004-01-07,0,1335.8196,0,411.985,0,0,1747.8046
2004-01-08,0.2712,563.0049,0,71.1158,0,0,634.3919
2004-01-09,0,424.2006,0,40.5902,0,0,464.7908
2004-01-10,0,208.8936,0,12.0554,0,0,220.949
2004-01-11,0,14.2011,0,1.659,0,0,15.8601
2004-01-12,0,0,0,0,0,0,0
2004-01-13,0,0,0,0,0,0,0
2004-01-14,0,0,0,0,0,0,0
2004-01-15,0,0,0,0,0,0,0
2004-01-16,0,2370.6675,1596.9726,1430.058,8.1504,161.1225,5566.971
2004-01-17,0,1880.9586,1218.7125,1127.8988,0,155.4168,4382.9867
2004-01-18,0,1370.6352,268.1874,1022.8288,0,209.5709,2871.2223
2004-01-19,0,476.8821,40.5531,508.9812,0,171.1325,1197.5489
2004-01-20,0,235.4634,6.7824,225.7346,0,104.5275,572.5079
2004-01-21,0,2306.5335,138.0501,297.7352,0,78.7864,2821.1052
2004-01-22,0,3813.2244,28.26,425.9206,0,58.8049,4326.2099
2004-01-23,0,2289.5838,19.9233,247.744,0,30.0916,2587.3427
2004-01-24,0,1048.1328,0,193.55,0,20.2356,1261.9184
2004-01-25,0,387.5526,0,133.3836,0,7.7231,528.6593
2004-01-26,51.4941,12671.046,852.3216,4287.962,0,99.3993,17962.223
2004-01-27,0,8773.0731,107.6706,3219.2342,0,9.9022,12109.8801
2004-01-28,0,6323.6124,8.6193,2499.3388,0,3.85,8835.4205
2004-01-29,0,4787.6031,0,1798.909,0,0.1155,6586.6276
2004-01-30,0,2383.9524,0,806.827,0,0,3190.7794
2004-01-31,0,1257.9426,0,477.4602,0,0,1735.4028
2004-02-01,0,8285.1966,162.6363,1539.8838,0,0,9987.7167
2004-02-02,0,5577.8256,6.9237,633.9592,0,0,6218.7085
2004-02-03,0,3804.0624,0,476.5754,0,0,4280.6378
2004-02-04,729.7314,8033.2416,2637.9297,2284.0006,160.992,77,13922.8953
2004-02-05,531.9249,6744.6063,1524.2031,2342.508,75.3696,0,11218.6119
2004-02-06,139.6341,4787.145,541.179,1813.287,25.536,0,7306.7811
2004-02-07,0,3212.1972,199.7982,869.0948,12.768,0,4293.8582
2004-02-08,0,2560.779,9.891,578.991,0,0,3149.661
2004-02-09,0,2122.3773,0,469.3864,0,0,2591.7637
2004-02-10,0,1913.9418,0,412.7592,0,0,2326.701
2004-02-11,0,1698.6348,0,336.224,0,0,2034.8588
2004-02-12,0,1452.6351,0,270.417,0,0,1723.0521
2004-02-13,0,1175.9427,0,184.4808,0,0,1360.4235
2004-02-14,0,908.8704,0,103.411,0,0,1012.2814
2004-02-15,0,695.3958,0,62.5996,0,0,757.9954
2004-02-16,0,532.3122,0,40.2584,0,0,572.5706
2004-02-17,0,437.4855,0,20.1292,0,0,457.6147
2004-02-18,0,21.5307,0,0,0,0,21.5307
2004-02-19,0,0,0,0,0,0,0
2004-02-20,0,0,0,0,0,0,0
2004-02-21,0,0,0,0,0,0,0
2004-02-22,31.9677,598.7367,0,129.1808,0,236.4593,996.3445
2004-02-23,20.7807,368.3124,0,32.9588,6.384,156.4717,584.9076
2004-02-24,0,8287.029,88.3125,1529.4874,31.9296,106.5526,10043.3111
2004-02-26,0,5052.843,31.2273,679.9688,63.0528,82.3361,5909.428
2004-02-27,0,38.0223,0,0,13.5648,0,51.5871
2004-02-28,0,14.2011,321.8814,557.8664,59.856,0,953.8049
2004-02-29,0,4089.9168,559.548,2395.2642,63.0528,1.2474,7109.0292
2004-03-01,0,2070.1539,74.889,2082.2662,56.6688,0,4283.9779
2004-03-02,0,724.7142,0,1289.4854,47.088,0,2061.2876
2004-03-03,6.4071,430.1559,0,673.8858,43.0944,53.8461,1207.3893
2004-03-04,24.7809,21.5307,0,2.4332,39.1104,45.2221,133.0773
2004-03-05,10.4073,9695.2284,0,2562.049,42.2976,371.8946,12681.8769
2004-03-06,0,5433.5241,0,1734.6504,31.9296,301.7861,7501.8902
2004-03-07,0,1009.1943,0,12.9402,20.7552,35.0966,1077.9863
2004-03-08,0,14.2011,0,0,13.5648,0,27.7659
2004-03-09,0,0,0,0,3.1968,0,3.1968
2004-03-10,0,0,0,0,0.7968,0,0.7968
2004-03-11,0,0,0,0,0,0,0
2004-03-12,0,0,0,0,0,0,0
2004-03-13,0,0,0,0,0,0,0
2004-03-14,0,0,0,0,0,0,0
2004-03-15,0,0,0,0,0,0,0
2004-03-16,0,0,0,0,0,0,0
2004-03-17,0,0,0,0,0,0,0
2004-03-18,0,0,0,0,0,0,0
2004-03-19,0,0,0,0,0,0,0
2004-03-20,0,0,0,0,0,0,0
2004-03-21,0,0,0,0,0,0,0
2004-03-22,0,0,0,0,0,0,0
2004-03-23,0,0,0,0,0,0,0
2004-03-24,0,0,0,0,0,0,0
2004-03-25,0,0,0,0,0,0,0
2004-03-26,0,0,0,0,0,0,0
2004-03-27,0,0,0,0,0,0,0
2004-03-28,0,0,0,0,0,0,0
2004-03-29,0,0,0,0,0,0,0
2004-03-30,0,0,0,0,0,0,0
2004-03-31,0,0,0,0,0,0,0
2004-04-01,0,0,0,0,0,0,0
2004-04-02,0,0,0,0,0,0,0
2004-04-03,0,0,0,0,0,0,0
2004-04-04,0,5174.6976,0,141.1256,0,0,5315.8232
2004-04-05,0,16953.3648,0,838.348,0,164.4335,17956.1463
2004-04-06,0,14670.1944,205.4502,342.7494,1.5936,70.9401,15290.9277
2004-04-07,0,4597.9497,0,0,2.3904,0,4600.3401
2004-04-08,0,552.4686,0,0,3.1968,0,555.6654
2004-04-09,0,271.1952,0,0,3.1968,0,274.392
2004-04-10,0,11.9106,0,0,2.3904,0,14.301
2004-04-11,0,2.2905,0,0,1.5936,0,3.8841
2004-04-12,0,509.8653,0,0,0.7968,1.2243,511.8864
2004-04-13,0,0,0,0,0,0,0
2004-04-14,0,0,0,0,0,0,0
2004-04-15,0,0,0,0,0,0,0
2004-04-16,0,0,0,0,0,0,0
2004-04-17,0,0,0,0,0,0,0
2004-04-18,0,0,0,0,0,0,0
2004-04-19,0,0,0,0,0,0,0
2004-04-20,0,0,0,0,0,0,0
2004-04-21,0,0,0,0,0,0,0
2004-04-22,0,0,0,0,0,0,0
2004-04-23,0,0,0,0,0,0,0
2004-04-24,0,92.9943,0,0,3.1968,0,96.1911
2004-04-25,0,45.3519,0,0,0.7968,0,46.1487
2004-04-26,0,0,0,0,0,0,0
2004-04-27,0,0,0,0,0,0,0
2004-04-28,0,0,0,0,0,0,0
2004-04-29,0,0,0,0,0,0,0
2004-04-30,0,0,0,0,0,0,0
2004-11-01,0,0,0,0,13.5648,0,13.5648
2004-11-02,0,0,0,0,5.5872,0,5.5872
2004-11-03,0,0,0,0,1.5936,0,1.5936
2004-11-04,0,0,0,0,0.7968,0,0.7968
2004-11-05,0,0,0,0,0,0,0
2004-11-06,0,0,0,0,0,0,0
2004-11-07,0,0,0,0,0,0,0
2004-11-08,0,0,0,0,0,0,0
2004-11-09,0,0,0,0,0,0,0
2004-11-10,0,0,0,0,3.9936,0,3.9936
2004-11-11,0,0,0,0,1.5936,0,1.5936
2004-11-12,0,0,0,0,0,0,0
2004-11-13,0,0,0,0,1.5936,0,1.5936
2004-11-14,0,18259.4079,332.055,4381.6402,1.5936,564.1328,23538.8295
2004-11-15,0,15438.8862,0,3591.5138,0,511.2877,19541.6877
2004-11-16,0,15613.8804,0,2519.7998,0,485.6236,18619.3038
2004-11-17,0,11950.9128,0,750.974,0,435.7661,13137.6529
2004-11-18,0,6270.9309,0,0,0,19.635,6290.5659
2004-11-19,0,5681.8143,0,0,0,0,5681.8143
2004-11-20,0,4977.7146,0,0,0,0,4977.7146
2004-11-21,1.5933,4761.9495,0,0,0,0,4763.5428
2004-11-22,42.375,13367.8161,563.0805,68.9038,0,0,14042.1754
2004-11-23,8.0004,11224.3662,87.0408,335.4498,0,17.6253,11672.4825
2004-11-24,0,8243.0514,0,0,0,366.5893,8609.6407
2004-11-25,0,6070.7412,0,0,0,271.7022,6342.4434
2004-11-26,0,4510.4526,0,0,0,73.7275,4584.1801
2004-11-27,0,5736.7863,0,423.1556,0,0,6159.9419
2004-11-28,0,1713.7521,0,0,0,0,1713.7521
2004-11-29,594.4704,9790.0551,3394.4499,1137.4104,165.648,98.6601,15180.6939
2004-11-30,661.5585,9189.486,2793.7836,1149.7976,65.8368,151.151,14011.6135
2004-12-01,459.7179,7339.6782,1687.4046,839.1222,22.3488,90.9832,10439.2549
2004-12-02,296.4555,5277.7701,742.9554,539.175,7.1808,9.1938,6872.7306
2004-12-03,218.4177,4395.9276,538.2117,411.1002,0,6.7529,5570.4101
2004-12-04,140.8545,3372.9903,436.3344,346.2886,0,2.2176,4298.6854
2004-12-05,479.1765,11560.6116,3591.1395,2233.7882,287.1264,153.3147,18305.1569
2004-12-06,1868.568,15630.8301,5243.643,2842.8624,472.4832,135.0888,26193.4755
2004-12-07,1748.6298,23839.0659,5260.4577,7022.547,408.0768,301.1547,38579.9319
2004-12-08,1669.1682,23744.2392,5207.7528,7193.5346,332.4864,248.8024,38395.9836
2004-12-09,2467.7166,32427.0666,4477.797,8597.2698,148.6464,284.1377,48402.6341
2004-12-10,1678.4907,28234.9935,2743.9047,7336.651,36.7104,49.1568,40079.9071
2004-12-11,1361.1528,24064.9092,955.7532,5620.0284,3.9936,17.4559,32023.2931
2004-12-12,877.9422,12221.6499,366.2496,3060.5232,0,0,16526.3649
2004-12-13,446.5986,9916.9488,19.6407,1642.6312,0,0,12025.8193
2004-12-14,186.9585,8323.677,1.413,1406.5002,0,0,9918.5487
2004-12-15,179.5005,8200.9062,0.1413,1384.9332,0,0,9765.4812
2004-12-16,176.5512,7938.4149,0.1413,1319.1262,0,0,9434.2336
2004-12-17,183.3312,7964.0685,0.1413,1299.8818,0,0.2541,9447.6769
2004-12-18,180.2124,7630.5717,0,1224.7844,0,0,9035.5685
2004-12-19,187.2975,7549.488,0,1188.5076,0,0,8925.2931
2004-12-20,188.5518,7316.7732,0,1139.5118,0,0,8644.8368
2004-12-21,152.4483,6635.1204,0,1015.9716,0,0,7803.5403
2004-12-22,134.0745,6417.981,0,1919.6842,0,71.8872,8543.6269
2004-12-23,98.8863,5848.5627,0,1043.9534,0,3.4958,6994.8982
2004-12-24,78.7158,5346.9432,0,843.9886,0,0,6269.6476
2004-12-25,67.461,4882.4298,0,732.725,0,0,5682.6158
2004-12-26,67.461,4647.4245,0,663.047,0,0,5377.9325
2004-12-27,57.8673,4316.6763,0,605.3138,0,0,4979.8574
2004-12-28,43.4598,3759.6267,0,511.7462,0,0,4314.8327
2004-12-29,3.729,1859.886,0,293.09,0,0,2156.705
2004-12-30,0,0,0,0,0,0,0
2004-12-31,0,0,0,0,0,0,0
2005-01-01,0,0,0,0,0,0,0
2005-01-02,0,0,0,0,0,0,0
2005-01-03,0,0,0,0,0,9.5711,9.5711
2005-01-04,203.9085,10851.9309,0,2147.7414,54.2688,0,13257.8496
2005-01-05,82.3431,5231.502,0,1652.6958,71.0304,0,7037.5713
2005-01-06,91.9707,6817.9023,0,2968.7252,108.9024,0,9987.5006
2005-01-07,81.5634,6915.0195,0,3126.5514,80.6112,0,10203.7455
2005-01-08,1233.4176,11277.5058,1150.0407,3511.1076,267.8208,0,17439.8925
2005-01-09,244.6563,5193.9378,0,1600.1608,72.6336,0,7111.3885
2005-01-10,80.7498,372.4353,0,74.655,46.2912,0,574.1313
2005-01-11,39.9681,4.581,0,0,34.32,0,78.8691
2005-01-12,64.7829,11076.3999,1191.4416,3075.4542,38.3136,0,15446.3922
2005-01-13,323.8128,13043.9394,240.7752,3178.5334,23.9424,0,16811.0032
2005-01-14,52.7484,8191.2861,28.6839,2212,15.9648,0,10500.6832
2005-01-15,18.4077,5591.1105,0,1503.4964,8.784,0,7121.7986
2005-01-16,7.1868,4025.7828,0,993.6304,4.7904,0,5031.3904
2005-01-17,2.4069,3511.7946,0,859.4726,2.3904,0,4376.0645
2005-01-18,1.5933,2967.1137,0,453.9024,1.5936,0,3424.203
2005-01-19,0,642.7143,0,71.4476,0,0,714.1619
2005-01-20,0,0,0,0.7742,0,0,0.7742
2005-01-21,0,0,0,0,0,0,0
2005-01-22,0,0,0,0,0,0,0
2005-01-23,0,0,0,0,0,0,0
2005-01-24,0,0,0,0,0,0,0
2005-01-25,0,0,0,0,0,0,0
2005-01-26,0,0,0,0,0,0,0
2005-01-27,0,812.2113,0,84.4984,4.7904,0,901.5001
2005-01-28,0,144.7596,0,0,11.1744,0,155.934
2005-01-29,0,0,0,0,7.9776,0,7.9776
2005-01-30,0,0,0,0,7.1808,77,84.1808
2005-01-31,0,4678.5753,0,1128.5624,4.7904,57.8347,5869.7628
2005-02-01,0,7054.74,2.4021,1176.8946,4.7904,8.8165,8247.6436
2005-02-02,0,7338.762,5.652,1496.3074,3.1968,3.9347,8847.8529
2005-02-03,0,6181.1433,0,771.2138,0.7968,0,6953.1539
2005-02-04,0,1990.4445,0,36.9404,0,0,2027.3849
2005-02-05,0,142.4691,0,0.4424,0,0,142.9115
2005-02-06,0,33.4413,0,0,0,0,33.4413
2005-02-07,0,7.3296,0,0,0,0,7.3296
2005-02-08,43.9683,11925.2592,237.5253,4642.5456,3.1008,0,16852.3992
2005-02-09,636.6759,14016.0276,99.0513,5631.6414,53.8272,0,20437.2234
2005-02-10,271.7085,10193.1831,1.9782,4522.434,0.4992,0,14989.803
