"date","waterYear","depth_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,0
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,5.5951
2003-12-10,2004,0.5543
2003-12-11,2004,0
2003-12-12,2004,3.1752
2003-12-13,2004,14.4795
2003-12-14,2004,6.8991
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0.052
2003-12-27,2004,17.6013
2003-12-28,2004,13.7522
2003-12-29,2004,8.9999
2003-12-30,2004,3.0464
2003-12-31,2004,1.0177
2004-01-01,2004,0.3589
2004-01-02,2004,0.1809
2004-01-03,2004,0.0861
2004-01-04,2004,17.4971
2004-01-05,2004,10.5798
2004-01-06,2004,4.6483
2004-01-07,2004,2.6894
2004-01-08,2004,0.3265
2004-01-09,2004,0.1654
2004-01-10,2004,0.0313
2004-01-11,2004,0.0065
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,12.9071
2004-01-17,2004,9.4641
2004-01-18,2004,6.8729
2004-01-19,2004,3.5458
2004-01-20,2004,1.3371
2004-01-21,2004,3.2445
2004-01-22,2004,3.0903
2004-01-23,2004,1.8804
2004-01-24,2004,1.4169
2004-01-25,2004,0.7507
2004-01-26,2004,36.2919
2004-01-27,2004,24.4807
2004-01-28,2004,17.829
2004-01-29,2004,12.1192
2004-01-30,2004,5.0388
2004-01-31,2004,2.0087
2004-02-01,2004,10.7254
2004-02-02,2004,4.3657
2004-02-03,2004,2.9267
2004-02-04,2004,18.8802
2004-02-05,2004,18.0364
2004-02-06,2004,12.5182
2004-02-07,2004,5.6819
2004-02-08,2004,3.5311
2004-02-09,2004,2.7614
2004-02-10,2004,2.3751
2004-02-11,2004,1.9027
2004-02-12,2004,1.4717
2004-02-13,2004,0.9977
2004-02-14,2004,0.5661
2004-02-15,2004,0.3458
2004-02-16,2004,0.1979
2004-02-17,2004,0.1087
2004-02-18,2004,0
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,0.9213
2004-02-23,2004,0.2326
2004-02-24,2004,12.5824
2004-02-26,2004,4.582
2004-02-27,2004,0
2004-02-28,2004,4.4304
2004-02-29,2004,21.6703
2004-03-01,2004,15.541
2004-03-02,2004,8.9153
2004-03-03,2004,4.5939
2004-03-04,2004,0.0249
2004-03-05,2004,15.8374
2004-03-06,2004,10.6174
2004-03-07,2004,0.0644
2004-03-08,2004,0
2004-03-09,2004,0
2004-03-10,2004,0
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,0.1987
2004-04-05,2004,4.5927
2004-04-06,2004,1.7299
2004-04-07,2004,0
2004-04-08,2004,0
2004-04-09,2004,0
2004-04-10,2004,0
2004-04-11,2004,0.0333
2004-04-12,2004,0.0437
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0
2004-04-25,2004,0
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,0
2004-11-02,2005,0
2004-11-03,2005,0
2004-11-04,2005,0
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0
2004-11-11,2005,0
2004-11-12,2005,0
2004-11-13,2005,0
2004-11-14,2005,33.376
2004-11-15,2005,25.1128
2004-11-16,2005,14.3909
2004-11-17,2005,2.6957
2004-11-18,2005,0
2004-11-19,2005,0
2004-11-20,2005,0
2004-11-21,2005,0
2004-11-22,2005,0.1053
2004-11-23,2005,1.6873
2004-11-24,2005,0.0112
2004-11-25,2005,0
2004-11-26,2005,0
2004-11-27,2005,3.2881
2004-11-28,2005,0
2004-11-29,2005,10.0787
2004-11-30,2005,9.1141
2004-12-01,2005,6.2429
2004-12-02,2005,3.7948
2004-12-03,2005,2.7876
2004-12-04,2005,2.2059
2004-12-05,2005,18.9625
2004-12-06,2005,21.8941
2004-12-07,2005,54.1267
2004-12-08,2005,51.1864
2004-12-09,2005,59.0192
2004-12-10,2005,45.2777
2004-12-11,2005,32.2673
2004-12-12,2005,14.2331
2004-12-13,2005,7.8636
2004-12-14,2005,6.4906
2004-12-15,2005,6.3371
2004-12-16,2005,6.0104
2004-12-17,2005,5.8924
2004-12-18,2005,5.5126
2004-12-19,2005,5.3063
2004-12-20,2005,5.0297
2004-12-21,2005,4.4406
2004-12-22,2005,13.4766
2004-12-23,2005,5.1618
2004-12-24,2005,3.8746
2004-12-25,2005,3.3009
2004-12-26,2005,2.967
2004-12-27,2005,2.6894
2004-12-28,2005,2.2617
2004-12-29,2005,1.1295
2004-12-30,2005,0.8316
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0
2005-01-04,2005,7.3107
2005-01-05,2005,5.4291
2005-01-06,2005,18.6281
2005-01-07,2005,20.5321
2005-01-08,2005,23.3936
2005-01-09,2005,9.1855
2005-01-10,2005,0.324
2005-01-11,2005,0
2005-01-12,2005,21.6506
2005-01-13,2005,23.4579
2005-01-14,2005,15.2493
2005-01-15,2005,9.982
2005-01-16,2005,6.384
2005-01-17,2005,5.1338
2005-01-18,2005,2.488
2005-01-19,2005,0.2659
