"date","waterYear","swe_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,0
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,0.67
2003-12-10,2004,0.0162
2003-12-11,2004,0
2003-12-12,2004,0.0199
2003-12-13,2004,1.6825
2003-12-14,2004,0.8361
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0
2003-12-27,2004,2.314
2003-12-28,2004,1.8003
2003-12-29,2004,1.2644
2003-12-30,2004,0.403
2003-12-31,2004,0.143
2004-01-01,2004,0.0527
2004-01-02,2004,0.0213
2004-01-03,2004,0.0153
2004-01-04,2004,1.8974
2004-01-05,2004,1.2241
2004-01-06,2004,0.5883
2004-01-07,2004,0.3725
2004-01-08,2004,0.0643
2004-01-09,2004,0.0367
2004-01-10,2004,0.0109
2004-01-11,2004,0.0015
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,1.293
2004-01-17,2004,1.0198
2004-01-18,2004,0.9248
2004-01-19,2004,0.4602
2004-01-20,2004,0.2041
2004-01-21,2004,0.2692
2004-01-22,2004,0.3851
2004-01-23,2004,0.224
2004-01-24,2004,0.175
2004-01-25,2004,0.1206
2004-01-26,2004,3.877
2004-01-27,2004,2.9107
2004-01-28,2004,2.2598
2004-01-29,2004,1.6265
2004-01-30,2004,0.7295
2004-01-31,2004,0.4317
2004-02-01,2004,1.3923
2004-02-02,2004,0.5732
2004-02-03,2004,0.4309
2004-02-04,2004,2.0651
2004-02-05,2004,2.118
2004-02-06,2004,1.6395
2004-02-07,2004,0.7858
2004-02-08,2004,0.5235
2004-02-09,2004,0.4244
2004-02-10,2004,0.3732
2004-02-11,2004,0.304
2004-02-12,2004,0.2445
2004-02-13,2004,0.1668
2004-02-14,2004,0.0935
2004-02-15,2004,0.0566
2004-02-16,2004,0.0364
2004-02-17,2004,0.0182
2004-02-18,2004,0
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,0.1168
2004-02-23,2004,0.0298
2004-02-24,2004,1.3829
2004-02-26,2004,0.6148
2004-02-27,2004,0
2004-02-28,2004,0.5044
2004-02-29,2004,2.1657
2004-03-01,2004,1.8827
2004-03-02,2004,1.1659
2004-03-03,2004,0.6093
2004-03-04,2004,0.0022
2004-03-05,2004,2.3165
2004-03-06,2004,1.5684
2004-03-07,2004,0.0117
2004-03-08,2004,0
2004-03-09,2004,0
2004-03-10,2004,0
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,0.1276
2004-04-05,2004,0.758
2004-04-06,2004,0.3099
2004-04-07,2004,0
2004-04-08,2004,0
2004-04-09,2004,0
2004-04-10,2004,0
2004-04-11,2004,0
2004-04-12,2004,0
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0
2004-04-25,2004,0
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,0
2004-11-02,2005,0
2004-11-03,2005,0
2004-11-04,2005,0
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0
2004-11-11,2005,0
2004-11-12,2005,0
2004-11-13,2005,0
2004-11-14,2005,3.9617
2004-11-15,2005,3.2473
2004-11-16,2005,2.2783
2004-11-17,2005,0.679
2004-11-18,2005,0
2004-11-19,2005,0
2004-11-20,2005,0
2004-11-21,2005,0
2004-11-22,2005,0.0623
2004-11-23,2005,0.3033
2004-11-24,2005,0
2004-11-25,2005,0
2004-11-26,2005,0
2004-11-27,2005,0.3826
2004-11-28,2005,0
2004-11-29,2005,1.0284
2004-11-30,2005,1.0396
2004-12-01,2005,0.7587
2004-12-02,2005,0.4875
2004-12-03,2005,0.3717
2004-12-04,2005,0.3131
2004-12-05,2005,2.0197
2004-12-06,2005,2.5704
2004-12-07,2005,6.3495
2004-12-08,2005,6.5041
2004-12-09,2005,7.7733
2004-12-10,2005,6.6335
2004-12-11,2005,5.0814
2004-12-12,2005,2.7672
2004-12-13,2005,1.4852
2004-12-14,2005,1.2717
2004-12-15,2005,1.2522
2004-12-16,2005,1.1927
2004-12-17,2005,1.1753
2004-12-18,2005,1.1074
2004-12-19,2005,1.0746
2004-12-20,2005,1.0303
2004-12-21,2005,0.9186
2004-12-22,2005,1.7357
2004-12-23,2005,0.9439
2004-12-24,2005,0.7631
2004-12-25,2005,0.6625
2004-12-26,2005,0.5995
2004-12-27,2005,0.5473
2004-12-28,2005,0.4627
2004-12-29,2005,0.265
2004-12-30,2005,0
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0
2005-01-04,2005,1.9419
2005-01-05,2005,1.4943
2005-01-06,2005,2.6842
2005-01-07,2005,2.8269
2005-01-08,2005,3.1746
2005-01-09,2005,1.4468
2005-01-10,2005,0.0675
2005-01-11,2005,0
2005-01-12,2005,2.7807
2005-01-13,2005,2.8739
2005-01-14,2005,2
2005-01-15,2005,1.3594
2005-01-16,2005,0.8984
2005-01-17,2005,0.7771
2005-01-18,2005,0.4104
2005-01-19,2005,0.0646
2005-01-20,2005,7e-04
