"date","waterYear","depth_mm"
2003-11-01,2004,0
2003-11-02,2004,0
2003-11-03,2004,0
2003-11-04,2004,0
2003-11-05,2004,0
2003-11-06,2004,0
2003-11-07,2004,0
2003-11-08,2004,0
2003-11-09,2004,0
2003-11-10,2004,0
2003-11-11,2004,0
2003-11-12,2004,0
2003-11-13,2004,0
2003-11-14,2004,0
2003-11-15,2004,0
2003-11-16,2004,0
2003-11-17,2004,0
2003-11-18,2004,0
2003-11-19,2004,0
2003-11-20,2004,0
2003-11-21,2004,0
2003-11-22,2004,0
2003-11-23,2004,0
2003-11-24,2004,0
2003-11-25,2004,0
2003-11-26,2004,0
2003-11-27,2004,0
2003-11-28,2004,0
2003-11-29,2004,0
2003-11-30,2004,0
2003-12-01,2004,0
2003-12-02,2004,0
2003-12-03,2004,0
2003-12-04,2004,0
2003-12-05,2004,0
2003-12-06,2004,0
2003-12-07,2004,0
2003-12-08,2004,0
2003-12-09,2004,0
2003-12-10,2004,0
2003-12-11,2004,0
2003-12-12,2004,0
2003-12-13,2004,0
2003-12-14,2004,0
2003-12-15,2004,0
2003-12-16,2004,0
2003-12-17,2004,0
2003-12-18,2004,0
2003-12-19,2004,0
2003-12-20,2004,0
2003-12-21,2004,0
2003-12-22,2004,0
2003-12-23,2004,0
2003-12-24,2004,0
2003-12-25,2004,0
2003-12-26,2004,0
2003-12-27,2004,0
2003-12-28,2004,0
2003-12-29,2004,0
2003-12-30,2004,0
2003-12-31,2004,0
2004-01-01,2004,0
2004-01-02,2004,0
2004-01-03,2004,0
2004-01-04,2004,0
2004-01-05,2004,0
2004-01-06,2004,0
2004-01-07,2004,0
2004-01-08,2004,0
2004-01-09,2004,0
2004-01-10,2004,0
2004-01-11,2004,0
2004-01-12,2004,0
2004-01-13,2004,0
2004-01-14,2004,0
2004-01-15,2004,0
2004-01-16,2004,2.6455
2004-01-17,2004,0.0186
2004-01-18,2004,0
2004-01-19,2004,0
2004-01-20,2004,0
2004-01-21,2004,0
2004-01-22,2004,0
2004-01-23,2004,0
2004-01-24,2004,0
2004-01-25,2004,0
2004-01-26,2004,0
2004-01-27,2004,0
2004-01-28,2004,0
2004-01-29,2004,0
2004-01-30,2004,0
2004-01-31,2004,0
2004-02-01,2004,0
2004-02-02,2004,0
2004-02-03,2004,0
2004-02-04,2004,16.1612
2004-02-05,2004,6.8669
2004-02-06,2004,2.2766
2004-02-07,2004,0.9977
2004-02-08,2004,0
2004-02-09,2004,0
2004-02-10,2004,0
2004-02-11,2004,0
2004-02-12,2004,0
2004-02-13,2004,0
2004-02-14,2004,0
2004-02-15,2004,0
2004-02-16,2004,0
2004-02-17,2004,0
2004-02-18,2004,0
2004-02-19,2004,0
2004-02-20,2004,0
2004-02-21,2004,0
2004-02-22,2004,0
2004-02-23,2004,0.7067
2004-02-24,2004,3.2839
2004-02-26,2004,4.6723
2004-02-27,2004,0.9644
2004-02-28,2004,3.3575
2004-02-29,2004,3.9974
2004-03-01,2004,2.7352
2004-03-02,2004,2.3445
2004-03-03,2004,2.1533
2004-03-04,2004,2.0369
2004-03-05,2004,2.3694
2004-03-06,2004,1.8706
2004-03-07,2004,1.2221
2004-03-08,2004,0.7898
2004-03-09,2004,0.1746
2004-03-10,2004,0.0166
2004-03-11,2004,0
2004-03-12,2004,0
2004-03-13,2004,0
2004-03-14,2004,0
2004-03-15,2004,0
2004-03-16,2004,0
2004-03-17,2004,0
2004-03-18,2004,0
2004-03-19,2004,0
2004-03-20,2004,0
2004-03-21,2004,0
2004-03-22,2004,0
2004-03-23,2004,0
2004-03-24,2004,0
2004-03-25,2004,0
2004-03-26,2004,0
2004-03-27,2004,0
2004-03-28,2004,0
2004-03-29,2004,0
2004-03-30,2004,0
2004-03-31,2004,0
2004-04-01,2004,0
2004-04-02,2004,0
2004-04-03,2004,0
2004-04-04,2004,0
2004-04-05,2004,0
2004-04-06,2004,0.1164
2004-04-07,2004,0.0665
2004-04-08,2004,0.0665
2004-04-09,2004,0.0831
2004-04-10,2004,0.0665
2004-04-11,2004,0.0416
2004-04-12,2004,0.0166
2004-04-13,2004,0
2004-04-14,2004,0
2004-04-15,2004,0
2004-04-16,2004,0
2004-04-17,2004,0
2004-04-18,2004,0
2004-04-19,2004,0
2004-04-20,2004,0
2004-04-21,2004,0
2004-04-22,2004,0
2004-04-23,2004,0
2004-04-24,2004,0.2827
2004-04-25,2004,0.0915
2004-04-26,2004,0
2004-04-27,2004,0
2004-04-28,2004,0
2004-04-29,2004,0
2004-04-30,2004,0
2004-11-01,2005,1.0309
2004-11-02,2005,0.424
2004-11-03,2005,0.0998
2004-11-04,2005,0.0582
2004-11-05,2005,0
2004-11-06,2005,0
2004-11-07,2005,0
2004-11-08,2005,0
2004-11-09,2005,0
2004-11-10,2005,0.3409
2004-11-11,2005,0.1164
2004-11-12,2005,0
2004-11-13,2005,0.1413
2004-11-14,2005,0.1247
2004-11-15,2005,0
2004-11-16,2005,0
2004-11-17,2005,0
2004-11-18,2005,0
2004-11-19,2005,0
2004-11-20,2005,0
2004-11-21,2005,0
2004-11-22,2005,0.0748
2004-11-23,2005,0
2004-11-24,2005,0
2004-11-25,2005,0
2004-11-26,2005,0
2004-11-27,2005,0
2004-11-28,2005,0
2004-11-29,2005,16.0723
2004-11-30,2005,5.7097
2004-12-01,2005,2.1478
2004-12-02,2005,0.69
2004-12-03,2005,0.1081
2004-12-04,2005,0
2004-12-05,2005,25.5067
2004-12-06,2005,40.1986
2004-12-07,2005,31.4531
2004-12-08,2005,25.1525
2004-12-09,2005,9.9144
2004-12-10,2005,2.3777
2004-12-11,2005,0.1663
2004-12-12,2005,0
2004-12-13,2005,0
2004-12-14,2005,0
2004-12-15,2005,0
2004-12-16,2005,0
2004-12-17,2005,0
2004-12-18,2005,0
2004-12-19,2005,0
2004-12-20,2005,0
2004-12-21,2005,0
2004-12-22,2005,0
2004-12-23,2005,0
2004-12-24,2005,0
2004-12-25,2005,0
2004-12-26,2005,0
2004-12-27,2005,0
2004-12-28,2005,0
2004-12-29,2005,0
2004-12-30,2005,0
2004-12-31,2005,0
2005-01-01,2005,0
2005-01-02,2005,0
2005-01-03,2005,0
2005-01-04,2005,2.9348
2005-01-05,2005,5.0963
2005-01-06,2005,8.3483
2005-01-07,2005,5.6118
2005-01-08,2005,24.9295
2005-01-09,2005,5.3707
2005-01-10,2005,2.7435
2005-01-11,2005,1.8207
2005-01-12,2005,2.3944
2005-01-13,2005,1.4965
2005-01-14,2005,0.8896
2005-01-15,2005,0.5404
2005-01-16,2005,0.2577
2005-01-17,2005,0.1663
2005-01-18,2005,0.0831
2005-01-19,2005,0
2005-01-20,2005,0
2005-01-21,2005,0
2005-01-22,2005,0
2005-01-23,2005,0
2005-01-24,2005,0
2005-01-25,2005,0
2005-01-26,2005,0
2005-01-27,2005,0.4573
2005-01-28,2005,0.9727
2005-01-29,2005,0.69
2005-01-30,2005,0.5071
2005-01-31,2005,0.424
2005-02-01,2005,0.3492
